t              SphericalCavity.fdtd_Point probe_Ez_50_25_50.dat
   0.14790396685171459E-008   0.200514696E-004
   0.14975276643736102E-008   0.263568163E-004
   0.15160156602300745E-008   0.343322608E-004
   0.15345036560865388E-008   0.443073877E-004
   0.15529916519430031E-008   0.566395029E-004
   0.15714796477994675E-008   0.717042276E-004
   0.15899676436559318E-008   0.898821745E-004
   0.16084556395123961E-008   0.111541289E-003
   0.16269436353688604E-008   0.137014475E-003
   0.16454316312253248E-008   0.166571830E-003
   0.16639196270817891E-008   0.200387396E-003
   0.16824076229382534E-008   0.238500288E-003
   0.17008956187947177E-008   0.280771143E-003
   0.17193836146511821E-008   0.326835812E-003
   0.17378716105076464E-008   0.376059063E-003
   0.17563596063641107E-008   0.427493302E-003
   0.17748476022205750E-008   0.479846960E-003
   0.17933355980770394E-008   0.531468540E-003
   0.18118235939335037E-008   0.580350752E-003
   0.18303115897899680E-008   0.624158536E-003
   0.18487995856464323E-008   0.660284306E-003
   0.18672875815028966E-008   0.685929263E-003
   0.18857755773593610E-008   0.698211486E-003
   0.19042635732158253E-008   0.694299059E-003
   0.19227515690722896E-008   0.671565649E-003
   0.19412395649287539E-008   0.627764966E-003
   0.19597275607852183E-008   0.561216904E-003
   0.19782155566416826E-008   0.470999308E-003
   0.19967035524981469E-008   0.357132114E-003
   0.20151915483546112E-008   0.220739617E-003
   0.20336795442110756E-008   0.641711376E-004
   0.20521675400675399E-008  -0.108940352E-003
   0.20706555359240042E-008  -0.293702353E-003
   0.20891435317804685E-008  -0.484087010E-003
   0.21076315276369328E-008  -0.673165079E-003
   0.21261195234933972E-008  -0.853450561E-003
   0.21446075193498615E-008  -0.101733778E-002
   0.21630955152063258E-008  -0.115759694E-002
   0.21815835110627901E-008  -0.126787403E-002
   0.22000715069192545E-008  -0.134313630E-002
   0.22185595027757188E-008  -0.138001086E-002
   0.22370474986321831E-008  -0.137697894E-002
   0.22555354944886474E-008  -0.133441284E-002
   0.22740234903451118E-008  -0.125447265E-002
   0.22925114862015761E-008  -0.114090112E-002
   0.23109994820580404E-008  -0.998763717E-003
   0.23294874779145047E-008  -0.834170205E-003
   0.23479754737709690E-008  -0.653993338E-003
   0.23664634696274334E-008  -0.465572521E-003
   0.23849514654838977E-008  -0.276382227E-003
   0.24034394613403620E-008  -0.936583383E-004
   0.24219274571968263E-008   0.759983814E-004
   0.24404154530532907E-008   0.226999109E-003
   0.24589034489097550E-008   0.355071301E-003
   0.24773914447662193E-008   0.457441172E-003
   0.24958794406226836E-008   0.532865641E-003
   0.25143674364791480E-008   0.581522763E-003
   0.25328554323356123E-008   0.604809262E-003
   0.25513434281920766E-008   0.605113164E-003
   0.25698314240485409E-008   0.585608184E-003
   0.25883194199050052E-008   0.550068682E-003
   0.26068074157614696E-008   0.502670533E-003
   0.26252954116179339E-008   0.447743543E-003
   0.26437834074743982E-008   0.389477529E-003
