t              SphericalCavity.fdtd_Point probe_Ey_50_25_50.dat
   0.25698314240485409E-008  -0.171397623E-004
   0.25883194199050052E-008  -0.160565723E-004
   0.26068074157614696E-008  -0.146070579E-004
   0.26252954116179339E-008  -0.129504951E-004
   0.26437834074743982E-008  -0.112326516E-004
   0.26622714033308625E-008  -0.957425709E-005
   0.26807593991873269E-008  -0.806321987E-005
   0.26992473950437912E-008  -0.675195315E-005
   0.27177353909002555E-008  -0.566000244E-005
   0.27362233867567198E-008  -0.478099355E-005
   0.27547113826131842E-008  -0.409201402E-005
   0.27731993784696485E-008  -0.356324790E-005
   0.27916873743261128E-008  -0.316610590E-005
   0.28101753701825771E-008  -0.287880653E-005
   0.28286633660390414E-008  -0.268882241E-005
   0.28471513618955058E-008  -0.259294393E-005
   0.28656393577519701E-008  -0.259645549E-005
   0.28841273536084344E-008  -0.271139857E-005
   0.29026153494648987E-008  -0.295360451E-005
   0.29211033453213631E-008  -0.334016545E-005
   0.29395913411778274E-008  -0.388823946E-005
   0.29580793370342917E-008  -0.461348645E-005
   0.29765673328907560E-008  -0.552743677E-005
   0.29950553287472204E-008  -0.663580431E-005
   0.30135433246036847E-008  -0.793806976E-005
   0.30320313204601490E-008  -0.942575480E-005
   0.30505193163166133E-008  -0.110800847E-004
   0.30690073121730777E-008  -0.128722177E-004
   0.30874953080295420E-008  -0.147652509E-004
   0.31059833038860063E-008  -0.167143444E-004
   0.31244712997424706E-008  -0.186650050E-004
   0.31429592955989349E-008  -0.205528941E-004
   0.31614472914553993E-008  -0.223041679E-004
   0.31799352873118636E-008  -0.238336761E-004
   0.31984232831683279E-008  -0.250438352E-004
   0.32169112790247922E-008  -0.258274522E-004
   0.32353992748812566E-008  -0.260726356E-004
   0.32538872707377209E-008  -0.256673011E-004
   0.32723752665941852E-008  -0.245044430E-004
   0.32908632624506495E-008  -0.224890264E-004
   0.33093512583071139E-008  -0.195455141E-004
   0.33278392541635782E-008  -0.156246388E-004
   0.33463272500200425E-008  -0.107109508E-004
   0.33648152458765068E-008  -0.483107533E-005
   0.33833032417329711E-008   0.193870437E-005
   0.34017912375894355E-008   0.946792898E-005
   0.34202792334458998E-008   0.175717632E-004
   0.34387672293023641E-008   0.260141933E-004
   0.34572552251588284E-008   0.345147128E-004
   0.34757432210152928E-008   0.427597151E-004
   0.34942312168717571E-008   0.504170603E-004
   0.35127192127282214E-008   0.571516539E-004
   0.35312072085846857E-008   0.626418914E-004
   0.35496952044411501E-008   0.666006599E-004
   0.35681832002976144E-008   0.687978318E-004
   0.35866711961540787E-008   0.690774395E-004
   0.36051591920105430E-008   0.673699979E-004
   0.36236471878670073E-008   0.637045596E-004
   0.36421351837234717E-008   0.582132016E-004
   0.36606231795799360E-008   0.511214203E-004
   0.36791111754364003E-008   0.427328632E-004
   0.36975991712928646E-008   0.334131691E-004
   0.37160871671493290E-008   0.235667831E-004
   0.37345751630057933E-008   0.136062845E-004
   0.37530631588622576E-008   0.392700440E-005
   0.37715511547187219E-008  -0.511062171E-005
   0.37900391505751863E-008  -0.131990100E-004
   0.38085271464316506E-008  -0.200992872E-004
   0.38270151422881149E-008  -0.256461462E-004
   0.38455031381445792E-008  -0.297468996E-004
   0.38639911340010435E-008  -0.323823806E-004
   0.38824791298575079E-008  -0.336025114E-004
   0.39009671257139722E-008  -0.335129480E-004
   0.39194551215704365E-008  -0.322629530E-004
   0.39379431174269008E-008  -0.300377142E-004
   0.39564311132833652E-008  -0.270483870E-004
   0.39749191091398295E-008  -0.235227362E-004
   0.39934071049962938E-008  -0.197025183E-004
   0.40118951008527581E-008  -0.158388539E-004
   0.40303830967092225E-008  -0.121760067E-004
   0.40488710925656868E-008  -0.892976004E-005
   0.40673590884221511E-008  -0.626386554E-005
   0.40858470842786154E-008  -0.426434872E-005
   0.41043350801350797E-008  -0.292507934E-005
   0.41228230759915441E-008  -0.216171588E-005
   0.41413110718480084E-008  -0.184811734E-005
   0.41597990677044727E-008  -0.185787030E-005
   0.41782870635609370E-008  -0.209912400E-005
   0.41967750594174014E-008  -0.252645191E-005
   0.42152630552738657E-008  -0.311678218E-005
   0.42337510511303300E-008  -0.382866983E-005
   0.42522390469867943E-008  -0.458240356E-005
   0.42707270428432587E-008  -0.527448310E-005
   0.42892150386997230E-008  -0.581517588E-005
   0.43077030345561873E-008  -0.617195610E-005
   0.43261910304126516E-008  -0.639189057E-005
   0.43446790262691160E-008  -0.657830560E-005
   0.43631670221255803E-008  -0.683435064E-005
   0.43816550179820446E-008  -0.721492506E-005
   0.44001430138385089E-008  -0.771125633E-005
   0.44186310096949732E-008  -0.826549604E-005
   0.44371190055514376E-008  -0.880321750E-005
   0.44556070014079019E-008  -0.926358098E-005
   0.44740949972643662E-008  -0.960911257E-005
   0.44925829931208305E-008  -0.982347865E-005
   0.45110709889772949E-008  -0.991758770E-005
   0.45295589848337592E-008  -0.993966023E-005
   0.45480469806902235E-008  -0.996872041E-005
   0.45665349765466878E-008  -0.100861998E-004
   0.45850229724031522E-008  -0.103361835E-004
   0.46035109682596165E-008  -0.106932457E-004
   0.46219989641160808E-008  -0.110661585E-004
   0.46404869599725451E-008  -0.113489850E-004
   0.46589749558290094E-008  -0.114866589E-004
   0.46774629516854738E-008  -0.115060884E-004
   0.46959509475419381E-008  -0.114952873E-004
   0.47144389433984024E-008  -0.115475441E-004
   0.47329269392548667E-008  -0.117032641E-004
   0.47514149351113311E-008  -0.119259821E-004
   0.47699029309677954E-008  -0.121285166E-004
   0.47883909268242597E-008  -0.122249403E-004
   0.48068789226807240E-008  -0.121685507E-004
   0.48253669185371884E-008  -0.119580409E-004
   0.48438549143936527E-008  -0.116188812E-004
   0.48623429102501170E-008  -0.111775389E-004
   0.48808309061065813E-008  -0.106449434E-004
   0.48993189019630456E-008  -0.100092020E-004
   0.49178068978195100E-008  -0.922504751E-005
   0.49362948936759743E-008  -0.820524747E-005
   0.49547828895324386E-008  -0.683709141E-005
   0.49732708853889029E-008  -0.502378907E-005
   0.49917588812453673E-008  -0.271978183E-005
   0.50102468771018316E-008   0.624481800E-007
   0.50287348729582959E-008   0.327044063E-005
   0.50472228688147602E-008   0.684096722E-005
   0.50657108646712246E-008   0.107248698E-004
   0.50841988605276889E-008   0.148900472E-004
   0.51026868563841532E-008   0.192987427E-004
   0.51211748522406175E-008   0.238751036E-004
   0.51396628480970818E-008   0.284867165E-004
   0.51581508439535462E-008   0.329552095E-004
   0.51766388398100105E-008   0.370889866E-004
   0.51951268356664748E-008   0.407112857E-004
   0.52136148315229391E-008   0.436633127E-004
   0.52321028273794035E-008   0.457909373E-004
   0.52505908232358678E-008   0.469367988E-004
   0.52690788190923321E-008   0.469495717E-004
   0.52875668149487964E-008   0.457142560E-004
   0.53060548108052608E-008   0.431944936E-004
   0.53245428066617251E-008   0.394506715E-004
   0.53430308025181894E-008   0.346022643E-004
   0.53615187983746537E-008   0.287630028E-004
   0.53800067942311181E-008   0.220230904E-004
   0.53984947900875824E-008   0.145109498E-004
   0.54169827859440467E-008   0.647417528E-005
   0.54354707818005110E-008  -0.171975262E-005
   0.54539587776569753E-008  -0.968974564E-005
   0.54724467735134397E-008  -0.171592255E-004
   0.54909347693699040E-008  -0.239646706E-004
   0.55094227652263683E-008  -0.299559579E-004
   0.55279107610828326E-008  -0.349190050E-004
   0.55463987569392970E-008  -0.386190150E-004
   0.55648867527957613E-008  -0.409147433E-004
   0.55833747486522256E-008  -0.418188865E-004
   0.56018627445086899E-008  -0.414538736E-004
   0.56203507403651543E-008  -0.399681740E-004
   0.56388387362216186E-008  -0.375012642E-004
   0.56573267320780829E-008  -0.342103340E-004
   0.56758147279345472E-008  -0.302983135E-004
   0.56943027237910115E-008  -0.259947556E-004
   0.57127907196474759E-008  -0.215111686E-004
   0.57312787155039402E-008  -0.170240965E-004
   0.57497667113604045E-008  -0.126971663E-004
   0.57682547072168688E-008  -0.869921496E-005
   0.57867427030733332E-008  -0.517944045E-005
   0.58052306989297975E-008  -0.221914797E-005
   0.58237186947862618E-008   0.180111556E-006
   0.58422066906427261E-008   0.204960747E-005
   0.58606946864991905E-008   0.339982557E-005
   0.58791826823556548E-008   0.422379389E-005
   0.58976706782121191E-008   0.455208328E-005
   0.59161586740685834E-008   0.449416439E-005
   0.59346466699250477E-008   0.421173354E-005
   0.59531346657815121E-008   0.382984263E-005
   0.59716226616379764E-008   0.336264156E-005
   0.59901106574944407E-008   0.275003526E-005
   0.60085986533509050E-008   0.199647138E-005
   0.60270866492073694E-008   0.124819633E-005
   0.60455746450638337E-008   0.677114542E-006
   0.60640626409202980E-008   0.294240039E-006
   0.60825506367767623E-008  -0.491600929E-007
   0.61010386326332267E-008  -0.447423332E-006
   0.61195266284896910E-008  -0.794483981E-006
   0.61380146243461553E-008  -0.908081404E-006
   0.61565026202026196E-008  -0.751715334E-006
   0.61749906160590839E-008  -0.454514861E-006
   0.61934786119155483E-008  -0.125484092E-006
   0.62119666077720126E-008   0.275020994E-006
   0.62304546036284769E-008   0.874670604E-006
   0.62489425994849412E-008   0.177519462E-005
   0.62674305953414056E-008   0.301989530E-005
   0.62859185911978699E-008   0.460126830E-005
   0.63044065870543342E-008   0.645203681E-005
   0.63228945829107985E-008   0.847472529E-005
   0.63413825787672629E-008   0.106305224E-004
   0.63598705746237272E-008   0.129703485E-004
   0.63783585704801915E-008   0.155344787E-004
   0.63968465663366558E-008   0.182474250E-004
   0.64153345621931201E-008   0.209615864E-004
   0.64338225580495845E-008   0.235855696E-004
   0.64523105539060488E-008   0.261111636E-004
   0.64707985497625131E-008   0.285226488E-004
   0.64892865456189774E-008   0.307538867E-004
   0.65077745414754418E-008   0.327540220E-004
   0.65262625373319061E-008   0.345202498E-004
   0.65447505331883704E-008   0.360115300E-004
   0.65632385290448347E-008   0.370817397E-004
   0.65817265249012991E-008   0.375678719E-004
   0.66002145207577634E-008   0.374232259E-004
   0.66187025166142277E-008   0.367043285E-004
   0.66371905124706920E-008   0.354307522E-004
   0.66556785083271564E-008   0.335023287E-004
   0.66741665041836207E-008   0.307523987E-004
   0.66926545000400850E-008   0.270506025E-004
   0.67111424958965493E-008   0.223661227E-004
   0.67296304917530136E-008   0.167786002E-004
   0.67481184876094780E-008   0.104435503E-004
   0.67666064834659423E-008   0.352865800E-005
   0.67850944793224066E-008  -0.382072085E-005
   0.68035824751788709E-008  -0.114471013E-004
   0.68220704710353353E-008  -0.191297222E-004
   0.68405584668917996E-008  -0.265925737E-004
   0.68590464627482639E-008  -0.335586083E-004
   0.68775344586047282E-008  -0.397819895E-004
   0.68960224544611926E-008  -0.450462394E-004
   0.69145104503176569E-008  -0.491628925E-004
   0.69329984461741212E-008  -0.519781242E-004
   0.69514864420305855E-008  -0.533726889E-004
   0.69699744378870498E-008  -0.532697377E-004
   0.69884624337435142E-008  -0.516616819E-004
   0.70069504295999785E-008  -0.486312456E-004
   0.70254384254564428E-008  -0.443467579E-004
   0.70439264213129071E-008  -0.390464265E-004
   0.70624144171693715E-008  -0.330172916E-004
   0.70809024130258358E-008  -0.265597446E-004
   0.70993904088823001E-008  -0.199576425E-004
   0.71178784047387644E-008  -0.134829725E-004
   0.71363664005952288E-008  -0.740897667E-005
   0.71548543964516931E-008  -0.198475436E-005
   0.71733423923081574E-008   0.260690513E-005
   0.71918303881646217E-008   0.625145140E-005
   0.72103183840210860E-008   0.887718033E-005
   0.72288063798775504E-008   0.104592564E-004
   0.72472943757340147E-008   0.110450419E-004
   0.72657823715904790E-008   0.107445785E-004
   0.72842703674469433E-008   0.969410758E-005
   0.73027583633034077E-008   0.804796855E-005
   0.73212463591598720E-008   0.598616680E-005
   0.73397343550163363E-008   0.367581697E-005
   0.73582223508728006E-008   0.121875655E-005
   0.73767103467292650E-008  -0.131096135E-005
   0.73951983425857293E-008  -0.376481671E-005
   0.74136863384421936E-008  -0.591832577E-005
   0.74321743342986579E-008  -0.761006686E-005
   0.74506623301551222E-008  -0.882936729E-005
   0.74691503260115866E-008  -0.961936894E-005
   0.74876383218680509E-008  -0.995116443E-005
   0.75061263177245152E-008  -0.977415857E-005
   0.75246143135809795E-008  -0.916038061E-005
   0.75431023094374439E-008  -0.830051704E-005
   0.75615903052939082E-008  -0.733874640E-005
   0.75800783011503725E-008  -0.628215639E-005
   0.75985662970068368E-008  -0.509935035E-005
   0.76170542928633012E-008  -0.384087207E-005
   0.76355422887197655E-008  -0.261071182E-005
   0.76540302845762298E-008  -0.146530272E-005
   0.76725182804326941E-008  -0.408802975E-006
   0.76910062762891584E-008   0.528295971E-006
   0.77094942721456228E-008   0.127837075E-005
   0.77279822680020871E-008   0.182603890E-005
   0.77464702638585514E-008   0.226524389E-005
   0.77649582597150157E-008   0.273811702E-005
   0.77834462555714801E-008   0.333241360E-005
   0.78019342514279444E-008   0.404510911E-005
   0.78204222472844087E-008   0.481428879E-005
   0.78389102431408730E-008   0.556226223E-005
   0.78573982389973374E-008   0.622825428E-005
   0.78758862348538017E-008   0.679346294E-005
   0.78943742307102660E-008   0.728349778E-005
   0.79128622265667303E-008   0.774253112E-005
   0.79313502224231947E-008   0.820895548E-005
   0.79498382182796590E-008   0.871587781E-005
   0.79683262141361233E-008   0.930091210E-005
   0.79868142099925876E-008   0.100043835E-004
   0.80053022058490519E-008   0.108545455E-004
   0.80237902017055163E-008   0.118426215E-004
   0.80422781975619806E-008   0.129030086E-004
   0.80607661934184449E-008   0.139377371E-004
   0.80792541892749092E-008   0.148864747E-004
   0.80977421851313736E-008   0.157647155E-004
   0.81162301809878379E-008   0.166194495E-004
   0.81347181768443022E-008   0.174733959E-004
   0.81532061727007665E-008   0.183354314E-004
   0.81716941685572309E-008   0.192194093E-004
   0.81901821644136952E-008   0.200901341E-004
   0.82086701602701595E-008   0.208109359E-004
   0.82271581561266238E-008   0.212153027E-004
   0.82456461519830881E-008   0.212404866E-004
   0.82641341478395525E-008   0.209434493E-004
   0.82826221436960168E-008   0.203791587E-004
   0.83011101395524811E-008   0.195090288E-004
   0.83195981354089454E-008   0.182391996E-004
   0.83380861312654098E-008   0.164983321E-004
   0.83565741271218741E-008   0.142415483E-004
   0.83750621229783384E-008   0.114034210E-004
   0.83935501188348027E-008   0.789763817E-005
   0.84120381146912671E-008   0.369043073E-005
   0.84305261105477314E-008  -0.112889211E-005
   0.84490141064041957E-008  -0.636992900E-005
   0.84675021022606600E-008  -0.118458483E-004
   0.84859900981171243E-008  -0.174442139E-004
   0.85044780939735887E-008  -0.230800397E-004
   0.85229660898300530E-008  -0.285988135E-004
   0.85414540856865173E-008  -0.337650090E-004
   0.85599420815429816E-008  -0.383460210E-004
   0.85784300773994460E-008  -0.421728510E-004
   0.85969180732559103E-008  -0.451181804E-004
   0.86154060691123746E-008  -0.470589002E-004
   0.86338940649688389E-008  -0.478794718E-004
   0.86523820608253033E-008  -0.474883564E-004
   0.86708700566817676E-008  -0.458305949E-004
   0.86893580525382319E-008  -0.429250576E-004
   0.87078460483946962E-008  -0.388976950E-004
   0.87263340442511605E-008  -0.339301878E-004
   0.87448220401076249E-008  -0.281570210E-004
   0.87633100359640892E-008  -0.216642457E-004
   0.87817980318205535E-008  -0.146157181E-004
   0.88002860276770178E-008  -0.731176442E-005
   0.88187740235334822E-008  -0.596573955E-007
   0.88372620193899465E-008   0.696061397E-005
   0.88557500152464108E-008   0.136189556E-004
   0.88742380111028751E-008   0.196728070E-004
   0.88927260069593395E-008   0.248144697E-004
   0.89112140028158038E-008   0.289019390E-004
   0.89297019986722681E-008   0.320294675E-004
   0.89481899945287324E-008   0.343081083E-004
   0.89666779903851968E-008   0.356598321E-004
   0.89851659862416611E-008   0.359125224E-004
   0.90036539820981254E-008   0.350559421E-004
   0.90221419779545897E-008   0.333146309E-004
   0.90406299738110540E-008   0.309639654E-004
   0.90591179696675184E-008   0.281487337E-004
   0.90776059655239827E-008   0.249199802E-004
   0.90960939613804470E-008   0.213980311E-004
   0.91145819572369113E-008   0.178249229E-004
   0.91330699530933757E-008   0.144480218E-004
   0.91515579489498400E-008   0.114027625E-004
   0.91700459448063043E-008   0.873426688E-005
   0.91885339406627686E-008   0.649599315E-005
   0.92070219365192330E-008   0.478592619E-005
   0.92255099323756973E-008   0.369316103E-005
   0.92439979282321616E-008   0.323431505E-005
   0.92624859240886259E-008   0.334241008E-005
   0.92809739199450902E-008   0.390733885E-005
   0.92994619158015546E-008   0.482908035E-005
   0.93179499116580189E-008   0.603417493E-005
   0.93364379075144832E-008   0.743580767E-005
   0.93549259033709475E-008   0.888785416E-005
   0.93734138992274119E-008   0.102130671E-004
   0.93919018950838762E-008   0.113047463E-004
   0.94103898909403405E-008   0.121933190E-004
   0.94288778867968048E-008   0.129819682E-004
   0.94473658826532692E-008   0.137000279E-004
   0.94658538785097335E-008   0.142330773E-004
   0.94843418743661978E-008   0.144173355E-004
   0.95028298702226621E-008   0.141986256E-004
   0.95213178660791264E-008   0.136761191E-004
   0.95398058619355908E-008   0.129840873E-004
   0.95582938577920551E-008   0.121531148E-004
   0.95767818536485194E-008   0.111062272E-004
   0.95952698495049837E-008   0.977270975E-005
   0.96137578453614481E-008   0.816400279E-005
   0.96322458412179124E-008   0.632710817E-005
   0.96507338370743767E-008   0.427040459E-005
   0.96692218329308410E-008   0.198868656E-005
   0.96877098287873054E-008  -0.456318730E-006
   0.97061978246437697E-008  -0.295617610E-005
   0.97246858205002340E-008  -0.548993012E-005
   0.97431738163566983E-008  -0.818740955E-005
   0.97616618122131626E-008  -0.112060961E-004
   0.97801498080696270E-008  -0.145615923E-004
   0.97986378039260913E-008  -0.181157593E-004
   0.98171257997825556E-008  -0.217167253E-004
   0.98356137956390199E-008  -0.253136404E-004
   0.98541017914954843E-008  -0.289399104E-004
   0.98725897873519486E-008  -0.326098161E-004
   0.98910777832084129E-008  -0.362285173E-004
   0.99095657790648772E-008  -0.395896350E-004
   0.99280537749213416E-008  -0.424739883E-004
   0.99465417707778059E-008  -0.447660823E-004
   0.99650297666342702E-008  -0.464594887E-004
   0.99835177624907345E-008  -0.475352863E-004
   0.10002005758347199E-007  -0.478580660E-004
   0.10020493754203663E-007  -0.472217434E-004
   0.10038981750060127E-007  -0.454979236E-004
   0.10057469745916592E-007  -0.427194827E-004
   0.10075957741773056E-007  -0.390144705E-004
   0.10094445737629520E-007  -0.344862783E-004
   0.10112933733485985E-007  -0.291904362E-004
   0.10131421729342449E-007  -0.232096027E-004
   0.10149909725198913E-007  -0.166828395E-004
   0.10168397721055378E-007  -0.973882561E-005
   0.10186885716911842E-007  -0.247605885E-005
   0.10205373712768306E-007   0.492431764E-005
   0.10223861708624771E-007   0.121205558E-004
   0.10242349704481235E-007   0.187354017E-004
   0.10260837700337699E-007   0.245476695E-004
   0.10279325696194164E-007   0.294979982E-004
   0.10297813692050628E-007   0.335296172E-004
   0.10316301687907092E-007   0.365012675E-004
   0.10334789683763557E-007   0.382561993E-004
   0.10353277679620021E-007   0.387088257E-004
   0.10371765675476485E-007   0.378552613E-004
   0.10390253671332950E-007   0.357578610E-004
   0.10408741667189414E-007   0.325451801E-004
   0.10427229663045878E-007   0.283869522E-004
   0.10445717658902343E-007   0.234360450E-004
   0.10464205654758807E-007   0.178219871E-004
   0.10482693650615271E-007   0.117458221E-004
   0.10501181646471736E-007   0.557170961E-005
   0.10519669642328200E-007  -0.237289896E-006
   0.10538157638184664E-007  -0.531007800E-005
   0.10556645634041129E-007  -0.947230546E-005
   0.10575133629897593E-007  -0.126624973E-004
   0.10593621625754057E-007  -0.148176987E-004
   0.10612109621610522E-007  -0.158869334E-004
   0.10630597617466986E-007  -0.158905714E-004
   0.10649085613323450E-007  -0.148953359E-004
   0.10667573609179914E-007  -0.129802875E-004
   0.10686061605036379E-007  -0.103028142E-004
   0.10704549600892843E-007  -0.715540682E-005
   0.10723037596749307E-007  -0.386252214E-005
   0.10741525592605772E-007  -0.620043238E-006
   0.10760013588462236E-007   0.251019765E-005
   0.10778501584318700E-007   0.546974752E-005
   0.10796989580175165E-007   0.814031227E-005
   0.10815477576031629E-007   0.104120136E-004
   0.10833965571888093E-007   0.122467382E-004
   0.10852453567744558E-007   0.136441686E-004
   0.10870941563601022E-007   0.145868717E-004
   0.10889429559457486E-007   0.150572077E-004
   0.10907917555313951E-007   0.150878232E-004
   0.10926405551170415E-007   0.147586570E-004
   0.10944893547026879E-007   0.141532701E-004
   0.10963381542883344E-007   0.133522299E-004
   0.10981869538739808E-007   0.124624485E-004
   0.11000357534596272E-007   0.116117208E-004
   0.11018845530452737E-007   0.109042267E-004
   0.11037333526309201E-007   0.103978500E-004
   0.11055821522165665E-007   0.101118412E-004
   0.11074309518022130E-007   0.100330972E-004
   0.11092797513878594E-007   0.101307260E-004
   0.11111285509735058E-007   0.103748698E-004
   0.11129773505591523E-007   0.107020696E-004
   0.11148261501447987E-007   0.109542216E-004
   0.11166749497304451E-007   0.109196790E-004
   0.11185237493160916E-007   0.104614755E-004
   0.11203725489017380E-007   0.954552434E-005
   0.11222213484873844E-007   0.814989562E-005
   0.11240701480730309E-007   0.626344035E-005
   0.11259189476586773E-007   0.399908276E-005
   0.11277677472443237E-007   0.157772388E-005
   0.11296165468299701E-007  -0.857575060E-006
   0.11314653464156166E-007  -0.330833404E-005
   0.11333141460012630E-007  -0.576588036E-005
   0.11351629455869094E-007  -0.811377049E-005
   0.11370117451725559E-007  -0.102466038E-004
