t              BoxCavity.fdtd_Point probe002_Ey_24_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.43138664081870948E-010   0.000000000E+000
   0.46219997230576015E-010   0.000000000E+000
   0.49301330379281083E-010   0.000000000E+000
   0.52382663527986151E-010   0.000000000E+000
   0.55463996676691218E-010   0.000000000E+000
   0.58545329825396286E-010   0.000000000E+000
   0.61626662974101354E-010   0.000000000E+000
   0.64707996122806422E-010   0.000000000E+000
   0.67789329271511489E-010   0.000000000E+000
   0.70870662420216557E-010   0.000000000E+000
   0.73951995568921625E-010   0.120256116E-023
   0.77033328717626692E-010   0.108124297E-022
   0.80114661866331760E-010   0.568759814E-022
   0.83195995015036828E-010   0.293267990E-021
   0.86277328163741895E-010   0.143727054E-020
   0.89358661312446963E-010   0.603546518E-020
   0.92439994461152031E-010   0.230604933E-019
   0.95521327609857098E-010   0.843656112E-019
   0.98602660758562166E-010   0.287914067E-018
   0.10168399390726723E-009   0.896593680E-018
   0.10476532705597230E-009   0.258069205E-017
   0.10784666020467737E-009   0.696980564E-017
   0.11092799335338244E-009   0.176731373E-016
   0.11400932650208750E-009   0.420274554E-016
   0.11709065965079257E-009   0.942020148E-016
   0.12017199279949764E-009   0.199845618E-015
   0.12325332594820271E-009   0.400872133E-015
   0.12633465909690778E-009   0.759662716E-015
   0.12941599224561284E-009   0.136384142E-014
   0.13249732539431791E-009   0.232501523E-014
   0.13557865854302298E-009   0.375685158E-014
   0.13865999169172805E-009   0.573875876E-014
   0.14174132484043311E-009   0.828391785E-014
   0.14482265798913818E-009   0.112886986E-013
   0.14790399113784325E-009   0.144387676E-013
   0.15098532428654832E-009   0.171926682E-013
   0.15406665743525338E-009   0.189255248E-013
   0.15714799058395845E-009   0.190020339E-013
   0.16022932373266352E-009   0.167261055E-013
   0.16331065688136859E-009   0.117665777E-013
   0.16639199003007366E-009   0.491831798E-014
   0.16947332317877872E-009  -0.225821779E-014
   0.17255465632748379E-009  -0.860894472E-014
   0.17563598947618886E-009  -0.126824456E-013
   0.17871732262489393E-009  -0.115824200E-013
   0.18179865577359899E-009  -0.403441708E-014
   0.18487998892230406E-009   0.671315793E-014
   0.18796132207100913E-009   0.181942169E-013
   0.19104265521971420E-009   0.320754708E-013
   0.19412398836841926E-009   0.438725120E-013
   0.19720532151712433E-009   0.416075797E-013
   0.20028665466582940E-009   0.288044294E-013
   0.20336798781453447E-009   0.252313531E-013
   0.20644932096323954E-009   0.266024419E-013
   0.20953065411194460E-009   0.854760598E-014
   0.21261198726064967E-009  -0.942370232E-014
   0.21569332040935474E-009   0.153218485E-013
   0.21877465355805981E-009   0.483749529E-013
   0.22185598670676487E-009   0.308816625E-013
   0.22493731985546994E-009   0.234696889E-013
   0.22801865300417501E-009   0.901952192E-013
   0.23109998615288008E-009   0.106198775E-012
   0.23418131930158514E-009  -0.528635973E-014
   0.23726265245029021E-009  -0.210432698E-013
   0.24034398559899528E-009   0.151941543E-012
   0.24342531874770035E-009   0.160782981E-012
   0.24650665189640542E-009  -0.862991861E-013
   0.24958798504511048E-009  -0.641160844E-013
   0.25266931819381555E-009   0.287505561E-012
   0.25575065134252062E-009   0.236449803E-012
   0.25883198449122569E-009  -0.178086170E-012
   0.26191331763993075E-009   0.960562467E-014
   0.26499465078863582E-009   0.529525967E-012
   0.26807598393734089E-009   0.135776102E-012
   0.27115731708604596E-009  -0.493386256E-012
   0.27423865023475102E-009   0.237395119E-012
   0.27731998338345609E-009   0.105541660E-011
   0.28040131653216116E-009  -0.397922797E-013
   0.28348264968086623E-009  -0.101071864E-011
   0.28656398282957130E-009   0.535806642E-012
   0.28964531597827636E-009   0.165014877E-011
   0.29272664912698143E-009  -0.311008597E-012
   0.29580798227568650E-009  -0.133353550E-011
   0.29888931542439157E-009   0.117727247E-011
   0.30197064857309663E-009   0.194269687E-011
   0.30505198172180170E-009  -0.117069895E-011
   0.30813331487050677E-009  -0.136621834E-011
   0.31121464801921184E-009   0.260075078E-011
   0.31429598116791690E-009   0.218905796E-011
   0.31737731431662197E-009  -0.259787331E-011
   0.32045864746532704E-009  -0.141630902E-011
   0.32353998061403211E-009   0.420009296E-011
   0.32662131376273718E-009   0.233833482E-011
   0.32970264691144224E-009  -0.366017199E-011
   0.33278398006014731E-009  -0.835951317E-012
   0.33586531320885238E-009   0.533722459E-011
   0.33894664635755745E-009   0.154252696E-011
   0.34202797950626251E-009  -0.429687752E-011
   0.34510931265496758E-009   0.793487671E-012
   0.34819064580367265E-009   0.629511721E-011
   0.35127197895237772E-009   0.211034315E-012
   0.35435331210108278E-009  -0.452083119E-011
   0.35743464524978785E-009   0.255137664E-011
   0.36051597839849292E-009   0.662175696E-011
   0.36359731154719799E-009  -0.702724337E-012
   0.36667864469590306E-009  -0.359839155E-011
   0.36975997784460812E-009   0.386219268E-011
   0.37284131099331319E-009   0.585611854E-011
   0.37592264414201826E-009  -0.875768642E-012
   0.37900397729072333E-009  -0.155871778E-011
   0.38208531043942839E-009   0.451050395E-011
   0.38516664358813346E-009   0.458648831E-011
   0.38824797673683853E-009   0.615341111E-013
   0.39132930988554360E-009   0.823681184E-012
   0.39441064303424866E-009   0.414830496E-011
   0.39749197618295373E-009   0.360575176E-011
   0.40057330933165880E-009   0.233198270E-011
   0.40365464248036387E-009   0.303342334E-011
   0.40673597562906894E-009   0.309355709E-011
   0.40981730877777400E-009   0.337987320E-011
   0.41289864192647907E-009   0.518451514E-011
   0.41597997507518414E-009   0.466167729E-011
   0.41906130822388921E-009   0.245566349E-011
   0.42214264137259427E-009   0.446252583E-011
   0.42522397452129934E-009   0.776224050E-011
   0.42830530767000441E-009   0.549496212E-011
   0.43138664081870948E-009   0.286004532E-011
   0.43446797396741454E-009   0.665507840E-011
   0.43754930711611961E-009   0.981511834E-011
   0.44063064026482468E-009   0.645855721E-011
   0.44371197341352975E-009   0.473566368E-011
   0.44679330656223482E-009   0.901585664E-011
   0.44987463971093988E-009   0.110810536E-010
   0.45295597285964495E-009   0.839621601E-011
   0.45603730600835002E-009   0.824541390E-011
   0.45911863915705509E-009   0.113428286E-010
   0.46219997230576015E-009   0.121471383E-010
   0.46528130545446522E-009   0.114392983E-010
   0.46836263860317029E-009   0.125576910E-010
   0.47144397175187536E-009   0.138247035E-010
   0.47452530490058042E-009   0.142122243E-010
   0.47760663804928549E-009   0.156151255E-010
   0.48068797119799056E-009   0.170321483E-010
   0.48376930434669563E-009   0.169825855E-010
   0.48685063749540070E-009   0.179244102E-010
   0.48993197064410576E-009   0.204917663E-010
   0.49301330379281083E-009   0.215627446E-010
   0.49609463694151590E-009   0.215896693E-010
   0.49917597009022097E-009   0.235958388E-010
   0.50225730323892603E-009   0.260559976E-010
   0.50533863638763110E-009   0.266232401E-010
   0.50841996953633617E-009   0.276973687E-010
   0.51150130268504124E-009   0.307595338E-010
   0.51458263583374630E-009   0.329725622E-010
   0.51766396898245137E-009   0.335932150E-010
   0.52074530213115644E-009   0.353716778E-010
   0.52382663527986151E-009   0.387143997E-010
   0.52690796842856658E-009   0.415011185E-010
   0.52998930157727164E-009   0.432401302E-010
   0.53307063472597671E-009   0.451022726E-010
   0.53615196787468178E-009   0.480369182E-010
   0.53923330102338685E-009   0.518705426E-010
   0.54231463417209191E-009   0.550614276E-010
   0.54539596732079698E-009   0.571453336E-010
   0.54847730046950205E-009   0.602535521E-010
   0.55155863361820712E-009   0.649556728E-010
   0.55463996676691218E-009   0.687707391E-010
   0.55772129991561725E-009   0.717011797E-010
   0.56080263306432232E-009   0.763304489E-010
   0.56388396621302739E-009   0.816121754E-010
   0.56696529936173246E-009   0.851201262E-010
   0.57004663251043752E-009   0.891020452E-010
   0.57312796565914259E-009   0.957616347E-010
   0.57620929880784766E-009   0.102113470E-009
   0.57929063195655273E-009   0.106245693E-009
   0.58237196510525779E-009   0.110982175E-009
   0.58545329825396286E-009   0.117938201E-009
   0.58853463140266793E-009   0.125757765E-009
   0.59161596455137300E-009   0.133372258E-009
   0.59469729770007806E-009   0.139545347E-009
   0.59777863084878313E-009   0.144421058E-009
   0.60085996399748820E-009   0.152468496E-009
   0.60394129714619327E-009   0.165127481E-009
   0.60702263029489834E-009   0.175248954E-009
   0.61010396344360340E-009   0.179458351E-009
   0.61318529659230847E-009   0.186116886E-009
   0.61626662974101354E-009   0.200450420E-009
   0.61934796288971861E-009   0.215141932E-009
   0.62242929603842367E-009   0.223996155E-009
   0.62551062918712874E-009   0.231112282E-009
   0.62859196233583381E-009   0.242249082E-009
   0.63167329548453888E-009   0.258086247E-009
   0.63475462863324394E-009   0.275244771E-009
   0.63783596178194901E-009   0.288475632E-009
   0.64091729493065408E-009   0.297402741E-009
   0.64399862807935915E-009   0.310179105E-009
   0.64707996122806422E-009   0.331337097E-009
   0.65016129437676928E-009   0.352796847E-009
   0.65324262752547435E-009   0.367190833E-009
   0.65632396067417942E-009   0.379443366E-009
   0.65940529382288449E-009   0.397112149E-009
