t              BoxCavity.fdtd_Point probe_Ey_5_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.672965199E-011
   0.18487998892230406E-010   0.230007888E-010
   0.21569332040935474E-010   0.275408273E-010
   0.24650665189640542E-010   0.989340207E-011
   0.27731998338345609E-010   0.509348900E-011
   0.30813331487050677E-010   0.251604015E-010
   0.33894664635755745E-010   0.219432111E-010
   0.36975997784460812E-010  -0.521677319E-011
   0.40057330933165880E-010   0.711459624E-011
   0.43138664081870948E-010   0.375775314E-010
   0.46219997230576015E-010   0.932853447E-011
   0.49301330379281083E-010  -0.236632727E-010
   0.52382663527986151E-010   0.288077062E-010
   0.55463996676691218E-010   0.796713528E-010
   0.58545329825396286E-010   0.285253036E-010
   0.61626662974101354E-010  -0.171517141E-010
   0.64707996122806422E-010   0.377928522E-010
   0.67789329271511489E-010   0.770156439E-010
   0.70870662420216557E-010   0.274417745E-010
   0.73951995568921625E-010   0.667353846E-011
   0.77033328717626692E-010   0.578963266E-010
   0.80114661866331760E-010   0.716817508E-010
   0.83195995015036828E-010   0.355122425E-010
   0.86277328163741895E-010   0.421386849E-010
   0.89358661312446963E-010   0.805679273E-010
   0.92439994461152031E-010   0.822558480E-010
   0.95521327609857098E-010   0.693174615E-010
   0.98602660758562166E-010   0.793616908E-010
   0.10168399390726723E-009   0.900452837E-010
   0.10476532705597230E-009   0.959855806E-010
   0.10784666020467737E-009   0.112407077E-009
   0.11092799335338244E-009   0.119471710E-009
   0.11400932650208750E-009   0.115306396E-009
   0.11709065965079257E-009   0.134618719E-009
   0.12017199279949764E-009   0.163345046E-009
   0.12325332594820271E-009   0.163033170E-009
   0.12633465909690778E-009   0.162298314E-009
   0.12941599224561284E-009   0.194557467E-009
   0.13249732539431791E-009   0.222565105E-009
   0.13557865854302298E-009   0.223769545E-009
   0.13865999169172805E-009   0.235764519E-009
   0.14174132484043311E-009   0.268651906E-009
   0.14482265798913818E-009   0.293803898E-009
   0.14790399113784325E-009   0.313231968E-009
   0.15098532428654832E-009   0.341621204E-009
   0.15406665743525338E-009   0.369235309E-009
   0.15714799058395845E-009   0.397152228E-009
   0.16022932373266352E-009   0.437279046E-009
   0.16331065688136859E-009   0.475589734E-009
   0.16639199003007366E-009   0.504998099E-009
   0.16947332317877872E-009   0.548566026E-009
   0.17255465632748379E-009   0.605390460E-009
   0.17563598947618886E-009   0.650140053E-009
   0.17871732262489393E-009   0.693276436E-009
   0.18179865577359899E-009   0.757942265E-009
   0.18487998892230406E-009   0.827717450E-009
   0.18796132207100913E-009   0.887051599E-009
   0.19104265521971420E-009   0.955007184E-009
   0.19412398836841926E-009   0.103910147E-008
   0.19720532151712433E-009   0.112462506E-008
   0.20028665466582940E-009   0.121230281E-008
   0.20336798781453447E-009   0.130926003E-008
   0.20644932096323954E-009   0.141150502E-008
   0.20953065411194460E-009   0.152443547E-008
   0.21261198726064967E-009   0.165443514E-008
   0.21569332040935474E-009   0.178539317E-008
   0.21877465355805981E-009   0.191292693E-008
   0.22185598670676487E-009   0.206306283E-008
   0.22493731985546994E-009   0.224002017E-008
   0.22801865300417501E-009   0.241761455E-008
   0.23109998615288008E-009   0.259420974E-008
   0.23418131930158514E-009   0.279172707E-008
   0.23726265245029021E-009   0.301340264E-008
   0.24034398559899528E-009   0.325118821E-008
   0.24342531874770035E-009   0.350467633E-008
   0.24650665189640542E-009   0.376921783E-008
   0.24958798504511048E-009   0.404639255E-008
   0.25266931819381555E-009   0.435662928E-008
   0.25575065134252062E-009   0.470261252E-008
   0.25883198449122569E-009   0.506081577E-008
   0.26191331763993075E-009   0.542905187E-008
   0.26499465078863582E-009   0.583077764E-008
   0.26807598393734089E-009   0.627380770E-008
   0.27115731708604596E-009   0.675020884E-008
   0.27423865023475102E-009   0.725801108E-008
   0.27731998338345609E-009   0.779143061E-008
   0.28040131653216116E-009   0.835031155E-008
   0.28348264968086623E-009   0.896218122E-008
   0.28656398282957130E-009   0.964202140E-008
   0.28964531597827636E-009   0.103611884E-007
   0.29272664912698143E-009   0.110987175E-007
   0.29580798227568650E-009   0.118815855E-007
   0.29888931542439157E-009   0.127447839E-007
   0.30197064857309663E-009   0.136881813E-007
   0.30505198172180170E-009   0.146888874E-007
   0.30813331487050677E-009   0.157259130E-007
   0.31121464801921184E-009   0.168117769E-007
   0.31429598116791690E-009   0.180019359E-007
   0.31737731431662197E-009   0.193205363E-007
   0.32045864746532704E-009   0.207145607E-007
   0.32353998061403211E-009   0.221379075E-007
   0.32662131376273718E-009   0.236374227E-007
   0.32970264691144224E-009   0.252938204E-007
   0.33278398006014731E-009   0.271095448E-007
   0.33586531320885238E-009   0.290202742E-007
   0.33894664635755745E-009   0.309859054E-007
   0.34202797950626251E-009   0.330511298E-007
   0.34510931265496758E-009   0.353154306E-007
   0.34819064580367265E-009   0.378055915E-007
   0.35127197895237772E-009   0.404292742E-007
   0.35435331210108278E-009   0.431105498E-007
   0.35743464524978785E-009   0.459270240E-007
   0.36051597839849292E-009   0.490249583E-007
   0.36359731154719799E-009   0.524152206E-007
   0.36667864469590306E-009   0.559739064E-007
   0.36975997784460812E-009   0.596240639E-007
   0.37284131099331319E-009   0.634551114E-007
   0.37592264414201826E-009   0.676429366E-007
   0.37900397729072333E-009   0.722264204E-007
   0.38208531043942839E-009   0.770490729E-007
   0.38516664358813346E-009   0.819788042E-007
   0.38824797673683853E-009   0.871359944E-007
   0.39132930988554360E-009   0.927796862E-007
   0.39441064303424866E-009   0.989493500E-007
   0.39749197618295373E-009   0.105421051E-006
   0.40057330933165880E-009   0.112036489E-006
   0.40365464248036387E-009   0.118955604E-006
   0.40673597562906894E-009   0.126501234E-006
   0.40981730877777400E-009   0.134738826E-006
   0.41289864192647907E-009   0.143388789E-006
   0.41597997507518414E-009   0.152216117E-006
   0.41906130822388921E-009   0.161418001E-006
   0.42214264137259427E-009   0.171448121E-006
   0.42522397452129934E-009   0.182398495E-006
   0.42830530767000441E-009   0.193873902E-006
   0.43138664081870948E-009   0.205562884E-006
   0.43446797396741454E-009   0.217740194E-006
   0.43754930711611961E-009   0.230995511E-006
   0.44063064026482468E-009   0.245442351E-006
   0.44371197341352975E-009   0.260569010E-006
   0.44679330656223482E-009   0.275962691E-006
   0.44987463971093988E-009   0.291971105E-006
   0.45295597285964495E-009   0.309369540E-006
   0.45603730600835002E-009   0.328313519E-006
   0.45911863915705509E-009   0.348128850E-006
   0.46219997230576015E-009   0.368268473E-006
   0.46528130545446522E-009   0.389180997E-006
   0.46836263860317029E-009   0.411874595E-006
   0.47144397175187536E-009   0.436557428E-006
   0.47452530490058042E-009   0.462350670E-006
   0.47760663804928549E-009   0.488528713E-006
   0.48068797119799056E-009   0.515670251E-006
   0.48376930434669563E-009   0.545086891E-006
   0.48685063749540070E-009   0.577040851E-006
   0.48993197064410576E-009   0.610391112E-006
   0.49301330379281083E-009   0.644207432E-006
   0.49609463694151590E-009   0.679221444E-006
   0.49917597009022097E-009   0.717096668E-006
   0.50225730323892603E-009   0.758184854E-006
   0.50533863638763110E-009   0.801043768E-006
   0.50841996953633617E-009   0.844456110E-006
   0.51150130268504124E-009   0.889321882E-006
   0.51458263583374630E-009   0.937775496E-006
   0.51766396898245137E-009   0.990290118E-006
   0.52074530213115644E-009   0.104501191E-005
   0.52382663527986151E-009   0.110035876E-005
   0.52690796842856658E-009   0.115747264E-005
   0.52998930157727164E-009   0.121907897E-005
   0.53307063472597671E-009   0.128577278E-005
   0.53615196787468178E-009   0.135517723E-005
   0.53923330102338685E-009   0.142528324E-005
   0.54231463417209191E-009   0.149754248E-005
   0.54539596732079698E-009   0.157536647E-005
   0.54847730046950205E-009   0.165947836E-005
   0.55155863361820712E-009   0.174692229E-005
   0.55463996676691218E-009   0.183518955E-005
   0.55772129991561725E-009   0.192602579E-005
   0.56080263306432232E-009   0.202365868E-005
   0.56388396621302739E-009   0.212906207E-005
   0.56696529936173246E-009   0.223856796E-005
   0.57004663251043752E-009   0.234895356E-005
   0.57312796565914259E-009   0.246235459E-005
   0.57620929880784766E-009   0.258408295E-005
   0.57929063195655273E-009   0.271533804E-005
   0.58237196510525779E-009   0.285151145E-005
   0.58545329825396286E-009   0.298863483E-005
   0.58853463140266793E-009   0.312934594E-005
   0.59161596455137300E-009   0.328011265E-005
   0.59469729770007806E-009   0.344242358E-005
   0.59777863084878313E-009   0.361068055E-005
   0.60085996399748820E-009   0.377993501E-005
   0.60394129714619327E-009   0.395332199E-005
   0.60702263029489834E-009   0.413882390E-005
   0.61010396344360340E-009   0.433831065E-005
   0.61318529659230847E-009   0.454483188E-005
   0.61626662974101354E-009   0.475230308E-005
   0.61934796288971861E-009   0.496461007E-005
   0.62242929603842367E-009   0.519138848E-005
   0.62551062918712874E-009   0.543481201E-005
   0.62859196233583381E-009   0.568657970E-005
   0.63167329548453888E-009   0.593936693E-005
   0.63475462863324394E-009   0.619760840E-005
   0.63783596178194901E-009   0.647283741E-005
   0.64091729493065408E-009   0.676794025E-005
   0.64399862807935915E-009   0.707295112E-005
   0.64707996122806422E-009   0.737873324E-005
   0.65016129437676928E-009   0.769059261E-005
   0.65324262752547435E-009   0.802265276E-005
   0.65632396067417942E-009   0.837826701E-005
   0.65940529382288449E-009   0.874511079E-005
   0.66248662697158955E-009   0.911236475E-005
