t              BoxCavity.fdtd_Point probe_Ex_5_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.672965199E-011
   0.18487998892230406E-010   0.287434208E-010
   0.21569332040935474E-010   0.562032469E-010
   0.24650665189640542E-010   0.713103673E-010
   0.27731998338345609E-010   0.761369717E-010
   0.30813331487050677E-010   0.764474942E-010
   0.33894664635755745E-010   0.679719198E-010
   0.36975997784460812E-010   0.660403676E-010
   0.40057330933165880E-010   0.801371192E-010
   0.43138664081870948E-010   0.609249734E-010
   0.46219997230576015E-010  -0.122649738E-010
   0.49301330379281083E-010  -0.396949036E-010
   0.52382663527986151E-010   0.468208146E-010
   0.55463996676691218E-010   0.140291306E-009
   0.58545329825396286E-010   0.136717540E-009
   0.61626662974101354E-010   0.103091952E-009
   0.64707996122806422E-010   0.117043542E-009
   0.67789329271511489E-010   0.138260667E-009
   0.70870662420216557E-010   0.141506765E-009
   0.73951995568921625E-010   0.158121405E-009
   0.77033328717626692E-010   0.162032776E-009
   0.80114661866331760E-010   0.127900524E-009
   0.83195995015036828E-010   0.131658559E-009
   0.86277328163741895E-010   0.207607820E-009
   0.89358661312446963E-010   0.258834509E-009
   0.92439994461152031E-010   0.244486181E-009
   0.95521327609857098E-010   0.249155918E-009
   0.98602660758562166E-010   0.298106068E-009
   0.10168399390726723E-009   0.326498967E-009
   0.10476532705597230E-009   0.332012057E-009
   0.10784666020467737E-009   0.361109725E-009
   0.11092799335338244E-009   0.402946065E-009
   0.11400932650208750E-009   0.434014297E-009
   0.11709065965079257E-009   0.469824846E-009
   0.12017199279949764E-009   0.511782061E-009
   0.12325332594820271E-009   0.550834767E-009
   0.12633465909690778E-009   0.607494832E-009
   0.12941599224561284E-009   0.679932999E-009
   0.13249732539431791E-009   0.730519756E-009
   0.13557865854302298E-009   0.770169262E-009
   0.13865999169172805E-009   0.842420744E-009
   0.14174132484043311E-009   0.930476196E-009
   0.14482265798913818E-009   0.998920613E-009
   0.14790399113784325E-009   0.107257037E-008
   0.15098532428654832E-009   0.117702137E-008
   0.15406665743525338E-009   0.128623756E-008
   0.15714799058395845E-009   0.138525580E-008
   0.16022932373266352E-009   0.149397172E-008
   0.16331065688136859E-009   0.162034419E-008
   0.16639199003007366E-009   0.176193848E-008
   0.16947332317877872E-009   0.191992222E-008
   0.17255465632748379E-009   0.207807371E-008
   0.17563598947618886E-009   0.222851826E-008
   0.17871732262489393E-009   0.240560127E-008
   0.18179865577359899E-009   0.262722266E-008
   0.18487998892230406E-009   0.285530377E-008
   0.18796132207100913E-009   0.306988812E-008
   0.19104265521971420E-009   0.330556471E-008
   0.19412398836841926E-009   0.358382701E-008
   0.19720532151712433E-009   0.388809784E-008
   0.20028665466582940E-009   0.420503454E-008
   0.20336798781453447E-009   0.453337456E-008
   0.20644932096323954E-009   0.488063678E-008
   0.20953065411194460E-009   0.527228305E-008
   0.21261198726064967E-009   0.571765035E-008
   0.21569332040935474E-009   0.618253138E-008
   0.21877465355805981E-009   0.664754785E-008
   0.22185598670676487E-009   0.714959247E-008
   0.22493731985546994E-009   0.772315811E-008
   0.22801865300417501E-009   0.835610692E-008
   0.23109998615288008E-009   0.902087027E-008
   0.23418131930158514E-009   0.970501635E-008
   0.23726265245029021E-009   0.104248157E-007
   0.24034398559899528E-009   0.112274590E-007
   0.24342531874770035E-009   0.121364288E-007
   0.24650665189640542E-009   0.131018201E-007
   0.24958798504511048E-009   0.140727634E-007
   0.25266931819381555E-009   0.150920503E-007
   0.25575065134252062E-009   0.162431206E-007
   0.25883198449122569E-009   0.175353261E-007
   0.26191331763993075E-009   0.188992964E-007
   0.26499465078863582E-009   0.202825152E-007
   0.26807598393734089E-009   0.217292317E-007
   0.27115731708604596E-009   0.233497435E-007
   0.27423865023475102E-009   0.251815973E-007
   0.27731998338345609E-009   0.271173217E-007
   0.28040131653216116E-009   0.290559665E-007
   0.28348264968086623E-009   0.310832320E-007
   0.28656398282957130E-009   0.333755494E-007
   0.28964531597827636E-009   0.359546171E-007
   0.29272664912698143E-009   0.386592021E-007
   0.29580798227568650E-009   0.413764454E-007
   0.29888931542439157E-009   0.442211494E-007
   0.30197064857309663E-009   0.474186947E-007
   0.30505198172180170E-009   0.510154088E-007
   0.30813331487050677E-009   0.547936310E-007
   0.31121464801921184E-009   0.585744786E-007
   0.31429598116791690E-009   0.625249044E-007
   0.31737731431662197E-009   0.669753391E-007
   0.32045864746532704E-009   0.719670297E-007
   0.32353998061403211E-009   0.771881901E-007
   0.32662131376273718E-009   0.824212663E-007
   0.32970264691144224E-009   0.878941862E-007
   0.33278398006014731E-009   0.940316625E-007
   0.33586531320885238E-009   0.100902902E-006
   0.33894664635755745E-009   0.108099790E-006
   0.34202797950626251E-009   0.115300274E-006
   0.34510931265496758E-009   0.122806981E-006
   0.34819064580367265E-009   0.131225306E-006
   0.35127197895237772E-009   0.140644417E-006
   0.35435331210108278E-009   0.150486059E-006
   0.35743464524978785E-009   0.160324575E-006
   0.36051597839849292E-009   0.170577906E-006
   0.36359731154719799E-009   0.182047060E-006
   0.36667864469590306E-009   0.194859197E-006
   0.36975997784460812E-009   0.208249133E-006
   0.37284131099331319E-009   0.221616503E-006
   0.37592264414201826E-009   0.235509106E-006
   0.37900397729072333E-009   0.251038387E-006
   0.38208531043942839E-009   0.268381115E-006
   0.38516664358813346E-009   0.286471078E-006
   0.38824797673683853E-009   0.304499537E-006
   0.39132930988554360E-009   0.323225862E-006
   0.39441064303424866E-009   0.344130285E-006
   0.39749197618295373E-009   0.367435405E-006
   0.40057330933165880E-009   0.391723830E-006
   0.40365464248036387E-009   0.415904395E-006
   0.40673597562906894E-009   0.440972997E-006
   0.40981730877777400E-009   0.468923417E-006
   0.41289864192647907E-009   0.500062185E-006
   0.41597997507518414E-009   0.532466515E-006
   0.41906130822388921E-009   0.564671325E-006
   0.42214264137259427E-009   0.598027896E-006
   0.42522397452129934E-009   0.635181379E-006
   0.42830530767000441E-009   0.676507057E-006
   0.43138664081870948E-009   0.719456409E-006
   0.43446797396741454E-009   0.762100342E-006
   0.43754930711611961E-009   0.806207822E-006
   0.44063064026482468E-009   0.855260055E-006
   0.44371197341352975E-009   0.909758228E-006
   0.44679330656223482E-009   0.966334028E-006
   0.44987463971093988E-009   0.102243075E-005
   0.45295597285964495E-009   0.108037557E-005
   0.45603730600835002E-009   0.114473744E-005
   0.45911863915705509E-009   0.121615130E-005
   0.46219997230576015E-009   0.129019304E-005
   0.46528130545446522E-009   0.136352321E-005
   0.46836263860317029E-009   0.143917532E-005
   0.47144397175187536E-009   0.152308610E-005
   0.47452530490058042E-009   0.161606090E-005
   0.47760663804928549E-009   0.171233819E-005
   0.48068797119799056E-009   0.180758286E-005
   0.48376930434669563E-009   0.190571836E-005
   0.48685063749540070E-009   0.201440821E-005
   0.48993197064410576E-009   0.213467661E-005
   0.49301330379281083E-009   0.225907797E-005
   0.49609463694151590E-009   0.238200255E-005
   0.49917597009022097E-009   0.250848188E-005
   0.50225730323892603E-009   0.264836785E-005
   0.50533863638763110E-009   0.280295694E-005
   0.50841996953633617E-009   0.296265466E-005
   0.51150130268504124E-009   0.312026327E-005
   0.51458263583374630E-009   0.328223246E-005
   0.51766396898245137E-009   0.346112324E-005
   0.52074530213115644E-009   0.365853043E-005
   0.52382663527986151E-009   0.386220836E-005
   0.52690796842856658E-009   0.406300933E-005
   0.52998930157727164E-009   0.426910810E-005
   0.53307063472597671E-009   0.449639083E-005
   0.53615196787468178E-009   0.474683247E-005
   0.53923330102338685E-009   0.500491842E-005
   0.54231463417209191E-009   0.525908627E-005
   0.54539596732079698E-009   0.551962967E-005
   0.54847730046950205E-009   0.580651977E-005
   0.55155863361820712E-009   0.612219765E-005
   0.55463996676691218E-009   0.644713191E-005
   0.55772129991561725E-009   0.676677337E-005
   0.56080263306432232E-009   0.709399865E-005
   0.56388396621302739E-009   0.745378020E-005
   0.56696529936173246E-009   0.784909025E-005
   0.57004663251043752E-009   0.825546522E-005
   0.57312796565914259E-009   0.865478887E-005
   0.57620929880784766E-009   0.906312016E-005
   0.57929063195655273E-009   0.951138372E-005
   0.58237196510525779E-009   0.100031166E-004
   0.58545329825396286E-009   0.105080153E-004
   0.58853463140266793E-009   0.110037236E-004
   0.59161596455137300E-009   0.115099801E-004
   0.59469729770007806E-009   0.120647856E-004
   0.59777863084878313E-009   0.126724344E-004
   0.60085996399748820E-009   0.132956175E-004
   0.60394129714619327E-009   0.139068370E-004
   0.60702263029489834E-009   0.145302974E-004
   0.61010396344360340E-009   0.152124649E-004
   0.61318529659230847E-009   0.159584124E-004
   0.61626662974101354E-009   0.167224898E-004
   0.61934796288971861E-009   0.174712186E-004
   0.62242929603842367E-009   0.182340355E-004
   0.62551062918712874E-009   0.190672599E-004
   0.62859196233583381E-009   0.199768874E-004
   0.63167329548453888E-009   0.209074879E-004
   0.63475462863324394E-009   0.218185141E-004
   0.63783596178194901E-009   0.227455475E-004
   0.64091729493065408E-009   0.237564636E-004
   0.64399862807935915E-009   0.248582292E-004
   0.64707996122806422E-009   0.259839890E-004
   0.65016129437676928E-009   0.270851324E-004
   0.65324262752547435E-009   0.282043893E-004
   0.65632396067417942E-009   0.294227902E-004
   0.65940529382288449E-009   0.307483024E-004
   0.66248662697158955E-009   0.321010048E-004
