t              BoxCavity.fdtd_Point probe002_Ex_24_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.43138664081870948E-010   0.000000000E+000
   0.46219997230576015E-010   0.000000000E+000
   0.49301330379281083E-010   0.000000000E+000
   0.52382663527986151E-010   0.000000000E+000
   0.55463996676691218E-010   0.000000000E+000
   0.58545329825396286E-010   0.000000000E+000
   0.61626662974101354E-010   0.000000000E+000
   0.64707996122806422E-010   0.000000000E+000
   0.67789329271511489E-010   0.000000000E+000
   0.70870662420216557E-010   0.000000000E+000
   0.73951995568921625E-010   0.120256116E-023
   0.77033328717626692E-010   0.167129949E-022
   0.80114661866331760E-010   0.143129320E-021
   0.83195995015036828E-010   0.981398502E-021
   0.86277328163741895E-010   0.563571278E-020
   0.89358661312446963E-010   0.281293786E-019
   0.92439994461152031E-010   0.126996303E-018
   0.95521327609857098E-010   0.527484391E-018
   0.98602660758562166E-010   0.201520925E-017
   0.10168399390726723E-009   0.707705623E-017
   0.10476532705597230E-009   0.229293870E-016
   0.10784666020467737E-009   0.688951387E-016
   0.11092799335338244E-009   0.192919880E-015
   0.11400932650208750E-009   0.505701116E-015
   0.11709065965079257E-009   0.124549821E-014
   0.12017199279949764E-009   0.288957582E-014
   0.12325332594820271E-009   0.632566238E-014
   0.12633465909690778E-009   0.130852360E-013
   0.12941599224561284E-009   0.256124959E-013
   0.13249732539431791E-009   0.474867202E-013
   0.13557865854302298E-009   0.834363503E-013
   0.13865999169172805E-009   0.138913891E-012
   0.14174132484043311E-009   0.218982981E-012
   0.14482265798913818E-009   0.326352362E-012
   0.14790399113784325E-009   0.458687016E-012
   0.15098532428654832E-009   0.605802463E-012
   0.15406665743525338E-009   0.747715366E-012
   0.15714799058395845E-009   0.854720808E-012
   0.16022932373266352E-009   0.890937877E-012
   0.16331065688136859E-009   0.822707408E-012
   0.16639199003007366E-009   0.631325450E-012
   0.16947332317877872E-009   0.326202932E-012
   0.17255465632748379E-009  -0.469228335E-013
   0.17563598947618886E-009  -0.407315186E-012
   0.17871732262489393E-009  -0.653433362E-012
   0.18179865577359899E-009  -0.689365232E-012
   0.18487998892230406E-009  -0.455368165E-012
   0.18796132207100913E-009   0.458156733E-013
   0.19104265521971420E-009   0.728625819E-012
   0.19412398836841926E-009   0.142266949E-011
   0.19720532151712433E-009   0.191943380E-011
   0.20028665466582940E-009   0.206569917E-011
   0.20336798781453447E-009   0.183477712E-011
   0.20644932096323954E-009   0.132174631E-011
   0.20953065411194460E-009   0.699680927E-012
   0.21261198726064967E-009   0.181214527E-012
   0.21569332040935474E-009  -0.357720038E-013
   0.21877465355805981E-009   0.170823859E-012
   0.22185598670676487E-009   0.821004994E-012
   0.22493731985546994E-009   0.177446230E-011
   0.22801865300417501E-009   0.263913370E-011
   0.23109998615288008E-009   0.294779587E-011
   0.23418131930158514E-009   0.266238745E-011
   0.23726265245029021E-009   0.229971988E-011
   0.24034398559899528E-009   0.226241530E-011
   0.24342531874770035E-009   0.233647108E-011
   0.24650665189640542E-009   0.221836698E-011
   0.24958798504511048E-009   0.213718756E-011
   0.25266931819381555E-009   0.252857327E-011
   0.25575065134252062E-009   0.350145217E-011
   0.25883198449122569E-009   0.477488925E-011
   0.26191331763993075E-009   0.553866284E-011
   0.26499465078863582E-009   0.484439832E-011
   0.26807598393734089E-009   0.337925629E-011
   0.27115731708604596E-009   0.371144868E-011
   0.27423865023475102E-009   0.656186650E-011
   0.27731998338345609E-009   0.856445036E-011
   0.28040131653216116E-009   0.701343714E-011
   0.28348264968086623E-009   0.465209425E-011
   0.28656398282957130E-009   0.564321593E-011
   0.28964531597827636E-009   0.930650262E-011
   0.29272664912698143E-009   0.119813586E-010
   0.29580798227568650E-009   0.119514875E-010
   0.29888931542439157E-009   0.952747690E-011
   0.30197064857309663E-009   0.697904495E-011
   0.30505198172180170E-009   0.930182494E-011
   0.30813331487050677E-009   0.174076031E-010
   0.31121464801921184E-009   0.220064366E-010
   0.31429598116791690E-009   0.157926866E-010
   0.31737731431662197E-009   0.820376406E-011
   0.32045864746532704E-009   0.126563777E-010
   0.32353998061403211E-009   0.242691110E-010
   0.32662131376273718E-009   0.283243186E-010
   0.32970264691144224E-009   0.239683239E-010
   0.33278398006014731E-009   0.208801310E-010
   0.33586531320885238E-009   0.218711559E-010
   0.33894664635755745E-009   0.256773856E-010
   0.34202797950626251E-009   0.336293701E-010
   0.34510931265496758E-009   0.403867079E-010
   0.34819064580367265E-009   0.367595294E-010
   0.35127197895237772E-009   0.299252741E-010
   0.35435331210108278E-009   0.360720898E-010
   0.35743464524978785E-009   0.501225519E-010
   0.36051597839849292E-009   0.531112584E-010
   0.36359731154719799E-009   0.473833403E-010
   0.36667864469590306E-009   0.505303056E-010
   0.36975997784460812E-009   0.612547860E-010
   0.37284131099331319E-009   0.655815402E-010
   0.37592264414201826E-009   0.657322877E-010
   0.37900397729072333E-009   0.717438678E-010
   0.38208531043942839E-009   0.798666272E-010
   0.38516664358813346E-009   0.839715589E-010
   0.38824797673683853E-009   0.891145699E-010
   0.39132930988554360E-009   0.975852663E-010
   0.39441064303424866E-009   0.103584565E-009
   0.39749197618295373E-009   0.108591941E-009
   0.40057330933165880E-009   0.118952320E-009
   0.40365464248036387E-009   0.130386660E-009
   0.40673597562906894E-009   0.136553269E-009
   0.40981730877777400E-009   0.143159110E-009
   0.41289864192647907E-009   0.155839952E-009
   0.41597997507518414E-009   0.169245395E-009
   0.41906130822388921E-009   0.179767326E-009
   0.42214264137259427E-009   0.191331381E-009
   0.42522397452129934E-009   0.204565614E-009
   0.42830530767000441E-009   0.217612137E-009
   0.43138664081870948E-009   0.233607439E-009
   0.43446797396741454E-009   0.252939475E-009
   0.43754930711611961E-009   0.269356981E-009
   0.44063064026482468E-009   0.283260443E-009
   0.44371197341352975E-009   0.302537828E-009
   0.44679330656223482E-009   0.326847022E-009
   0.44987463971093988E-009   0.349431151E-009
   0.45295597285964495E-009   0.371316644E-009
   0.45603730600835002E-009   0.396431249E-009
   0.45911863915705509E-009   0.421991858E-009
   0.46219997230576015E-009   0.447422988E-009
   0.46528130545446522E-009   0.478695694E-009
   0.46836263860317029E-009   0.515114618E-009
   0.47144397175187536E-009   0.548434576E-009
   0.47452530490058042E-009   0.578640746E-009
   0.47760663804928549E-009   0.614327200E-009
   0.48068797119799056E-009   0.658082144E-009
   0.48376930434669563E-009   0.704423131E-009
   0.48685063749540070E-009   0.748879347E-009
   0.48993197064410576E-009   0.792153620E-009
   0.49301330379281083E-009   0.839758929E-009
   0.49609463694151590E-009   0.897066477E-009
   0.49917597009022097E-009   0.960005075E-009
   0.50225730323892603E-009   0.101838005E-008
   0.50533863638763110E-009   0.107323628E-008
   0.50841996953633617E-009   0.113820220E-008
   0.51150130268504124E-009   0.121830968E-008
   0.51458263583374630E-009   0.130121391E-008
   0.51766396898245137E-009   0.137544598E-008
   0.52074530213115644E-009   0.144728363E-008
   0.52382663527986151E-009   0.153343893E-008
   0.52690796842856658E-009   0.163964142E-008
   0.52998930157727164E-009   0.175102399E-008
   0.53307063472597671E-009   0.184986459E-008
   0.53615196787468178E-009   0.194198302E-008
   0.53923330102338685E-009   0.205270645E-008
   0.54231463417209191E-009   0.219228036E-008
   0.54539596732079698E-009   0.233969910E-008
   0.54847730046950205E-009   0.247036325E-008
   0.55155863361820712E-009   0.259064636E-008
   0.55463996676691218E-009   0.273287326E-008
   0.55772129991561725E-009   0.291368019E-008
   0.56080263306432232E-009   0.310746251E-008
   0.56388396621302739E-009   0.327739236E-008
   0.56696529936173246E-009   0.343054984E-008
   0.57004663251043752E-009   0.361506070E-008
   0.57312796565914259E-009   0.385257071E-008
   0.57620929880784766E-009   0.410310808E-008
   0.57929063195655273E-009   0.431917924E-008
   0.58237196510525779E-009   0.451461180E-008
   0.58545329825396286E-009   0.475133755E-008
   0.58853463140266793E-009   0.505792830E-008
   0.59161596455137300E-009   0.538448086E-008
   0.59469729770007806E-009   0.566244474E-008
   0.59777863084878313E-009   0.590438365E-008
   0.60085996399748820E-009   0.620151441E-008
   0.60394129714619327E-009   0.659942767E-008
   0.60702263029489834E-009   0.702273928E-008
   0.61010396344360340E-009   0.737355110E-008
   0.61318529659230847E-009   0.767471509E-008
   0.61626662974101354E-009   0.804948996E-008
   0.61934796288971861E-009   0.855543281E-008
   0.62242929603842367E-009   0.909633346E-008
   0.62551062918712874E-009   0.954237844E-008
   0.62859196233583381E-009   0.991481297E-008
   0.63167329548453888E-009   0.103792717E-007
   0.63475462863324394E-009   0.110232579E-007
   0.63783596178194901E-009   0.117143673E-007
   0.64091729493065408E-009   0.122691421E-007
   0.64399862807935915E-009   0.127221345E-007
   0.64707996122806422E-009   0.133015146E-007
   0.65016129437676928E-009   0.141165781E-007
   0.65324262752547435E-009   0.149877089E-007
   0.65632396067417942E-009   0.156766813E-007
   0.65940529382288449E-009   0.162262541E-007
   0.66248662697158955E-009   0.169351448E-007
