t              BoxCavity.fdtd_Point probe_Ex_20_30_24.dat
   0.37130064441896066E-009  -0.664544473E-006
   0.37284131099331319E-009  -0.685822442E-006
   0.37438197756766572E-009  -0.708143261E-006
   0.37592264414201826E-009  -0.731725322E-006
   0.37746331071637079E-009  -0.755988140E-006
   0.37900397729072333E-009  -0.780351002E-006
   0.38054464386507586E-009  -0.805085506E-006
   0.38208531043942839E-009  -0.831010254E-006
   0.38362597701378093E-009  -0.858383146E-006
   0.38516664358813346E-009  -0.886533542E-006
   0.38670731016248600E-009  -0.914813199E-006
   0.38824797673683853E-009  -0.943569603E-006
   0.38978864331119106E-009  -0.973740612E-006
   0.39132930988554360E-009  -0.100558134E-005
   0.39286997645989613E-009  -0.103829575E-005
   0.39441064303424866E-009  -0.107113328E-005
   0.39595130960860120E-009  -0.110447706E-005
   0.39749197618295373E-009  -0.113939893E-005
   0.39903264275730627E-009  -0.117622153E-005
   0.40057330933165880E-009  -0.121405549E-005
   0.40211397590601133E-009  -0.125202700E-005
   0.40365464248036387E-009  -0.129056605E-005
   0.40519530905471640E-009  -0.133092738E-005
   0.40673597562906894E-009  -0.137351037E-005
   0.40827664220342147E-009  -0.141730106E-005
   0.40981730877777400E-009  -0.146129412E-005
   0.41135797535212654E-009  -0.150597452E-005
   0.41289864192647907E-009  -0.155275006E-005
   0.41443930850083160E-009  -0.160203047E-005
   0.41597997507518414E-009  -0.165261736E-005
   0.41752064164953667E-009  -0.170335227E-005
   0.41906130822388921E-009  -0.175481523E-005
   0.42060197479824174E-009  -0.180865970E-005
   0.42214264137259427E-009  -0.186538682E-005
   0.42368330794694681E-009  -0.192363291E-005
   0.42522397452129934E-009  -0.198207476E-005
   0.42676464109565188E-009  -0.204138883E-005
   0.42830530767000441E-009  -0.210347730E-005
   0.42984597424435694E-009  -0.216889794E-005
   0.43138664081870948E-009  -0.223605457E-005
   0.43292730739306201E-009  -0.230339606E-005
   0.43446797396741454E-009  -0.237167092E-005
   0.43600864054176708E-009  -0.244304465E-005
   0.43754930711611961E-009  -0.251816437E-005
   0.43908997369047215E-009  -0.259522471E-005
   0.44063064026482468E-009  -0.267247333E-005
   0.44217130683917721E-009  -0.275079196E-005
   0.44371197341352975E-009  -0.283269264E-005
   0.44525263998788228E-009  -0.291893889E-005
   0.44679330656223482E-009  -0.300745137E-005
   0.44833397313658735E-009  -0.309617849E-005
   0.44987463971093988E-009  -0.318608159E-005
   0.45141530628529242E-009  -0.328000397E-005
   0.45295597285964495E-009  -0.337881124E-005
   0.45449663943399748E-009  -0.348014805E-005
   0.45603730600835002E-009  -0.358170928E-005
   0.45757797258270255E-009  -0.368461201E-005
   0.45911863915705509E-009  -0.379209291E-005
   0.46065930573140762E-009  -0.390513742E-005
   0.46219997230576015E-009  -0.402106707E-005
   0.46374063888011269E-009  -0.413724092E-005
   0.46528130545446522E-009  -0.425489952E-005
   0.46682197202881776E-009  -0.437771996E-005
   0.46836263860317029E-009  -0.450682728E-005
   0.46990330517752282E-009  -0.463916422E-005
   0.47144397175187536E-009  -0.477172534E-005
   0.47298463832622789E-009  -0.490595494E-005
   0.47452530490058042E-009  -0.504606305E-005
   0.47606597147493296E-009  -0.519332707E-005
   0.47760663804928549E-009  -0.534426181E-005
   0.47914730462363803E-009  -0.549543347E-005
   0.48068797119799056E-009  -0.564843094E-005
   0.48222863777234309E-009  -0.580798951E-005
   0.48376930434669563E-009  -0.597558028E-005
   0.48530997092104816E-009  -0.614730106E-005
   0.48685063749540070E-009  -0.631927423E-005
   0.48839130406975323E-009  -0.649330013E-005
   0.48993197064410576E-009  -0.667476115E-005
   0.49147263721845830E-009  -0.686531803E-005
   0.49301330379281083E-009  -0.706049832E-005
   0.49455397036716336E-009  -0.725587279E-005
   0.49609463694151590E-009  -0.745350644E-005
   0.49763530351586843E-009  -0.765953337E-005
   0.49917597009022097E-009  -0.787583758E-005
   0.50071663666457350E-009  -0.809734138E-005
   0.50225730323892603E-009  -0.831900434E-005
   0.50379796981327857E-009  -0.854310838E-005
   0.50533863638763110E-009  -0.877656112E-005
   0.50687930296198364E-009  -0.902153533E-005
   0.50841996953633617E-009  -0.927234760E-005
   0.50996063611068870E-009  -0.952331175E-005
   0.51150130268504124E-009  -0.977700256E-005
   0.51304196925939377E-009  -0.100412371E-004
   0.51458263583374630E-009  -0.103184466E-004
   0.51612330240809884E-009  -0.106021525E-004
   0.51766396898245137E-009  -0.108859340E-004
   0.51920463555680391E-009  -0.111727304E-004
   0.52074530213115644E-009  -0.114713102E-004
   0.52228596870550897E-009  -0.117843410E-004
   0.52382663527986151E-009  -0.121045696E-004
   0.52536730185421404E-009  -0.124248490E-004
   0.52690796842856658E-009  -0.127484709E-004
   0.52844863500291911E-009  -0.130852668E-004
   0.52998930157727164E-009  -0.134382790E-004
   0.53152996815162418E-009  -0.137993411E-004
   0.53307063472597671E-009  -0.141603005E-004
   0.53461130130032924E-009  -0.145248159E-004
   0.53615196787468178E-009  -0.149040270E-004
   0.53769263444903431E-009  -0.153014025E-004
