t              BoxCavity.fdtd_Point probe_Ey_20_30_24.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406665743525338E-011   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.46219997230576015E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.77033328717626692E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.10784666020467737E-010  -0.306273832E-012
   0.12325332594820271E-010  -0.166885993E-011
   0.13865999169172805E-010  -0.441387768E-011
   0.15406665743525338E-010  -0.833911152E-011
   0.16947332317877872E-010  -0.139453969E-010
   0.18487998892230406E-010  -0.214492868E-010
   0.20028665466582940E-010  -0.300898334E-010
   0.21569332040935474E-010  -0.419224620E-010
   0.23109998615288008E-010  -0.582817475E-010
   0.24650665189640542E-010  -0.672381803E-010
   0.26191331763993075E-010  -0.536211527E-010
   0.27731998338345609E-010  -0.287319838E-010
   0.29272664912698143E-010  -0.188402453E-010
   0.30813331487050677E-010  -0.195684944E-010
   0.32353998061403211E-010  -0.589379500E-011
   0.33894664635755745E-010   0.168388602E-010
   0.35435331210108278E-010   0.259608689E-010
   0.36975997784460812E-010   0.239158728E-010
   0.38516664358813346E-010   0.121760787E-010
   0.40057330933165880E-010  -0.256161169E-010
   0.41597997507518414E-010  -0.635426711E-010
   0.43138664081870948E-010  -0.466359798E-010
   0.44679330656223482E-010  -0.482554274E-011
   0.46219997230576015E-010  -0.250547933E-010
   0.47760663804928549E-010  -0.874512893E-010
   0.49301330379281083E-010  -0.905198347E-010
   0.50841996953633617E-010  -0.374489953E-010
   0.52382663527986151E-010  -0.181882061E-010
   0.53923330102338685E-010  -0.377718100E-010
   0.55463996676691218E-010  -0.393544294E-010
   0.57004663251043752E-010  -0.328639754E-010
   0.58545329825396286E-010  -0.459433672E-010
   0.60085996399748820E-010  -0.446843951E-010
   0.61626662974101354E-010  -0.191988092E-010
   0.63167329548453888E-010  -0.233874829E-010
   0.64707996122806422E-010  -0.613119278E-010
   0.66248662697158955E-010  -0.736662814E-010
   0.67789329271511489E-010  -0.570855481E-010
   0.69329995845864023E-010  -0.588201016E-010
   0.70870662420216557E-010  -0.751297982E-010
   0.72411328994569091E-010  -0.743438297E-010
   0.73951995568921625E-010  -0.687049861E-010
   0.75492662143274158E-010  -0.773776321E-010
   0.77033328717626692E-010  -0.852409532E-010
   0.78573995291979226E-010  -0.827687502E-010
   0.80114661866331760E-010  -0.800183600E-010
   0.81655328440684294E-010  -0.779103795E-010
   0.83195995015036828E-010  -0.781452750E-010
   0.84736661589389362E-010  -0.911433359E-010
   0.86277328163741895E-010  -0.105840628E-009
   0.87817994738094429E-010  -0.102785808E-009
   0.89358661312446963E-010  -0.966855485E-010
   0.90899327886799497E-010  -0.108505961E-009
   0.92439994461152031E-010  -0.122814411E-009
   0.93980661035504565E-010  -0.123600616E-009
   0.95521327609857098E-010  -0.126067365E-009
   0.97061994184209632E-010  -0.138326059E-009
   0.98602660758562166E-010  -0.145259207E-009
   0.10014332733291470E-009  -0.144117288E-009
   0.10168399390726723E-009  -0.147244800E-009
   0.10322466048161977E-009  -0.155813779E-009
   0.10476532705597230E-009  -0.165092828E-009
   0.10630599363032484E-009  -0.174914042E-009
   0.10784666020467737E-009  -0.180830947E-009
   0.10938732677902990E-009  -0.181670887E-009
   0.11092799335338244E-009  -0.188934840E-009
   0.11246865992773497E-009  -0.204873729E-009
   0.11400932650208750E-009  -0.215449658E-009
   0.11554999307644004E-009  -0.219222515E-009
   0.11709065965079257E-009  -0.228939340E-009
   0.11863132622514511E-009  -0.243044085E-009
   0.12017199279949764E-009  -0.251147048E-009
   0.12171265937385017E-009  -0.257264404E-009
   0.12325332594820271E-009  -0.269175265E-009
   0.12479399252255524E-009  -0.283321921E-009
   0.12633465909690778E-009  -0.296022568E-009
   0.12787532567126031E-009  -0.308546882E-009
   0.12941599224561284E-009  -0.319656163E-009
   0.13095665881996538E-009  -0.330718480E-009
   0.13249732539431791E-009  -0.347388535E-009
   0.13403799196867044E-009  -0.366834646E-009
   0.13557865854302298E-009  -0.381534276E-009
   0.13711932511737551E-009  -0.394604766E-009
   0.13865999169172805E-009  -0.411761708E-009
   0.14020065826608058E-009  -0.429135116E-009
   0.14174132484043311E-009  -0.444588699E-009
   0.14328199141478565E-009  -0.463452027E-009
   0.14482265798913818E-009  -0.485331886E-009
   0.14636332456349072E-009  -0.504745412E-009
   0.14790399113784325E-009  -0.523496524E-009
   0.14944465771219578E-009  -0.545744949E-009
   0.15098532428654832E-009  -0.569469139E-009
   0.15252599086090085E-009  -0.593034177E-009
   0.15406665743525338E-009  -0.617991380E-009
   0.15560732400960592E-009  -0.643506137E-009
   0.15714799058395845E-009  -0.669329592E-009
   0.15868865715831099E-009  -0.698058111E-009
   0.16022932373266352E-009  -0.727817639E-009
   0.16176999030701605E-009  -0.754897089E-009
   0.16331065688136859E-009  -0.783664966E-009
   0.16485132345572112E-009  -0.819156631E-009
   0.16639199003007366E-009  -0.856068660E-009
   0.16793265660442619E-009  -0.888530638E-009
   0.16947332317877872E-009  -0.920481802E-009
   0.17101398975313126E-009  -0.957451118E-009
   0.17255465632748379E-009  -0.999097027E-009
   0.17409532290183632E-009  -0.104252462E-008
   0.17563598947618886E-009  -0.108459641E-008
   0.17717665605054139E-009  -0.112459175E-008
   0.17871732262489393E-009  -0.116789078E-008
   0.18025798919924646E-009  -0.121861743E-008
   0.18179865577359899E-009  -0.127115485E-008
   0.18333932234795153E-009  -0.131960920E-008
   0.18487998892230406E-009  -0.136844880E-008
   0.18642065549665660E-009  -0.142394374E-008
   0.18796132207100913E-009  -0.148444823E-008
   0.18950198864536166E-009  -0.154535473E-008
   0.19104265521971420E-009  -0.160499636E-008
   0.19258332179406673E-009  -0.166482805E-008
   0.19412398836841926E-009  -0.172967729E-008
   0.19566465494277180E-009  -0.180302528E-008
   0.19720532151712433E-009  -0.187960136E-008
   0.19874598809147687E-009  -0.195150296E-008
   0.20028665466582940E-009  -0.202126627E-008
   0.20182732124018193E-009  -0.209891282E-008
   0.20336798781453447E-009  -0.218756147E-008
   0.20490865438888700E-009  -0.227970220E-008
   0.20644932096323954E-009  -0.236692155E-008
   0.20798998753759207E-009  -0.245047205E-008
   0.20953065411194460E-009  -0.254121324E-008
   0.21107132068629714E-009  -0.264606226E-008
   0.21261198726064967E-009  -0.275744183E-008
   0.21415265383500220E-009  -0.286383850E-008
   0.21569332040935474E-009  -0.296664693E-008
   0.21723398698370727E-009  -0.307763481E-008
   0.21877465355805981E-009  -0.320374749E-008
   0.22031532013241234E-009  -0.333987638E-008
   0.22185598670676487E-009  -0.347361251E-008
   0.22339665328111741E-009  -0.359923913E-008
   0.22493731985546994E-009  -0.372901798E-008
   0.22647798642982248E-009  -0.387861787E-008
   0.22801865300417501E-009  -0.404005052E-008
   0.22955931957852754E-009  -0.419073043E-008
   0.23109998615288008E-009  -0.433088010E-008
   0.23264065272723261E-009  -0.448423165E-008
   0.23418131930158514E-009  -0.466000394E-008
   0.23572198587593768E-009  -0.484299267E-008
   0.23726265245029021E-009  -0.502224218E-008
   0.23880331902464275E-009  -0.520451593E-008
   0.24034398559899528E-009  -0.540083223E-008
   0.24188465217334781E-009  -0.561651792E-008
   0.24342531874770035E-009  -0.584778981E-008
   0.24496598532205288E-009  -0.608029538E-008
   0.24650665189640542E-009  -0.630498587E-008
   0.24804731847075795E-009  -0.653612631E-008
   0.24958798504511048E-009  -0.679164325E-008
   0.25112865161946302E-009  -0.705891035E-008
   0.25266931819381555E-009  -0.731007788E-008
   0.25420998476816808E-009  -0.754964979E-008
   0.25575065134252062E-009  -0.781280285E-008
   0.25729131791687315E-009  -0.811330292E-008
   0.25883198449122569E-009  -0.842595327E-008
   0.26037265106557822E-009  -0.872910366E-008
   0.26191331763993075E-009  -0.903684327E-008
   0.26345398421428329E-009  -0.937684064E-008
   0.26499465078863582E-009  -0.975297265E-008
   0.26653531736298836E-009  -0.101398445E-007
   0.26807598393734089E-009  -0.105103419E-007
   0.26961665051169342E-009  -0.108682299E-007
   0.27115731708604596E-009  -0.112488525E-007
   0.27269798366039849E-009  -0.116752465E-007
   0.27423865023475102E-009  -0.121226007E-007
   0.27577931680910356E-009  -0.125519755E-007
   0.27731998338345609E-009  -0.129718636E-007
   0.27886064995780863E-009  -0.134309719E-007
   0.28040131653216116E-009  -0.139486449E-007
   0.28194198310651369E-009  -0.144868659E-007
   0.28348264968086623E-009  -0.150029305E-007
   0.28502331625521876E-009  -0.155074691E-007
   0.28656398282957130E-009  -0.160523239E-007
   0.28810464940392383E-009  -0.166629661E-007
   0.28964531597827636E-009  -0.173001649E-007
   0.29118598255262890E-009  -0.179100841E-007
   0.29272664912698143E-009  -0.185038829E-007
   0.29426731570133396E-009  -0.191477803E-007
   0.29580798227568650E-009  -0.198671160E-007
   0.29734864885003903E-009  -0.206072492E-007
   0.29888931542439157E-009  -0.213138946E-007
   0.30042998199874410E-009  -0.220132819E-007
   0.30197064857309663E-009  -0.227779715E-007
   0.30351131514744917E-009  -0.236305286E-007
   0.30505198172180170E-009  -0.245129588E-007
   0.30659264829615424E-009  -0.253611159E-007
   0.30813331487050677E-009  -0.261932982E-007
   0.30967398144485930E-009  -0.270937690E-007
   0.31121464801921184E-009  -0.280987695E-007
   0.31275531459356437E-009  -0.291391267E-007
   0.31429598116791690E-009  -0.301335383E-007
   0.31583664774226944E-009  -0.311072448E-007
   0.31737731431662197E-009  -0.321630083E-007
   0.31891798089097451E-009  -0.333408394E-007
   0.32045864746532704E-009  -0.345607774E-007
   0.32199931403967957E-009  -0.357300145E-007
   0.32353998061403211E-009  -0.368745816E-007
   0.32508064718838464E-009  -0.381143721E-007
   0.32662131376273718E-009  -0.395008648E-007
   0.32816198033708971E-009  -0.409374685E-007
   0.32970264691144224E-009  -0.423106172E-007
   0.33124331348579478E-009  -0.436566410E-007
   0.33278398006014731E-009  -0.451185116E-007
   0.33432464663449984E-009  -0.467461589E-007
   0.33586531320885238E-009  -0.484246065E-007
   0.33740597978320491E-009  -0.500324617E-007
   0.33894664635755745E-009  -0.516120657E-007
   0.34048731293190998E-009  -0.533205373E-007
   0.34202797950626251E-009  -0.552214487E-007
   0.34356864608061505E-009  -0.571906966E-007
   0.34510931265496758E-009  -0.590777347E-007
   0.34664997922932012E-009  -0.609212591E-007
   0.34819064580367265E-009  -0.629136352E-007
   0.34973131237802518E-009  -0.651381100E-007
   0.35127197895237772E-009  -0.674423362E-007
   0.35281264552673025E-009  -0.696459779E-007
   0.35435331210108278E-009  -0.718016508E-007
   0.35589397867543532E-009  -0.741347037E-007
   0.35743464524978785E-009  -0.767332082E-007
   0.35897531182414039E-009  -0.794181290E-007
   0.36051597839849292E-009  -0.819863928E-007
   0.36205664497284545E-009  -0.845008756E-007
   0.36359731154719799E-009  -0.872200658E-007
   0.36513797812155052E-009  -0.902468429E-007
   0.36667864469590306E-009  -0.933770323E-007
   0.36821931127025559E-009  -0.963738032E-007
   0.36975997784460812E-009  -0.993034917E-007
