t              BoxCavity.fdtd_Point probe002_Ez_24_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.43138664081870948E-010   0.000000000E+000
   0.46219997230576015E-010   0.000000000E+000
   0.49301330379281083E-010   0.000000000E+000
   0.52382663527986151E-010   0.000000000E+000
   0.55463996676691218E-010   0.000000000E+000
   0.58545329825396286E-010   0.000000000E+000
   0.61626662974101354E-010   0.000000000E+000
   0.64707996122806422E-010   0.000000000E+000
   0.67789329271511489E-010   0.000000000E+000
   0.70870662420216557E-010   0.563700597E-023
   0.73951995568921625E-010   0.995373141E-022
   0.77033328717626692E-010   0.108708173E-020
   0.80114661866331760E-010   0.919881791E-020
   0.83195995015036828E-010   0.642913142E-019
   0.86277328163741895E-010   0.385769948E-018
   0.89358661312446963E-010   0.203539453E-017
   0.92439994461152031E-010   0.956662999E-017
   0.95521327609857098E-010   0.404258253E-016
   0.98602660758562166E-010   0.154931088E-015
   0.10168399390726723E-009   0.542933084E-015
   0.10476532705597230E-009   0.175203704E-014
   0.10784666020467737E-009   0.523690486E-014
   0.11092799335338244E-009   0.145692665E-013
   0.11400932650208750E-009   0.378741736E-013
   0.11709065965079257E-009   0.922947293E-013
   0.12017199279949764E-009   0.211380419E-012
   0.12325332594820271E-009   0.455946587E-012
   0.12633465909690778E-009   0.927728163E-012
   0.12941599224561284E-009   0.178262483E-011
   0.13249732539431791E-009   0.323647706E-011
   0.13557865854302298E-009   0.555197728E-011
   0.13865999169172805E-009   0.899259226E-011
   0.14174132484043311E-009   0.137317041E-010
   0.14482265798913818E-009   0.197163449E-010
   0.14790399113784325E-009   0.265067066E-010
   0.15098532428654832E-009   0.331421765E-010
   0.15406665743525338E-009   0.381128011E-010
   0.15714799058395845E-009   0.395257785E-010
   0.16022932373266352E-009   0.355281603E-010
   0.16331065688136859E-009   0.249651445E-010
   0.16639199003007366E-009   0.813064546E-011
   0.16947332317877872E-009  -0.126541711E-010
   0.17255465632748379E-009  -0.329612865E-010
   0.17563598947618886E-009  -0.469457528E-010
   0.17871732262489393E-009  -0.488588545E-010
   0.18179865577359899E-009  -0.350938202E-010
   0.18487998892230406E-009  -0.612583075E-011
   0.18796132207100913E-009   0.324977337E-010
   0.19104265521971420E-009   0.708833547E-010
   0.19412398836841926E-009   0.974843054E-010
   0.19720532151712433E-009   0.103099355E-009
   0.20028665466582940E-009   0.847034734E-010
   0.20336798781453447E-009   0.474981235E-010
   0.20644932096323954E-009   0.409718787E-011
   0.20953065411194460E-009  -0.293594732E-010
   0.21261198726064967E-009  -0.391643488E-010
   0.21569332040935474E-009  -0.197999239E-010
   0.21877465355805981E-009   0.231087597E-010
   0.22185598670676487E-009   0.742614512E-010
   0.22493731985546994E-009   0.114650074E-009
   0.22801865300417501E-009   0.130102040E-009
   0.23109998615288008E-009   0.117993809E-009
   0.23418131930158514E-009   0.877021372E-010
   0.23726265245029021E-009   0.550711386E-010
   0.24034398559899528E-009   0.355896909E-010
   0.24342531874770035E-009   0.391775362E-010
   0.24650665189640542E-009   0.661785904E-010
   0.24958798504511048E-009   0.106186865E-009
   0.25266931819381555E-009   0.142901802E-009
   0.25575065134252062E-009   0.162920510E-009
   0.25883198449122569E-009   0.162654556E-009
   0.26191331763993075E-009   0.150803564E-009
   0.26499465078863582E-009   0.144331380E-009
   0.26807598393734089E-009   0.155492549E-009
   0.27115731708604596E-009   0.179796039E-009
   0.27423865023475102E-009   0.202759823E-009
   0.27731998338345609E-009   0.219404689E-009
   0.28040131653216116E-009   0.237181413E-009
   0.28348264968086623E-009   0.259131550E-009
   0.28656398282957130E-009   0.278556261E-009
   0.28964531597827636E-009   0.293202490E-009
   0.29272664912698143E-009   0.310713233E-009
   0.29580798227568650E-009   0.338264805E-009
   0.29888931542439157E-009   0.377397585E-009
   0.30197064857309663E-009   0.423016622E-009
   0.30505198172180170E-009   0.458360627E-009
   0.30813331487050677E-009   0.469196904E-009
   0.31121464801921184E-009   0.474791650E-009
   0.31429598116791690E-009   0.515149146E-009
   0.31737731431662197E-009   0.591970084E-009
   0.32045864746532704E-009   0.660588639E-009
   0.32353998061403211E-009   0.697224500E-009
   0.32662131376273718E-009   0.728760108E-009
   0.32970264691144224E-009   0.780655818E-009
   0.33278398006014731E-009   0.845648995E-009
   0.33586531320885238E-009   0.914803178E-009
   0.33894664635755745E-009   0.989284432E-009
   0.34202797950626251E-009   0.106118325E-008
   0.34510931265496758E-009   0.112946830E-008
   0.34819064580367265E-009   0.121719335E-008
   0.35127197895237772E-009   0.132875566E-008
   0.35435331210108278E-009   0.142869805E-008
   0.35743464524978785E-009   0.150629753E-008
   0.36051597839849292E-009   0.160511304E-008
   0.36359731154719799E-009   0.174711334E-008
   0.36667864469590306E-009   0.189477145E-008
   0.36975997784460812E-009   0.202330930E-008
   0.37284131099331319E-009   0.215798734E-008
   0.37592264414201826E-009   0.231558905E-008
   0.37900397729072333E-009   0.248102783E-008
   0.38208531043942839E-009   0.265312994E-008
   0.38516664358813346E-009   0.284873503E-008
   0.38824797673683853E-009   0.306438919E-008
   0.39132930988554360E-009   0.328494809E-008
   0.39441064303424866E-009   0.351242146E-008
   0.39749197618295373E-009   0.375317510E-008
   0.40057330933165880E-009   0.400745037E-008
   0.40365464248036387E-009   0.428633928E-008
   0.40673597562906894E-009   0.460039962E-008
   0.40981730877777400E-009   0.493391195E-008
   0.41289864192647907E-009   0.526924149E-008
   0.41597997507518414E-009   0.561843194E-008
   0.41906130822388921E-009   0.599896710E-008
   0.42214264137259427E-009   0.640976827E-008
   0.42522397452129934E-009   0.685110635E-008
   0.42830530767000441E-009   0.732838012E-008
   0.43138664081870948E-009   0.783046428E-008
   0.43446797396741454E-009   0.834576586E-008
   0.43754930711611961E-009   0.889049012E-008
   0.44063064026482468E-009   0.948486534E-008
   0.44371197341352975E-009   0.101244950E-007
   0.44679330656223482E-009   0.108010196E-007
   0.44987463971093988E-009   0.115177201E-007
   0.45295597285964495E-009   0.122724284E-007
   0.45603730600835002E-009   0.130631053E-007
   0.45911863915705509E-009   0.139075160E-007
   0.46219997230576015E-009   0.148200847E-007
   0.46528130545446522E-009   0.157866271E-007
   0.46836263860317029E-009   0.167951093E-007
   0.47144397175187536E-009   0.178635737E-007
   0.47452530490058042E-009   0.190101765E-007
   0.47760663804928549E-009   0.202260644E-007
   0.48068797119799056E-009   0.214984190E-007
   0.48376930434669563E-009   0.228367405E-007
   0.48685063749540070E-009   0.242650202E-007
   0.48993197064410576E-009   0.257975632E-007
   0.49301330379281083E-009   0.274218639E-007
   0.49609463694151590E-009   0.291119537E-007
   0.49917597009022097E-009   0.308727550E-007
   0.50225730323892603E-009   0.327516290E-007
   0.50533863638763110E-009   0.347797062E-007
   0.50841996953633617E-009   0.369270587E-007
   0.51150130268504124E-009   0.391512600E-007
   0.51458263583374630E-009   0.414692849E-007
   0.51766396898245137E-009   0.439431886E-007
   0.52074530213115644E-009   0.466013859E-007
   0.52382663527986151E-009   0.494062427E-007
   0.52690796842856658E-009   0.523126111E-007
   0.52998930157727164E-009   0.553426460E-007
   0.53307063472597671E-009   0.585728763E-007
   0.53615196787468178E-009   0.620391845E-007
   0.53923330102338685E-009   0.656893562E-007
   0.54231463417209191E-009   0.694609810E-007
   0.54539596732079698E-009   0.733838590E-007
   0.54847730046950205E-009   0.775614026E-007
   0.55155863361820712E-009   0.820459718E-007
   0.55463996676691218E-009   0.867707541E-007
   0.55772129991561725E-009   0.916425194E-007
   0.56080263306432232E-009   0.966895044E-007
   0.56388396621302739E-009   0.102055111E-006
   0.56696529936173246E-009   0.107817236E-006
   0.57004663251043752E-009   0.113880297E-006
   0.57312796565914259E-009   0.120115303E-006
   0.57620929880784766E-009   0.126564942E-006
   0.57929063195655273E-009   0.133417387E-006
   0.58237196510525779E-009   0.140769060E-006
   0.58545329825396286E-009   0.148495218E-006
   0.58853463140266793E-009   0.156421422E-006
   0.59161596455137300E-009   0.164593800E-006
   0.59469729770007806E-009   0.173271857E-006
   0.59777863084878313E-009   0.182600445E-006
   0.60085996399748820E-009   0.192396456E-006
   0.60394129714619327E-009   0.202398468E-006
   0.60702263029489834E-009   0.212672006E-006
   0.61010396344360340E-009   0.223579804E-006
   0.61318529659230847E-009   0.235313053E-006
   0.61626662974101354E-009   0.247624712E-006
   0.61934796288971861E-009   0.260165848E-006
   0.62242929603842367E-009   0.273006378E-006
   0.62551062918712874E-009   0.286618672E-006
   0.62859196233583381E-009   0.301274412E-006
   0.63167329548453888E-009   0.316648311E-006
   0.63475462863324394E-009   0.332250039E-006
   0.63783596178194901E-009   0.348165088E-006
   0.64091729493065408E-009   0.365037835E-006
   0.64399862807935915E-009   0.383223068E-006
   0.64707996122806422E-009   0.402267261E-006
   0.65016129437676928E-009   0.421517797E-006
   0.65324262752547435E-009   0.441092396E-006
   0.65632396067417942E-009   0.461842234E-006
   0.65940529382288449E-009   0.484243628E-006
   0.66248662697158955E-009   0.507692903E-006
