t              BoxCavity.fdtd_Point probe002_Ex_58_30_24.dat
   0.37438197756766572E-009  -0.595607841E-009
   0.37592264414201826E-009  -0.618156581E-009
   0.37746331071637079E-009  -0.648140042E-009
   0.37900397729072333E-009  -0.715144777E-009
   0.38054464386507586E-009  -0.803191569E-009
   0.38208531043942839E-009  -0.865673977E-009
   0.38362597701378093E-009  -0.894851082E-009
   0.38516664358813346E-009  -0.925164778E-009
   0.38670731016248600E-009  -0.963741420E-009
   0.38824797673683853E-009  -0.979354264E-009
   0.38978864331119106E-009  -0.967523284E-009
   0.39132930988554360E-009  -0.962265934E-009
   0.39286997645989613E-009  -0.976387970E-009
   0.39441064303424866E-009  -0.990690197E-009
   0.39595130960860120E-009  -0.100362096E-008
   0.39749197618295373E-009  -0.103601350E-008
   0.39903264275730627E-009  -0.109061926E-008
   0.40057330933165880E-009  -0.115329168E-008
   0.40211397590601133E-009  -0.122316679E-008
   0.40365464248036387E-009  -0.130427302E-008
   0.40519530905471640E-009  -0.138281631E-008
   0.40673597562906894E-009  -0.144147005E-008
   0.40827664220342147E-009  -0.148202417E-008
   0.40981730877777400E-009  -0.151827106E-008
   0.41135797535212654E-009  -0.156010072E-008
   0.41289864192647907E-009  -0.161028368E-008
   0.41443930850083160E-009  -0.166673320E-008
   0.41597997507518414E-009  -0.172881320E-008
   0.41752064164953667E-009  -0.180337856E-008
   0.41906130822388921E-009  -0.189609217E-008
   0.42060197479824174E-009  -0.200017669E-008
   0.42214264137259427E-009  -0.210328555E-008
   0.42368330794694681E-009  -0.219466734E-008
   0.42522397452129934E-009  -0.225886421E-008
   0.42676464109565188E-009  -0.228392016E-008
   0.42830530767000441E-009  -0.228355046E-008
   0.42984597424435694E-009  -0.228696351E-008
   0.43138664081870948E-009  -0.230460762E-008
   0.43292730739306201E-009  -0.233180075E-008
   0.43446797396741454E-009  -0.238271314E-008
   0.43600864054176708E-009  -0.248756393E-008
   0.43754930711611961E-009  -0.265513100E-008
   0.43908997369047215E-009  -0.286176793E-008
   0.44063064026482468E-009  -0.307473469E-008
   0.44217130683917721E-009  -0.327091820E-008
   0.44371197341352975E-009  -0.344039641E-008
   0.44525263998788228E-009  -0.358309471E-008
   0.44679330656223482E-009  -0.369685704E-008
   0.44833397313658735E-009  -0.377058562E-008
   0.44987463971093988E-009  -0.380327636E-008
   0.45141530628529242E-009  -0.382692944E-008
   0.45295597285964495E-009  -0.388984756E-008
   0.45449663943399748E-009  -0.401063760E-008
   0.45603730600835002E-009  -0.416316137E-008
   0.45757797258270255E-009  -0.431467573E-008
   0.45911863915705509E-009  -0.446316806E-008
   0.46065930573140762E-009  -0.462122207E-008
   0.46219997230576015E-009  -0.477924633E-008
   0.46374063888011269E-009  -0.491557239E-008
   0.46528130545446522E-009  -0.503806952E-008
   0.46682197202881776E-009  -0.518240251E-008
   0.46836263860317029E-009  -0.536789235E-008
   0.46990330517752282E-009  -0.558511148E-008
   0.47144397175187536E-009  -0.582537485E-008
   0.47298463832622789E-009  -0.608969231E-008
   0.47452530490058042E-009  -0.636630570E-008
   0.47606597147493296E-009  -0.662747768E-008
   0.47760663804928549E-009  -0.685505563E-008
   0.47914730462363803E-009  -0.705411773E-008
   0.48068797119799056E-009  -0.723980031E-008
   0.48222863777234309E-009  -0.742263007E-008
   0.48376930434669563E-009  -0.761293517E-008
   0.48530997092104816E-009  -0.783173704E-008
   0.48685063749540070E-009  -0.809811507E-008
   0.48839130406975323E-009  -0.840094838E-008
   0.48993197064410576E-009  -0.870742323E-008
   0.49147263721845830E-009  -0.900684505E-008
   0.49301330379281083E-009  -0.931214839E-008
   0.49455397036716336E-009  -0.961598268E-008
   0.49609463694151590E-009  -0.989906290E-008
   0.49763530351586843E-009  -0.101838262E-007
   0.49917597009022097E-009  -0.105106182E-007
   0.50071663666457350E-009  -0.108621130E-007
   0.50225730323892603E-009  -0.111914629E-007
   0.50379796981327857E-009  -0.115151568E-007
   0.50533863638763110E-009  -0.118868426E-007
   0.50687930296198364E-009  -0.122952786E-007
   0.50841996953633617E-009  -0.126826061E-007
   0.50996063611068870E-009  -0.130426221E-007
   0.51150130268504124E-009  -0.134148053E-007
   0.51304196925939377E-009  -0.138132323E-007
   0.51458263583374630E-009  -0.142376830E-007
   0.51612330240809884E-009  -0.147127084E-007
   0.51766396898245137E-009  -0.152504622E-007
   0.51920463555680391E-009  -0.158198965E-007
   0.52074530213115644E-009  -0.163953100E-007
   0.52228596870550897E-009  -0.169795680E-007
   0.52382663527986151E-009  -0.175548180E-007
   0.52536730185421404E-009  -0.180796960E-007
   0.52690796842856658E-009  -0.185567242E-007
   0.52844863500291911E-009  -0.190363263E-007
   0.52998930157727164E-009  -0.195431191E-007
   0.53152996815162418E-009  -0.200642187E-007
   0.53307063472597671E-009  -0.206159143E-007
   0.53461130130032924E-009  -0.212521645E-007
   0.53615196787468178E-009  -0.219878800E-007
   0.53769263444903431E-009  -0.227644144E-007
   0.53923330102338685E-009  -0.235120456E-007
   0.54077396759773938E-009  -0.242170870E-007
   0.54231463417209191E-009  -0.249164511E-007
   0.54385530074644445E-009  -0.256495980E-007
   0.54539596732079698E-009  -0.264269122E-007
   0.54693663389514952E-009  -0.272326659E-007
   0.54847730046950205E-009  -0.280512413E-007
   0.55001796704385458E-009  -0.288909892E-007
   0.55155863361820712E-009  -0.297749683E-007
   0.55309930019255965E-009  -0.307033687E-007
   0.55463996676691218E-009  -0.316420419E-007
   0.55618063334126472E-009  -0.325673390E-007
   0.55772129991561725E-009  -0.335086661E-007
   0.55926196648996979E-009  -0.345152564E-007
   0.56080263306432232E-009  -0.355834509E-007
   0.56234329963867485E-009  -0.366546757E-007
   0.56388396621302739E-009  -0.376954112E-007
   0.56542463278737992E-009  -0.387402004E-007
   0.56696529936173246E-009  -0.398347524E-007
   0.56850596593608499E-009  -0.409751806E-007
   0.57004663251043752E-009  -0.421352020E-007
   0.57158729908479006E-009  -0.433228493E-007
   0.57312796565914259E-009  -0.445765878E-007
   0.57466863223349512E-009  -0.459225049E-007
   0.57620929880784766E-009  -0.473518789E-007
   0.57774996538220019E-009  -0.488242335E-007
   0.57929063195655273E-009  -0.502966415E-007
   0.58083129853090526E-009  -0.517719094E-007
   0.58237196510525779E-009  -0.532908260E-007
   0.58391263167961033E-009  -0.548486021E-007
   0.58545329825396286E-009  -0.563778180E-007
   0.58699396482831540E-009  -0.578645043E-007
   0.58853463140266793E-009  -0.594076788E-007
   0.59007529797702046E-009  -0.610941626E-007
   0.59161596455137300E-009  -0.628815542E-007
   0.59315663112572553E-009  -0.646695568E-007
   0.59469729770007806E-009  -0.664272193E-007
   0.59623796427443060E-009  -0.682061696E-007
   0.59777863084878313E-009  -0.700804534E-007
   0.59931929742313567E-009  -0.720860385E-007
   0.60085996399748820E-009  -0.741809387E-007
   0.60240063057184073E-009  -0.762966437E-007
   0.60394129714619327E-009  -0.784525582E-007
   0.60548196372054580E-009  -0.807252576E-007
   0.60702263029489834E-009  -0.830738713E-007
   0.60856329686925087E-009  -0.853437143E-007
   0.61010396344360340E-009  -0.875054269E-007
   0.61164463001795594E-009  -0.897374903E-007
   0.61318529659230847E-009  -0.921956982E-007
   0.61472596316666100E-009  -0.948309591E-007
   0.61626662974101354E-009  -0.974979670E-007
   0.61780729631536607E-009  -0.100141257E-006
   0.61934796288971861E-009  -0.102824778E-006
   0.62088862946407114E-009  -0.105629091E-006
   0.62242929603842367E-009  -0.108538920E-006
   0.62396996261277621E-009  -0.111449381E-006
   0.62551062918712874E-009  -0.114329595E-006
   0.62705129576148128E-009  -0.117321719E-006
   0.62859196233583381E-009  -0.120559733E-006
   0.63013262891018634E-009  -0.123946421E-006
   0.63167329548453888E-009  -0.127266802E-006
   0.63321396205889141E-009  -0.130489610E-006
   0.63475462863324394E-009  -0.133804164E-006
   0.63629529520759648E-009  -0.137367721E-006
   0.63783596178194901E-009  -0.141132816E-006
   0.63937662835630155E-009  -0.144932173E-006
   0.64091729493065408E-009  -0.148678083E-006
   0.64245796150500661E-009  -0.152463727E-006
   0.64399862807935915E-009  -0.156445296E-006
   0.64553929465371168E-009  -0.160616395E-006
