t              BoxCavity.fdtd_Point probe001_Ey_15_10_7.dat
   0.00000000000000000E+000   0.000000000E+000
   0.30813331487050677E-011   0.000000000E+000
   0.61626662974101354E-011   0.000000000E+000
   0.92439994461152031E-011   0.000000000E+000
   0.12325332594820271E-010   0.000000000E+000
   0.15406665743525338E-010   0.000000000E+000
   0.18487998892230406E-010   0.000000000E+000
   0.21569332040935474E-010   0.000000000E+000
   0.24650665189640542E-010   0.000000000E+000
   0.27731998338345609E-010   0.000000000E+000
   0.30813331487050677E-010   0.000000000E+000
   0.33894664635755745E-010   0.000000000E+000
   0.36975997784460812E-010   0.000000000E+000
   0.40057330933165880E-010   0.000000000E+000
   0.43138664081870948E-010   0.000000000E+000
   0.46219997230576015E-010   0.131395128E-017
   0.49301330379281083E-010   0.834512245E-017
   0.52382663527986151E-010   0.247850642E-016
   0.55463996676691218E-010   0.666783939E-016
   0.58545329825396286E-010   0.213357528E-015
   0.61626662974101354E-010   0.585378117E-015
   0.64707996122806422E-010   0.131554847E-014
   0.67789329271511489E-010   0.298450873E-014
   0.70870662420216557E-010   0.685228902E-014
   0.73951995568921625E-010   0.133604929E-013
   0.77033328717626692E-010   0.217606525E-013
   0.80114661866331760E-010   0.342473683E-013
   0.83195995015036828E-010   0.549810103E-013
   0.86277328163741895E-010   0.785700579E-013
   0.89358661312446963E-010   0.940101404E-013
   0.92439994461152031E-010   0.107301510E-012
   0.95521327609857098E-010   0.123497892E-012
   0.98602660758562166E-010   0.107421450E-012
   0.10168399390726723E-009   0.457714040E-013
   0.10476532705597230E-009   0.184012927E-013
   0.10784666020467737E-009   0.466594265E-013
   0.11092799335338244E-009  -0.167823248E-013
   0.11400932650208750E-009  -0.165733855E-012
   0.11709065965079257E-009  -0.982610057E-013
   0.12017199279949764E-009   0.166987111E-012
   0.12325332594820271E-009   0.146182749E-012
   0.12633465909690778E-009  -0.692644862E-013
   0.12941599224561284E-009   0.191988745E-012
   0.13249732539431791E-009   0.554262690E-012
   0.13557865854302298E-009   0.498596932E-013
   0.13865999169172805E-009  -0.430355025E-012
   0.14174132484043311E-009   0.465606937E-012
   0.14482265798913818E-009   0.102230225E-011
   0.14790399113784325E-009  -0.548722309E-012
   0.15098532428654832E-009  -0.130584757E-011
   0.15406665743525338E-009   0.104200437E-011
   0.15714799058395845E-009   0.204141044E-011
   0.16022932373266352E-009  -0.928123464E-012
   0.16331065688136859E-009  -0.169746216E-011
   0.16639199003007366E-009   0.208851729E-011
   0.16947332317877872E-009   0.222318149E-011
   0.17255465632748379E-009  -0.250675500E-011
   0.17563598947618886E-009  -0.142628531E-011
   0.17871732262489393E-009   0.457922849E-011
   0.18179865577359899E-009   0.197924598E-011
   0.18487998892230406E-009  -0.539936325E-011
   0.18796132207100913E-009  -0.105575141E-011
   0.19104265521971420E-009   0.769281687E-011
   0.19412398836841926E-009   0.186475098E-011
   0.19720532151712433E-009  -0.742958299E-011
   0.20028665466582940E-009   0.374535472E-013
   0.20336798781453447E-009   0.912250483E-011
   0.20644932096323954E-009   0.873008263E-013
   0.20953065411194460E-009  -0.768733514E-011
   0.21261198726064967E-009   0.328538412E-011
   0.21569332040935474E-009   0.945469397E-011
   0.21877465355805981E-009  -0.304214553E-011
   0.22185598670676487E-009  -0.717439779E-011
   0.22493731985546994E-009   0.650263307E-011
   0.22801865300417501E-009   0.902490322E-011
   0.23109998615288008E-009  -0.433063654E-011
   0.23418131930158514E-009  -0.490407975E-011
   0.23726265245029021E-009   0.737705470E-011
   0.24034398559899528E-009   0.656649041E-011
   0.24342531874770035E-009  -0.326038762E-011
   0.24650665189640542E-009  -0.870987527E-012
   0.24958798504511048E-009   0.665251968E-011
   0.25266931819381555E-009   0.406849381E-011
   0.25575065134252062E-009  -0.361883700E-012
   0.25883198449122569E-009   0.211049754E-011
   0.26191331763993075E-009   0.429904810E-011
   0.26499465078863582E-009   0.375892937E-011
   0.26807598393734089E-009   0.449172427E-011
   0.27115731708604596E-009   0.352522395E-011
   0.27423865023475102E-009   0.148555647E-011
   0.27731998338345609E-009   0.516473192E-011
   0.28040131653216116E-009   0.880230264E-011
   0.28348264968086623E-009   0.396191023E-011
   0.28656398282957130E-009   0.118799632E-011
   0.28964531597827636E-009   0.829606522E-011
   0.29272664912698143E-009   0.110406710E-010
   0.29580798227568650E-009   0.400124595E-011
   0.29888931542439157E-009   0.343440207E-011
   0.30197064857309663E-009   0.115303288E-010
   0.30505198172180170E-009   0.122146781E-010
   0.30813331487050677E-009   0.641868156E-011
   0.31121464801921184E-009   0.772686342E-011
   0.31429598116791690E-009   0.129575231E-010
   0.31737731431662197E-009   0.129294414E-010
   0.32045864746532704E-009   0.117498389E-010
   0.32353998061403211E-009   0.132154235E-010
   0.32662131376273718E-009   0.138838004E-010
   0.32970264691144224E-009   0.152606677E-010
   0.33278398006014731E-009   0.186262741E-010
   0.33586531320885238E-009   0.182441926E-010
   0.33894664635755745E-009   0.160830585E-010
   0.34202797950626251E-009   0.204231181E-010
   0.34510931265496758E-009   0.257679433E-010
   0.34819064580367265E-009   0.233103137E-010
   0.35127197895237772E-009   0.215263952E-010
   0.35435331210108278E-009   0.278856105E-010
   0.35743464524978785E-009   0.322272140E-010
   0.36051597839849292E-009   0.298209409E-010
   0.36359731154719799E-009   0.309096880E-010
   0.36667864469590306E-009   0.369955247E-010
   0.36975997784460812E-009   0.394169419E-010
   0.37284131099331319E-009   0.394599839E-010
   0.37592264414201826E-009   0.428960548E-010
   0.37900397729072333E-009   0.470020099E-010
   0.38208531043942839E-009   0.498190447E-010
   0.38516664358813346E-009   0.538442450E-010
   0.38824797673683853E-009   0.569571126E-010
   0.39132930988554360E-009   0.584358534E-010
   0.39441064303424866E-009   0.641881825E-010
   0.39749197618295373E-009   0.724248578E-010
   0.40057330933165880E-009   0.745056794E-010
   0.40365464248036387E-009   0.746299203E-010
   0.40673597562906894E-009   0.826978763E-010
   0.40981730877777400E-009   0.931891925E-010
   0.41289864192647907E-009   0.968164021E-010
   0.41597997507518414E-009   0.989498483E-010
   0.41906130822388921E-009   0.106616160E-009
   0.42214264137259427E-009   0.116228110E-009
   0.42522397452129934E-009   0.124407248E-009
   0.42830530767000441E-009   0.132023725E-009
   0.43138664081870948E-009   0.138314582E-009
   0.43446797396741454E-009   0.145290516E-009
   0.43754930711611961E-009   0.157586874E-009
   0.44063064026482468E-009   0.171383852E-009
   0.44371197341352975E-009   0.179736073E-009
   0.44679330656223482E-009   0.186777829E-009
   0.44987463971093988E-009   0.199557343E-009
   0.45295597285964495E-009   0.215291049E-009
   0.45603730600835002E-009   0.229601019E-009
   0.45911863915705509E-009   0.243387754E-009
   0.46219997230576015E-009   0.256455690E-009
   0.46528130545446522E-009   0.269367778E-009
   0.46836263860317029E-009   0.287612018E-009
   0.47144397175187536E-009   0.310935722E-009
   0.47452530490058042E-009   0.330122180E-009
   0.47760663804928549E-009   0.343411105E-009
   0.48068797119799056E-009   0.360789981E-009
   0.48376930434669563E-009   0.387435445E-009
   0.48685063749540070E-009   0.416880558E-009
   0.48993197064410576E-009   0.441220088E-009
   0.49301330379281083E-009   0.460122801E-009
   0.49609463694151590E-009   0.482045015E-009
   0.49917597009022097E-009   0.515748222E-009
   0.50225730323892603E-009   0.556253266E-009
   0.50533863638763110E-009   0.588447902E-009
   0.50841996953633617E-009   0.610452466E-009
   0.51150130268504124E-009   0.639076347E-009
   0.51458263583374630E-009   0.685117352E-009
   0.51766396898245137E-009   0.737150008E-009
   0.52074530213115644E-009   0.777520881E-009
   0.52382663527986151E-009   0.806613332E-009
   0.52690796842856658E-009   0.843800474E-009
   0.52998930157727164E-009   0.902439512E-009
   0.53307063472597671E-009   0.969562652E-009
   0.53615196787468178E-009   0.102183206E-008
   0.53923330102338685E-009   0.105935838E-008
   0.54231463417209191E-009   0.110727583E-008
   0.54539596732079698E-009   0.118159427E-008
   0.54847730046950205E-009   0.126741018E-008
   0.55155863361820712E-009   0.133667177E-008
   0.55463996676691218E-009   0.138448641E-008
   0.55772129991561725E-009   0.144131007E-008
   0.56080263306432232E-009   0.153597401E-008
   0.56388396621302739E-009   0.164989378E-008
   0.56696529936173246E-009   0.173704973E-008
   0.57004663251043752E-009   0.179310433E-008
   0.57312796565914259E-009   0.186650162E-008
   0.57620929880784766E-009   0.198927386E-008
   0.57929063195655273E-009   0.213155027E-008
   0.58237196510525779E-009   0.224178920E-008
   0.58545329825396286E-009   0.231452257E-008
   0.58853463140266793E-009   0.240272224E-008
   0.59161596455137300E-009   0.255412624E-008
   0.59469729770007806E-009   0.273937517E-008
   0.59777863084878313E-009   0.287979440E-008
   0.60085996399748820E-009   0.296200731E-008
   0.60394129714619327E-009   0.307037618E-008
   0.60702263029489834E-009   0.326786531E-008
   0.61010396344360340E-009   0.349970630E-008
   0.61318529659230847E-009   0.366862740E-008
   0.61626662974101354E-009   0.377153908E-008
   0.61934796288971861E-009   0.390715371E-008
   0.62242929603842367E-009   0.414728518E-008
   0.62551062918712874E-009   0.443505765E-008
   0.62859196233583381E-009   0.464936534E-008
   0.63167329548453888E-009   0.477332218E-008
   0.63475462863324394E-009   0.493582197E-008
   0.63783596178194901E-009   0.523742605E-008
   0.64091729493065408E-009   0.559726621E-008
   0.64399862807935915E-009   0.585726001E-008
   0.64707996122806422E-009   0.600554628E-008
   0.65016129437676928E-009   0.620237062E-008
   0.65324262752547435E-009   0.656726939E-008
   0.65632396067417942E-009   0.700872604E-008
   0.65940529382288449E-009   0.733158867E-008
