t              BoxCavity.fdtd_Point probe001_Ez_15_10_7.dat
   0.66556796012029462E-009   0.279288656E-005
   0.66864929326899969E-009   0.292254072E-005
   0.67173062641770476E-009   0.304580226E-005
   0.67481195956640982E-009   0.316244927E-005
   0.67789329271511489E-009   0.328822648E-005
   0.68097462586381996E-009   0.343377542E-005
   0.68405595901252503E-009   0.358894454E-005
   0.68713729216123010E-009   0.373567809E-005
   0.69021862530993516E-009   0.387356704E-005
   0.69329995845864023E-009   0.402227761E-005
   0.69638129160734530E-009   0.419514026E-005
   0.69946262475605037E-009   0.437944982E-005
   0.70254395790475543E-009   0.455263626E-005
   0.70562529105346050E-009   0.471417843E-005
   0.70870662420216557E-009   0.488852402E-005
   0.71178795735087064E-009   0.509222536E-005
   0.71486929049957570E-009   0.530957641E-005
   0.71795062364828077E-009   0.551264293E-005
   0.72103195679698584E-009   0.570066413E-005
   0.72411328994569091E-009   0.590369473E-005
   0.72719462309439598E-009   0.614212149E-005
   0.73027595624310104E-009   0.639661721E-005
   0.73335728939180611E-009   0.663276887E-005
   0.73643862254051118E-009   0.684956012E-005
   0.73951995568921625E-009   0.708382777E-005
   0.74260128883792131E-009   0.736057154E-005
   0.74568262198662638E-009   0.765621462E-005
   0.74876395513533145E-009   0.792877017E-005
   0.75184528828403652E-009   0.817693308E-005
   0.75492662143274158E-009   0.844541682E-005
   0.75800795458144665E-009   0.876455670E-005
   0.76108928773015172E-009   0.910574272E-005
   0.76417062087885679E-009   0.941800135E-005
   0.76725195402756186E-009   0.969957273E-005
   0.77033328717626692E-009   0.100044135E-004
   0.77341462032497199E-009   0.103691909E-004
   0.77649595347367706E-009   0.107594988E-004
   0.77957728662238213E-009   0.111140344E-004
   0.78265861977108719E-009   0.114307177E-004
   0.78573995291979226E-009   0.117742538E-004
   0.78882128606849733E-009   0.121884659E-004
   0.79190261921720240E-009   0.126321556E-004
   0.79498395236590746E-009   0.130320868E-004
   0.79806528551461253E-009   0.133855483E-004
   0.80114661866331760E-009   0.137692605E-004
   0.80422795181202267E-009   0.142353247E-004
   0.80730928496072774E-009   0.147350947E-004
   0.81039061810943280E-009   0.151818140E-004
   0.81347195125813787E-009   0.155721427E-004
   0.81655328440684294E-009   0.159968095E-004
   0.81963461755554801E-009   0.165174661E-004
   0.82271595070425307E-009   0.170767362E-004
   0.82579728385295814E-009   0.175723726E-004
   0.82887861700166321E-009   0.180002935E-004
   0.83195995015036828E-009   0.184666351E-004
   0.83504128329907334E-009   0.190433075E-004
   0.83812261644777841E-009   0.196633737E-004
   0.84120394959648348E-009   0.202078299E-004
   0.84428528274518855E-009   0.206718287E-004
   0.84736661589389362E-009   0.211785100E-004
   0.85044794904259868E-009   0.218115219E-004
   0.85352928219130375E-009   0.224936484E-004
   0.85661061534000882E-009   0.230870992E-004
   0.85969194848871389E-009   0.235859407E-004
   0.86277328163741895E-009   0.241321031E-004
   0.86585461478612402E-009   0.248218294E-004
   0.86893594793482909E-009   0.255661253E-004
   0.87201728108353416E-009   0.262068843E-004
   0.87509861423223922E-009   0.267374871E-004
   0.87817994738094429E-009   0.273199548E-004
   0.88126128052964936E-009   0.280637396E-004
   0.88434261367835443E-009   0.288677857E-004
   0.88742394682705950E-009   0.295528935E-004
   0.89050527997576456E-009   0.301114414E-004
   0.89358661312446963E-009   0.307266891E-004
   0.89666794627317470E-009   0.315226716E-004
   0.89974927942187977E-009   0.323852910E-004
   0.90283061257058483E-009   0.331118208E-004
   0.90591194571928990E-009   0.336933590E-004
   0.90899327886799497E-009   0.343361680E-004
   0.91207461201670004E-009   0.351791678E-004
   0.91515594516540510E-009   0.360940285E-004
   0.91823727831411017E-009   0.368547662E-004
   0.92131861146281524E-009   0.374526062E-004
   0.92439994461152031E-009   0.381171049E-004
   0.92748127776022538E-009   0.390018758E-004
   0.93056261090893044E-009   0.399647652E-004
   0.93364394405763551E-009   0.407558109E-004
   0.93672527720634058E-009   0.413644229E-004
   0.93980661035504565E-009   0.420431716E-004
   0.94288794350375071E-009   0.429615720E-004
   0.94596927665245578E-009   0.439634314E-004
   0.94905060980116085E-009   0.447742896E-004
   0.95213194294986592E-009   0.453833891E-004
   0.95521327609857098E-009   0.460675474E-004
   0.95829460924727605E-009   0.470109699E-004
   0.96137594239598112E-009   0.480432027E-004
   0.96445727554468619E-009   0.488671758E-004
   0.96753860869339126E-009   0.494713931E-004
   0.97061994184209632E-009   0.501535906E-004
   0.97370127499080139E-009   0.511117069E-004
   0.97678260813950646E-009   0.521628499E-004
   0.97986394128821153E-009   0.529879653E-004
   0.98294527443691659E-009   0.535746694E-004
   0.98602660758562166E-009   0.542424859E-004
   0.98910794073432673E-009   0.552030433E-004
   0.99218927388303180E-009   0.562605092E-004
   0.99527060703173686E-009   0.570763186E-004
   0.99835194018044193E-009   0.576392740E-004
   0.10014332733291470E-008   0.582864632E-004
   0.10045146064778521E-008   0.592381002E-004
   0.10075959396265571E-008   0.602880064E-004
   0.10106772727752622E-008   0.610832649E-004
   0.10137586059239673E-008   0.616122488E-004
   0.10168399390726723E-008   0.622252119E-004
   0.10199212722213774E-008   0.631517105E-004
   0.10230026053700825E-008   0.641786901E-004
   0.10260839385187875E-008   0.649404537E-004
   0.10291652716674926E-008   0.654256146E-004
   0.10322466048161977E-008   0.659965299E-004
   0.10353279379649027E-008   0.668877619E-004
   0.10384092711136078E-008   0.678780852E-004
   0.10414906042623129E-008   0.685946798E-004
   0.10445719374110179E-008   0.690289598E-004
   0.10476532705597230E-008   0.695478520E-004
   0.10507346037084281E-008   0.703853657E-004
   0.10538159368571332E-008   0.713190457E-004
   0.10568972700058382E-008   0.719778400E-004
   0.10599786031545433E-008   0.723541889E-004
   0.10630599363032484E-008   0.728129526E-004
   0.10661412694519534E-008   0.735860231E-004
   0.10692226026006585E-008   0.744522331E-004
   0.10723039357493636E-008   0.750444597E-004
   0.10753852688980686E-008   0.753563436E-004
   0.10784666020467737E-008   0.757461676E-004
   0.10815479351954788E-008   0.764376746E-004
   0.10846292683441838E-008   0.772145140E-004
   0.10877106014928889E-008   0.777262176E-004
   0.10907919346415940E-008   0.779714173E-004
   0.10938732677902990E-008   0.782906936E-004
   0.10969546009390041E-008   0.788918478E-004
   0.11000359340877092E-008   0.795692322E-004
   0.11031172672364142E-008   0.799946065E-004
   0.11061986003851193E-008   0.801673450E-004
   0.11092799335338244E-008   0.804053197E-004
   0.11123612666825294E-008   0.809011399E-004
   0.11154425998312345E-008   0.814635932E-004
   0.11185239329799396E-008   0.817935143E-004
   0.11216052661286446E-008   0.818963890E-004
   0.11246865992773497E-008   0.820592322E-004
   0.11277679324260548E-008   0.824446761E-004
   0.11308492655747598E-008   0.828783086E-004
   0.11339305987234649E-008   0.831056241E-004
   0.11370119318721700E-008   0.831381330E-004
   0.11400932650208750E-008   0.832180012E-004
   0.11431745981695801E-008   0.834787788E-004
   0.11462559313182852E-008   0.837769476E-004
   0.11493372644669902E-008   0.839046334E-004
   0.11524185976156953E-008   0.838713677E-004
   0.11554999307644004E-008   0.838722117E-004
   0.11585812639131055E-008   0.840090142E-004
   0.11616625970618105E-008   0.841641886E-004
   0.11647439302105156E-008   0.841847068E-004
   0.11678252633592207E-008   0.840897701E-004
   0.11709065965079257E-008   0.840161592E-004
   0.11739879296566308E-008   0.840179491E-004
   0.11770692628053359E-008   0.840166322E-004
   0.11801505959540409E-008   0.839348140E-004
   0.11832319291027460E-008   0.837930711E-004
   0.11863132622514511E-008   0.836530089E-004
   0.11893945954001561E-008   0.835248429E-004
   0.11924759285488612E-008   0.833744998E-004
   0.11955572616975663E-008   0.831923680E-004
   0.11986385948462713E-008   0.830007630E-004
   0.12017199279949764E-008   0.827946496E-004
   0.12048012611436815E-008   0.825349271E-004
   0.12078825942923865E-008   0.822272559E-004
   0.12109639274410916E-008   0.819463821E-004
   0.12140452605897967E-008   0.817253240E-004
   0.12171265937385017E-008   0.814730374E-004
   0.12202079268872068E-008   0.810885322E-004
   0.12232892600359119E-008   0.806294338E-004
   0.12263705931846169E-008   0.802595750E-004
   0.12294519263333220E-008   0.800125636E-004
   0.12325332594820271E-008   0.797142129E-004
   0.12356145926307321E-008   0.792120991E-004
   0.12386959257794372E-008   0.786105593E-004
   0.12417772589281423E-008   0.781561030E-004
   0.12448585920768473E-008   0.778907925E-004
   0.12479399252255524E-008   0.775592998E-004
   0.12510212583742575E-008   0.769488688E-004
   0.12541025915229626E-008   0.762130221E-004
   0.12571839246716676E-008   0.756892259E-004
   0.12602652578203727E-008   0.754211214E-004
