t              noda2002.fdtd_Point probe_Ez_12_12_2.dat
   0.90239999639418755E-008  -0.326381897E+003
   0.91199999635582785E-008  -0.327502289E+003
   0.92159999631746814E-008  -0.328519409E+003
   0.93119999627910843E-008  -0.329416473E+003
   0.94079999624074873E-008  -0.330290588E+003
   0.95039999620238902E-008  -0.331258240E+003
   0.95999999616402931E-008  -0.332362640E+003
   0.96959999612566961E-008  -0.333538513E+003
   0.97919999608730990E-008  -0.334663055E+003
   0.98879999604895019E-008  -0.335671387E+003
   0.99839999601059048E-008  -0.336631042E+003
   0.10079999959722308E-007  -0.337671326E+003
   0.10175999959338711E-007  -0.338328186E+003
   0.10271999958955114E-007  -0.338603271E+003
   0.10367999958571517E-007  -0.338882385E+003
   0.10463999958187920E-007  -0.339401428E+003
   0.10559999957804322E-007  -0.340072052E+003
   0.10655999957420725E-007  -0.340684662E+003
   0.10751999957037128E-007  -0.341126495E+003
   0.10847999956653531E-007  -0.341435455E+003
   0.10943999956269934E-007  -0.341753052E+003
   0.11039999955886337E-007  -0.342224792E+003
   0.11135999955502740E-007  -0.342861938E+003
   0.11231999955119143E-007  -0.343491577E+003
   0.11327999954735546E-007  -0.343926422E+003
   0.11423999954351949E-007  -0.344209198E+003
   0.11519999953968352E-007  -0.344598328E+003
   0.11615999953584755E-007  -0.345243988E+003
   0.11711999953201158E-007  -0.345957703E+003
   0.11807999952817561E-007  -0.346425934E+003
   0.11903999952433963E-007  -0.346628540E+003
   0.11999999952050366E-007  -0.346891785E+003
   0.12095999951666769E-007  -0.347463837E+003
   0.12191999951283172E-007  -0.348171234E+003
   0.12287999950899575E-007  -0.348645416E+003
   0.12383999950515978E-007  -0.348832275E+003
   0.12479999950132381E-007  -0.349081421E+003
   0.12575999949748784E-007  -0.349670776E+003
   0.12671999949365187E-007  -0.350413300E+003
   0.12767999948981590E-007  -0.350901428E+003
   0.12863999948597993E-007  -0.351065216E+003
   0.12959999948214396E-007  -0.351271637E+003
   0.13055999947830799E-007  -0.351819214E+003
   0.13151999947447202E-007  -0.352388184E+003
   0.13247999947063605E-007  -0.352540314E+003
   0.13343999946680007E-007  -0.352399323E+003
   0.13439999946296410E-007  -0.352465942E+003
   0.13535999945912813E-007  -0.352964905E+003
