t              noda2002.fdtd_Bulk_probe_Jz_23_23_4__24_24_4.dat
   0.14328194422597029E-007   0.137370884E+000
   0.14405227725944325E-007   0.137238339E+000
   0.14482261029291621E-007   0.137150005E+000
   0.14559294332638917E-007   0.136975318E+000
   0.14636327635986213E-007   0.136837706E+000
   0.14713360939333509E-007   0.136917338E+000
   0.14790394242680804E-007   0.137051061E+000
   0.14867427546028100E-007   0.137090683E+000
   0.14944460849375396E-007   0.137138635E+000
   0.15021494152722692E-007   0.137206241E+000
   0.15098527456069988E-007   0.137203127E+000
   0.15175560759417284E-007   0.137189120E+000
   0.15252594062764580E-007   0.137123495E+000
   0.15329627366111875E-007   0.136921421E+000
   0.15406660669459171E-007   0.136688203E+000
   0.15483693972806467E-007   0.136483341E+000
   0.15560727276153763E-007   0.136225611E+000
   0.15637760579501059E-007   0.135978132E+000
   0.15714793882848355E-007   0.135842532E+000
   0.15791827186195651E-007   0.135690212E+000
   0.15868860489542946E-007   0.135559887E+000
   0.15945893792890242E-007   0.135612071E+000
   0.16022927096237538E-007   0.135767758E+000
   0.16099960399584834E-007   0.135815531E+000
   0.16176993702932130E-007   0.135760725E+000
   0.16254027006279426E-007   0.135738045E+000
   0.16331060309626722E-007   0.135748819E+000
   0.16408093612974017E-007   0.135697693E+000
   0.16485126916321313E-007   0.135528028E+000
   0.16562160219668609E-007   0.135357916E+000
   0.16639193523015905E-007   0.135284483E+000
   0.16716226826363201E-007   0.135209188E+000
   0.16793260129710497E-007   0.135079503E+000
   0.16870293433057792E-007   0.135050297E+000
   0.16947326736405088E-007   0.135142535E+000
   0.17024360039752384E-007   0.135199443E+000
   0.17101393343099680E-007   0.135380089E+000
   0.17178426646446976E-007   0.135819927E+000
   0.17255459949794272E-007   0.136314362E+000
   0.17332493253141568E-007   0.136637479E+000
   0.17409526556488863E-007   0.136881486E+000
   0.17486559859836159E-007   0.137209445E+000
   0.17563593163183455E-007   0.137567878E+000
   0.17640626466530751E-007   0.137704223E+000
   0.17717659769878047E-007   0.137514263E+000
   0.17794693073225343E-007   0.137236863E+000
   0.17871726376572639E-007   0.136997938E+000
   0.17948759679919934E-007   0.136696294E+000
   0.18025792983267230E-007   0.136365622E+000
   0.18102826286614526E-007   0.136162311E+000
   0.18179859589961822E-007   0.136026427E+000
   0.18256892893309118E-007   0.135794297E+000
   0.18333926196656414E-007   0.135578826E+000
   0.18410959500003710E-007   0.135516882E+000
   0.18487992803351005E-007   0.135471791E+000
   0.18565026106698301E-007   0.135289550E+000
   0.18642059410045597E-007   0.135067523E+000
   0.18719092713392893E-007   0.134934515E+000
   0.18796126016740189E-007   0.134832263E+000
   0.18873159320087485E-007   0.134698763E+000
   0.18950192623434781E-007   0.134649873E+000
   0.19027225926782076E-007   0.134719506E+000
   0.19104259230129372E-007   0.134783655E+000
   0.19181292533476668E-007   0.134777784E+000
   0.19258325836823964E-007   0.134769350E+000
   0.19335359140171260E-007   0.134808168E+000
   0.19412392443518556E-007   0.134865001E+000
   0.19489425746865852E-007   0.134904161E+000
   0.19566459050213147E-007   0.134731367E+000
   0.19643492353560443E-007   0.134352550E+000
   0.19720525656907739E-007   0.133956790E+000
   0.19797558960255035E-007   0.133600861E+000
   0.19874592263602331E-007   0.133223653E+000
   0.19951625566949627E-007   0.132877588E+000
   0.20028658870296923E-007   0.132701412E+000
   0.20105692173644218E-007   0.132754192E+000
   0.20182725476991514E-007   0.132856727E+000
   0.20259758780338810E-007   0.132956564E+000
   0.20336792083686106E-007   0.133149147E+000
   0.20413825387033402E-007   0.133354515E+000
   0.20490858690380698E-007   0.133446038E+000
   0.20567891993727994E-007   0.133532554E+000
   0.20644925297075289E-007   0.133602723E+000
   0.20721958600422585E-007   0.133330718E+000
   0.20798991903769881E-007   0.132732362E+000
   0.20876025207117177E-007   0.132136807E+000
   0.20953058510464473E-007   0.131659195E+000
   0.21030091813811769E-007   0.131191269E+000
   0.21107125117159065E-007   0.130888864E+000
   0.21184158420506360E-007   0.130811006E+000
   0.21261191723853656E-007   0.130803615E+000
   0.21338225027200952E-007   0.130736187E+000
   0.21415258330548248E-007   0.130618483E+000
   0.21492291633895544E-007   0.130544066E+000
   0.21569324937242840E-007   0.130540103E+000
   0.21646358240590136E-007   0.130503193E+000
   0.21723391543937431E-007   0.130602777E+000
   0.21800424847284727E-007   0.130988061E+000
   0.21877458150632023E-007   0.131466910E+000
   0.21954491453979319E-007   0.131827056E+000
   0.22031524757326615E-007   0.132148936E+000
   0.22108558060673911E-007   0.132531524E+000
   0.22185591364021207E-007   0.132886857E+000
   0.22262624667368502E-007   0.133149162E+000
   0.22339657970715798E-007   0.133270428E+000
   0.22416691274063094E-007   0.133289069E+000
   0.22493724577410390E-007   0.133273989E+000
   0.22570757880757686E-007   0.133255944E+000
   0.22647791184104982E-007   0.133230358E+000
   0.22724824487452278E-007   0.133230507E+000
   0.22801857790799573E-007   0.133277133E+000
   0.22878891094146869E-007   0.133293599E+000
   0.22955924397494165E-007   0.133255273E+000
   0.23032957700841461E-007   0.133270621E+000
   0.23109991004188757E-007   0.133353159E+000
   0.23187024307536053E-007   0.133379996E+000
   0.23264057610883349E-007   0.133375332E+000
   0.23341090914230644E-007   0.133466110E+000
   0.23418124217577940E-007   0.133600101E+000
   0.23495157520925236E-007   0.133632079E+000
   0.23572190824272532E-007   0.133593842E+000
   0.23649224127619828E-007   0.133569598E+000
   0.23726257430967124E-007   0.133529365E+000
   0.23803290734314420E-007   0.133452848E+000
   0.23880324037661715E-007   0.133367077E+000
   0.23957357341009011E-007   0.133276463E+000
   0.24034390644356307E-007   0.133189678E+000
   0.24111423947703603E-007   0.133245945E+000
   0.24188457251050899E-007   0.133437395E+000
   0.24265490554398195E-007   0.133680508E+000
   0.24342523857745491E-007   0.133976996E+000
