t              SphereRCS.fdtd_Point probe_Ez_15_15_4.dat       incid
   0.00000000000000000E+000   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-010   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-010   0.000000000E+000   0.000000000E+000
   0.92439993160109424E-010   0.000000000E+000   0.000000000E+000
   0.12325332421347923E-009   0.000000000E+000   0.000000000E+000
   0.15406665526684904E-009   0.000000000E+000   0.000000000E+000
   0.18487998632021885E-009   0.000000000E+000   0.000000000E+000
   0.21569331737358866E-009   0.000000000E+000   0.000000000E+000
   0.24650664842695846E-009   0.000000000E+000   0.000000000E+000
   0.27731997948032827E-009   0.000000000E+000   0.000000000E+000
   0.30813331053369808E-009   0.000000000E+000   0.000000000E+000
   0.33894664158706789E-009   0.000000000E+000   0.000000000E+000
   0.36975997264043770E-009   0.000000000E+000   0.000000000E+000
   0.40057330369380750E-009   0.000000000E+000   0.000000000E+000
   0.43138663474717731E-009   0.000000000E+000   0.000000000E+000
   0.46219996580054712E-009   0.000000000E+000   0.000000000E+000
   0.49301329685391693E-009   0.000000000E+000   0.000000000E+000
   0.52382662790728673E-009   0.000000000E+000   0.000000000E+000
   0.55463995896065654E-009   0.000000000E+000   0.000000000E+000
   0.58545329001402635E-009   0.000000000E+000   0.000000000E+000
   0.61626662106739616E-009   0.000000000E+000  -0.393253215E-014
   0.64707995212076597E-009   0.000000000E+000  -0.934433703E-014
   0.67789328317413577E-009   0.000000000E+000  -0.216830287E-013
   0.70870661422750558E-009   0.000000000E+000  -0.491345889E-013
   0.73951994528087539E-009   0.000000000E+000  -0.108730286E-012
   0.77033327633424520E-009  -0.188513449E-035  -0.234968593E-012
   0.80114660738761501E-009  -0.516266271E-034  -0.495866531E-012
   0.83195993844098481E-009  -0.732920269E-033  -0.102191996E-011
   0.86277326949435462E-009  -0.717250433E-032  -0.205667341E-011
   0.89358660054772443E-009  -0.545188109E-031  -0.404212254E-011
   0.92439993160109424E-009  -0.343001211E-030  -0.775801385E-011
   0.95521326265446405E-009  -0.185776049E-029  -0.145407922E-010
   0.98602659370783385E-009  -0.889993066E-029  -0.266147746E-010
   0.10168399247612037E-008  -0.384702641E-028  -0.475723350E-010
   0.10476532558145735E-008  -0.152340481E-027  -0.830393532E-010
   0.10784665868679433E-008  -0.560475755E-027  -0.141549814E-009
   0.11092799179213131E-008  -0.193208907E-026  -0.235631098E-009
   0.11400932489746829E-008  -0.628412182E-026  -0.383048843E-009
   0.11709065800280527E-008  -0.193742605E-025  -0.608096795E-009
   0.12017199110814225E-008  -0.569034645E-025  -0.942733669E-009
   0.12325332421347923E-008  -0.160069258E-024  -0.142725864E-008
   0.12633465731881621E-008   0.759844259E-025  -0.211015827E-008
   0.12941599042415319E-008   0.795845677E-024  -0.304667158E-008
