t              Noda2002a.fdtd_Point probe_Ez_12_12_2.dat
   0.90239999639418755E-008  -0.326363403E+003
   0.91199999635582785E-008  -0.327474640E+003
   0.92159999631746814E-008  -0.328478271E+003
   0.93119999627910843E-008  -0.329371735E+003
   0.94079999624074873E-008  -0.330253143E+003
   0.95039999620238902E-008  -0.331227173E+003
   0.95999999616402931E-008  -0.332327484E+003
   0.96959999612566961E-008  -0.333491638E+003
   0.97919999608730990E-008  -0.334607330E+003
   0.98879999604895019E-008  -0.335615356E+003
   0.99839999601059048E-008  -0.336578461E+003
   0.10079999959722308E-007  -0.337530914E+003
   0.10175999959338711E-007  -0.338220215E+003
   0.10271999958955114E-007  -0.338570526E+003
   0.10367999958571517E-007  -0.338864075E+003
   0.10463999958187920E-007  -0.339333130E+003
   0.10559999957804322E-007  -0.339961334E+003
   0.10655999957420725E-007  -0.340581848E+003
   0.10751999957037128E-007  -0.341054688E+003
   0.10847999956653531E-007  -0.341373077E+003
   0.10943999956269934E-007  -0.341672760E+003
   0.11039999955886337E-007  -0.342125305E+003
   0.11135999955502740E-007  -0.342758514E+003
   0.11231999955119143E-007  -0.343392609E+003
   0.11327999954735546E-007  -0.343828766E+003
   0.11423999954351949E-007  -0.344108612E+003
   0.11519999953968352E-007  -0.344493622E+003
   0.11615999953584755E-007  -0.345132782E+003
   0.11711999953201158E-007  -0.345837250E+003
   0.11807999952817561E-007  -0.346300140E+003
   0.11903999952433963E-007  -0.346506805E+003
   0.11999999952050366E-007  -0.346776611E+003
   0.12095999951666769E-007  -0.347345184E+003
   0.12191999951283172E-007  -0.348038940E+003
   0.12287999950899575E-007  -0.348503815E+003
   0.12383999950515978E-007  -0.348695618E+003
   0.12479999950132381E-007  -0.348954590E+003
   0.12575999949748784E-007  -0.349541901E+003
   0.12671999949365187E-007  -0.350270020E+003
   0.12767999948981590E-007  -0.350748444E+003
   0.12863999948597993E-007  -0.350918945E+003
   0.12959999948214396E-007  -0.351138092E+003
   0.13055999947830799E-007  -0.351672211E+003
   0.13151999947447202E-007  -0.352234283E+003
   0.13247999947063605E-007  -0.352390656E+003
   0.13343999946680007E-007  -0.352259521E+003
   0.13439999946296410E-007  -0.352330139E+003
   0.13535999945912813E-007  -0.352821472E+003
   0.13631999945529216E-007  -0.353409180E+003
   0.13727999945145619E-007  -0.353662506E+003
   0.13823999944762022E-007  -0.353605194E+003
   0.13919999944378425E-007  -0.353662567E+003
   0.14015999943994828E-007  -0.354080750E+003
   0.14111999943611231E-007  -0.354602539E+003
   0.14207999943227634E-007  -0.354825317E+003
   0.14303999942844037E-007  -0.354745331E+003
   0.14399999942460440E-007  -0.354753387E+003
   0.14495999942076843E-007  -0.355103271E+003
   0.14591999941693246E-007  -0.355582581E+003
   0.14687999941309648E-007  -0.355821136E+003
   0.14783999940926051E-007  -0.355797363E+003
   0.14879999940542454E-007  -0.355851593E+003
   0.14975999940158857E-007  -0.356207123E+003
   0.15071999939775260E-007  -0.356668365E+003
   0.15167999939391663E-007  -0.356899841E+003
   0.15263999939008066E-007  -0.356886108E+003
   0.15359999938624469E-007  -0.356939667E+003
   0.15455999938240872E-007  -0.357263702E+003
   0.15551999937857275E-007  -0.357681549E+003
   0.15647999937473678E-007  -0.357894012E+003
   0.15743999937090081E-007  -0.357893188E+003
   0.15839999936706484E-007  -0.357962585E+003
   0.15935999936322887E-007  -0.358280090E+003
   0.16031999935939290E-007  -0.358680542E+003
   0.16127999935555692E-007  -0.358874664E+003
   0.16223999935172095E-007  -0.358828979E+003
   0.16319999934788498E-007  -0.358836761E+003
   0.16415999934404901E-007  -0.359096313E+003
   0.16511999934021304E-007  -0.359452271E+003
   0.16607999933637707E-007  -0.359631439E+003
   0.16703999933254110E-007  -0.359619110E+003
   0.16799999932870513E-007  -0.359661041E+003
   0.16895999932486916E-007  -0.359914734E+003
   0.16991999932103319E-007  -0.360242493E+003
   0.17087999931719722E-007  -0.360414978E+003
   0.17183999931336125E-007  -0.360424530E+003
   0.17279999930952528E-007  -0.360480530E+003
   0.17375999930568931E-007  -0.360713531E+003
   0.17471999930185333E-007  -0.361005157E+003
   0.17567999929801736E-007  -0.361164581E+003
   0.17663999929418139E-007  -0.361191833E+003
   0.17759999929034542E-007  -0.361267029E+003
   0.17855999928650945E-007  -0.361496216E+003
   0.17951999928267348E-007  -0.361771179E+003
   0.18047999927883751E-007  -0.361926178E+003
   0.18143999927500154E-007  -0.361964111E+003
   0.18239999927116557E-007  -0.362043701E+003
   0.18335999926732960E-007  -0.362258270E+003
   0.18431999926349363E-007  -0.362514618E+003
   0.18527999925965766E-007  -0.362668945E+003
   0.18623999925582169E-007  -0.362722351E+003
   0.18719999925198572E-007  -0.362812073E+003
   0.18815999924814975E-007  -0.363021545E+003
   0.18911999924431377E-007  -0.363272797E+003
   0.19007999924047780E-007  -0.363438965E+003
   0.19103999923664183E-007  -0.363514557E+003
   0.19199999923280586E-007  -0.363614288E+003
   0.19295999922896989E-007  -0.363813599E+003
   0.19391999922513392E-007  -0.364050140E+003
   0.19487999922129795E-007  -0.364212616E+003
   0.19583999921746198E-007  -0.364289764E+003
   0.19679999921362601E-007  -0.364381287E+003
   0.19775999920979004E-007  -0.364564514E+003
   0.19871999920595407E-007  -0.364797607E+003
   0.19967999920211810E-007  -0.364980530E+003
   0.20063999919828213E-007  -0.365083313E+003
   0.20159999919444616E-007  -0.365166382E+003
   0.20255999919061018E-007  -0.365302032E+003
   0.20351999918677421E-007  -0.365491058E+003
   0.20447999918293824E-007  -0.365657654E+003
   0.20543999917910227E-007  -0.365751221E+003
   0.20639999917526630E-007  -0.365816162E+003
   0.20735999917143033E-007  -0.365934937E+003
   0.20831999916759436E-007  -0.366118286E+003
   0.20927999916375839E-007  -0.366289459E+003
   0.21023999915992242E-007  -0.366385986E+003
   0.21119999915608645E-007  -0.366446289E+003
   0.21215999915225048E-007  -0.366562805E+003
   0.21311999914841451E-007  -0.366758301E+003
   0.21407999914457854E-007  -0.366949219E+003
   0.21503999914074257E-007  -0.367052368E+003
   0.21599999913690660E-007  -0.367098541E+003
   0.21695999913307062E-007  -0.367197174E+003
   0.21791999912923465E-007  -0.367389679E+003
   0.21887999912539868E-007  -0.367586945E+003
   0.21983999912156271E-007  -0.367685089E+003
   0.22079999911772674E-007  -0.367711609E+003
   0.22175999911389077E-007  -0.367797638E+003
   0.22271999911005480E-007  -0.368001984E+003
   0.22367999910621883E-007  -0.368223419E+003
   0.22463999910238286E-007  -0.368331543E+003
   0.22559999909854689E-007  -0.368347870E+003
   0.22655999909471092E-007  -0.368423828E+003
   0.22751999909087495E-007  -0.368633545E+003
   0.22847999908703898E-007  -0.368863556E+003
   0.22943999908320301E-007  -0.368962860E+003
   0.23039999907936703E-007  -0.368956116E+003
   0.23135999907553106E-007  -0.369019287E+003
   0.23231999907169509E-007  -0.369238953E+003
   0.23327999906785912E-007  -0.369485870E+003
   0.23423999906402315E-007  -0.369588531E+003
   0.23519999906018718E-007  -0.369574097E+003
   0.23615999905635121E-007  -0.369636841E+003
   0.23711999905251524E-007  -0.369868408E+003
   0.23807999904867927E-007  -0.370123169E+003
   0.23903999904484330E-007  -0.370216370E+003
   0.23999999904100733E-007  -0.370184753E+003
   0.24095999903717136E-007  -0.370241882E+003
   0.24191999903333539E-007  -0.370481232E+003
   0.24287999902949942E-007  -0.370741913E+003
   0.24383999902566345E-007  -0.370830566E+003
   0.24479999902182747E-007  -0.370793579E+003
   0.24575999901799150E-007  -0.370855286E+003
   0.24671999901415553E-007  -0.371103912E+003
   0.24767999901031956E-007  -0.371365234E+003
   0.24863999900648359E-007  -0.371444672E+003
   0.24959999900264762E-007  -0.371400330E+003
   0.25055999899881165E-007  -0.371463104E+003
   0.25151999899497568E-007  -0.371671295E+003
   0.25247999899113971E-007  -0.371836029E+003
   0.25343999898730374E-007  -0.371822052E+003
   0.25439999898346777E-007  -0.371734344E+003
   0.25535999897963180E-007  -0.371782196E+003
   0.25631999897579583E-007  -0.371994568E+003
   0.25727999897195986E-007  -0.372175690E+003
   0.25823999896812388E-007  -0.372169678E+003
   0.25919999896428791E-007  -0.372074219E+003
   0.26015999896045194E-007  -0.372106567E+003
   0.26111999895661597E-007  -0.372305511E+003
   0.26207999895278000E-007  -0.372480621E+003
   0.26303999894894403E-007  -0.372477325E+003
   0.26399999894510806E-007  -0.372389008E+003
   0.26495999894127209E-007  -0.372424896E+003
   0.26591999893743612E-007  -0.372621918E+003
   0.26687999893360015E-007  -0.372798706E+003
   0.26783999892976418E-007  -0.372808594E+003
   0.26879999892592821E-007  -0.372736816E+003
   0.26975999892209224E-007  -0.372774872E+003
   0.27071999891825627E-007  -0.372955933E+003
   0.27167999891442030E-007  -0.373117493E+003
   0.27263999891058432E-007  -0.373131927E+003
   0.27359999890674835E-007  -0.373079071E+003
   0.27455999890291238E-007  -0.373128632E+003
   0.27551999889907641E-007  -0.373307037E+003
   0.27647999889524044E-007  -0.373470337E+003
   0.27743999889140447E-007  -0.373508087E+003
   0.27839999888756850E-007  -0.373489594E+003
   0.27935999888373253E-007  -0.373559875E+003
   0.28031999887989656E-007  -0.373740234E+003
   0.28127999887606059E-007  -0.373908112E+003
   0.28223999887222462E-007  -0.373971161E+003
   0.28319999886838865E-007  -0.373989624E+003
   0.28415999886455268E-007  -0.374087189E+003
   0.28511999886071671E-007  -0.374284912E+003
   0.28607999885688074E-007  -0.374482697E+003
   0.28703999885304476E-007  -0.374602356E+003
   0.28799999884920879E-007  -0.374690033E+003
   0.28895999884537282E-007  -0.374846832E+003
   0.28991999884153685E-007  -0.375092773E+003
   0.29087999883770088E-007  -0.375347839E+003
   0.29183999883386491E-007  -0.375545380E+003
   0.29279999883002894E-007  -0.375719299E+003
   0.29375999882619297E-007  -0.375954224E+003
   0.29471999882235700E-007  -0.376274719E+003
   0.29567999881852103E-007  -0.376621033E+003
   0.29663999881468506E-007  -0.376935181E+003
   0.29759999881084909E-007  -0.377238007E+003
   0.29855999880701312E-007  -0.377599335E+003
   0.29951999880317715E-007  -0.378047241E+003
   0.30047999879934117E-007  -0.378536469E+003
   0.30143999879550520E-007  -0.379012451E+003
   0.30239999879166923E-007  -0.379483368E+003
   0.30335999878783326E-007  -0.380008148E+003
   0.30431999878399729E-007  -0.380620575E+003
   0.30527999878016132E-007  -0.381289062E+003
   0.30623999877632535E-007  -0.381961792E+003
   0.30719999877248938E-007  -0.382636414E+003
   0.30815999876865341E-007  -0.383363800E+003
   0.30911999876481744E-007  -0.384182129E+003
   0.31007999876098147E-007  -0.385068024E+003
   0.31103999875714550E-007  -0.385967987E+003
   0.31199999875330953E-007  -0.386869415E+003
   0.31295999874947356E-007  -0.387817230E+003
   0.31391999874563759E-007  -0.388854462E+003
   0.31487999874180161E-007  -0.389964417E+003
   0.31583999873796564E-007  -0.391092346E+003
   0.31679999873412967E-007  -0.392218262E+003
   0.31775999873029370E-007  -0.393383972E+003
   0.31871999872645773E-007  -0.394636993E+003
   0.31967999872262176E-007  -0.395964661E+003
   0.32063999871878579E-007  -0.397308167E+003
   0.32159999871494982E-007  -0.398639130E+003
   0.32255999871111385E-007  -0.399996521E+003
   0.32351999870727788E-007  -0.401431946E+003
   0.32447999870344191E-007  -0.402936157E+003
   0.32543999869960594E-007  -0.404447601E+003
   0.32639999869576997E-007  -0.405933319E+003
   0.32735999869193400E-007  -0.407432892E+003
   0.32831999868809802E-007  -0.409003967E+003
   0.32927999868426205E-007  -0.410640717E+003
   0.33023999868042608E-007  -0.412277191E+003
   0.33119999867659011E-007  -0.413874084E+003
   0.33215999867275414E-007  -0.415471313E+003
   0.33311999866891817E-007  -0.417132660E+003
   0.33407999866508220E-007  -0.418855164E+003
   0.33503999866124623E-007  -0.420568237E+003
   0.33599999865741026E-007  -0.422227142E+003
   0.33695999865357429E-007  -0.423874298E+003
   0.33791999864973832E-007  -0.425581360E+003
   0.33887999864590235E-007  -0.427348083E+003
   0.33983999864206638E-007  -0.429097412E+003
   0.34079999863823041E-007  -0.430777374E+003
   0.34175999863439444E-007  -0.432431519E+003
   0.34271999863055846E-007  -0.434137726E+003
   0.34367999862672249E-007  -0.435895386E+003
   0.34463999862288652E-007  -0.437618042E+003
   0.34559999861905055E-007  -0.439246368E+003
   0.34655999861521458E-007  -0.440828247E+003
   0.34751999861137861E-007  -0.442451569E+003
   0.34847999860754264E-007  -0.444118286E+003
   0.34943999860370667E-007  -0.445734894E+003
   0.35039999859987070E-007  -0.447237701E+003
   0.35135999859603473E-007  -0.448714722E+003
   0.35231999859219876E-007  -0.450280884E+003
   0.35327999858836279E-007  -0.451894073E+003
   0.35423999858452682E-007  -0.453411163E+003
   0.35519999858069085E-007  -0.454774872E+003
   0.35615999857685487E-007  -0.456084869E+003
   0.35711999857301890E-007  -0.457463867E+003
   0.35807999856918293E-007  -0.458895081E+003
   0.35903999856534696E-007  -0.460246216E+003
   0.35999999856151099E-007  -0.461447540E+003
   0.36095999855767502E-007  -0.462585327E+003
   0.36191999855383905E-007  -0.463783722E+003
   0.36287999855000308E-007  -0.465034912E+003
   0.36383999854616711E-007  -0.466209137E+003
   0.36479999854233114E-007  -0.467231110E+003
   0.36575999853849517E-007  -0.468181793E+003
   0.36671999853465920E-007  -0.469185120E+003
   0.36767999853082323E-007  -0.470236450E+003
   0.36863999852698726E-007  -0.471210693E+003
   0.36959999852315129E-007  -0.472038544E+003
   0.37055999851931531E-007  -0.472805176E+003
   0.37151999851547934E-007  -0.473633514E+003
   0.37247999851164337E-007  -0.474515625E+003
   0.37343999850780740E-007  -0.475327637E+003
   0.37439999850397143E-007  -0.476006683E+003
   0.37535999850013546E-007  -0.476640533E+003
   0.37631999849629949E-007  -0.477346344E+003
   0.37727999849246352E-007  -0.478108826E+003
   0.37823999848862755E-007  -0.478804474E+003
   0.37919999848479158E-007  -0.479375671E+003
   0.38015999848095561E-007  -0.479909668E+003
   0.38111999847711964E-007  -0.480514221E+003
   0.38207999847328367E-007  -0.481166748E+003
   0.38303999846944770E-007  -0.481748199E+003
   0.38399999846561172E-007  -0.482209747E+003
   0.38495999846177575E-007  -0.482638184E+003
   0.38591999845793978E-007  -0.483131805E+003
   0.38687999845410381E-007  -0.483665344E+003
   0.38783999845026784E-007  -0.484130920E+003
   0.38879999844643187E-007  -0.484491791E+003
   0.38975999844259590E-007  -0.484832916E+003
   0.39071999843875993E-007  -0.485242798E+003
   0.39167999843492396E-007  -0.485696167E+003
   0.39263999843108799E-007  -0.486097809E+003
   0.39359999842725202E-007  -0.486418335E+003
   0.39455999842341605E-007  -0.486731628E+003
   0.39551999841958008E-007  -0.487108795E+003
   0.39647999841574411E-007  -0.487521667E+003
   0.39743999841190814E-007  -0.487886047E+003
   0.39839999840807216E-007  -0.488175995E+003
   0.39935999840423619E-007  -0.488451080E+003
