t              Noda2002a.fdtd_Bulk probe_Jz_11_11_2__12_12_2.dat
   0.00000000000000000E+000   0.000000000E+000
   0.95999999616402931E-010   0.000000000E+000
   0.19199999923280586E-009   0.504372816E-003
   0.28799999884920879E-009   0.177703961E-002
   0.38399999846561172E-009   0.357155781E-002
   0.47999999808201466E-009   0.549685489E-002
   0.57599999769841759E-009   0.741424598E-002
   0.67199999731482052E-009   0.940431468E-002
   0.76799999693122345E-009   0.114819612E-001
   0.86399999654762638E-009   0.134889046E-001
   0.95999999616402931E-009   0.152621884E-001
   0.10559999957804322E-008   0.168132335E-001
   0.11519999953968352E-008   0.182977114E-001
   0.12479999950132381E-008   0.198497418E-001
   0.13439999946296410E-008   0.214845184E-001
   0.14399999942460440E-008   0.231394228E-001
   0.15359999938624469E-008   0.247600656E-001
   0.16319999934788498E-008   0.265126266E-001
   0.17279999930952528E-008   0.287425965E-001
   0.18239999927116557E-008   0.315181874E-001
   0.19199999923280586E-008   0.345974341E-001
   0.20159999919444616E-008   0.377312563E-001
   0.21119999915608645E-008   0.408594534E-001
   0.22079999911772674E-008   0.440242998E-001
   0.23039999907936703E-008   0.472035632E-001
   0.23999999904100733E-008   0.502903722E-001
   0.24959999900264762E-008   0.532058477E-001
   0.25919999896428791E-008   0.559805185E-001
   0.26879999892592821E-008   0.587192550E-001
   0.27839999888756850E-008   0.615084991E-001
   0.28799999884920879E-008   0.643617287E-001
   0.29759999881084909E-008   0.672353208E-001
   0.30719999877248938E-008   0.700822994E-001
   0.31679999873412967E-008   0.730057955E-001
   0.32639999869576997E-008   0.761292279E-001
   0.33599999865741026E-008   0.794568807E-001
   0.34559999861905055E-008   0.828951597E-001
   0.35519999858069085E-008   0.863596871E-001
   0.36479999854233114E-008   0.898302048E-001
   0.37439999850397143E-008   0.933172107E-001
   0.38399999846561172E-008   0.968073159E-001
   0.39359999842725202E-008   0.100254536E+000
   0.40319999838889231E-008   0.103616625E+000
   0.41279999835053260E-008   0.106889702E+000
   0.42239999831217290E-008   0.110104889E+000
   0.43199999827381319E-008   0.113294810E+000
   0.44159999823545348E-008   0.116465494E+000
   0.45119999819709378E-008   0.119601034E+000
   0.46079999815873407E-008   0.122601733E+000
   0.47039999812037436E-008   0.125220880E+000
   0.47999999808201466E-008   0.127385840E+000
   0.48959999804365495E-008   0.129287913E+000
   0.49919999800529524E-008   0.131152257E+000
   0.50879999796693554E-008   0.133042574E+000
   0.51839999792857583E-008   0.134914488E+000
   0.52799999789021612E-008   0.136775121E+000
   0.53759999785185641E-008   0.138714880E+000
   0.54719999781349671E-008   0.140794232E+000
   0.55679999777513700E-008   0.142956346E+000
   0.56639999773677729E-008   0.145074770E+000
   0.57599999769841759E-008   0.147065744E+000
   0.58559999766005788E-008   0.148936912E+000
   0.59519999762169817E-008   0.150745735E+000
   0.60479999758333847E-008   0.152540237E+000
   0.61439999754497876E-008   0.154091090E+000
   0.62399999750661905E-008   0.155117616E+000
   0.63359999746825935E-008   0.155654222E+000
   0.64319999742989964E-008   0.155987024E+000
   0.65279999739153993E-008   0.156332240E+000
   0.66239999735318023E-008   0.156697750E+000
   0.67199999731482052E-008   0.157025039E+000
   0.68159999727646081E-008   0.157351986E+000
   0.69119999723810110E-008   0.157788277E+000
   0.70079999719974140E-008   0.158377677E+000
   0.71039999716138169E-008   0.159041375E+000
   0.71999999712302198E-008   0.159657985E+000
   0.72959999708466228E-008   0.160170645E+000
   0.73919999704630257E-008   0.160610974E+000
   0.74879999700794286E-008   0.161045015E+000
   0.75839999696958316E-008   0.161514625E+000
   0.76799999693122345E-008   0.162021890E+000
   0.77759999689286374E-008   0.162547588E+000
   0.78719999685450404E-008   0.163074344E+000
   0.79679999681614433E-008   0.163596898E+000
   0.80639999677778462E-008   0.164117306E+000
   0.81599999673942492E-008   0.164560884E+000
   0.82559999670106521E-008   0.164842352E+000
   0.83519999666270550E-008   0.164968267E+000
   0.84479999662434579E-008   0.165020242E+000
   0.85439999658598609E-008   0.165073723E+000
   0.86399999654762638E-008   0.165156782E+000
   0.87359999650926667E-008   0.165274262E+000
   0.88319999647090697E-008   0.165441692E+000
   0.89279999643254726E-008   0.165682048E+000
   0.90239999639418755E-008   0.165997148E+000
   0.91199999635582785E-008   0.166353598E+000
   0.92159999631746814E-008   0.166698098E+000
   0.93119999627910843E-008   0.166983902E+000
