t              Noda2002a.fdtd_Point probe_Ex_12_12_2.dat
   0.90239999639418755E-008  -0.699584461E-007
   0.91199999635582785E-008  -0.700784142E-007
   0.92159999631746814E-008  -0.702190945E-007
   0.93119999627910843E-008  -0.703583396E-007
   0.94079999624074873E-008  -0.704729999E-007
   0.95039999620238902E-008  -0.705511169E-007
   0.95999999616402931E-008  -0.705954832E-007
   0.96959999612566961E-008  -0.706205512E-007
   0.97919999608730990E-008  -0.706429830E-007
   0.98879999604895019E-008  -0.706704100E-007
   0.99839999601059048E-008  -0.706998406E-007
   0.10079999959722308E-007  -0.707310832E-007
   0.10175999959338711E-007  -0.707686851E-007
   0.10271999958955114E-007  -0.707909393E-007
   0.10367999958571517E-007  -0.707744334E-007
   0.10463999958187920E-007  -0.707337975E-007
   0.10559999957804322E-007  -0.707053687E-007
   0.10655999957420725E-007  -0.707134760E-007
   0.10751999957037128E-007  -0.707568688E-007
   0.10847999956653531E-007  -0.708143517E-007
   0.10943999956269934E-007  -0.708575669E-007
   0.11039999955886337E-007  -0.708696248E-007
   0.11135999955502740E-007  -0.708604517E-007
   0.11231999955119143E-007  -0.708576309E-007
   0.11327999954735546E-007  -0.708736323E-007
   0.11423999954351949E-007  -0.708882695E-007
   0.11519999953968352E-007  -0.708758989E-007
   0.11615999953584755E-007  -0.708474133E-007
   0.11711999953201158E-007  -0.708470580E-007
   0.11807999952817561E-007  -0.708998940E-007
   0.11903999952433963E-007  -0.709772578E-007
   0.11999999952050366E-007  -0.710311596E-007
   0.12095999951666769E-007  -0.710556733E-007
   0.12191999951283172E-007  -0.710917476E-007
   0.12287999950899575E-007  -0.711664256E-007
   0.12383999950515978E-007  -0.712500778E-007
   0.12479999950132381E-007  -0.712940178E-007
   0.12575999949748784E-007  -0.712994037E-007
   0.12671999949365187E-007  -0.713209687E-007
   0.12767999948981590E-007  -0.713968689E-007
   0.12863999948597993E-007  -0.714994073E-007
   0.12959999948214396E-007  -0.715748740E-007
   0.13055999947830799E-007  -0.716173929E-007
   0.13151999947447202E-007  -0.716721189E-007
   0.13247999947063605E-007  -0.717530781E-007
   0.13343999946680007E-007  -0.718061841E-007
   0.13439999946296410E-007  -0.717834041E-007
   0.13535999945912813E-007  -0.717102608E-007
   0.13631999945529216E-007  -0.716593220E-007
   0.13727999945145619E-007  -0.716642745E-007
   0.13823999944762022E-007  -0.716861734E-007
   0.13919999944378425E-007  -0.716745205E-007
   0.14015999943994828E-007  -0.716398389E-007
   0.14111999943611231E-007  -0.716408763E-007
   0.14207999943227634E-007  -0.717049886E-007
   0.14303999942844037E-007  -0.717897066E-007
   0.14399999942460440E-007  -0.718367232E-007
   0.14495999942076843E-007  -0.718442408E-007
   0.14591999941693246E-007  -0.718613364E-007
   0.14687999941309648E-007  -0.719157072E-007
   0.14783999940926051E-007  -0.719755207E-007
   0.14879999940542454E-007  -0.719957924E-007
   0.14975999940158857E-007  -0.719829671E-007
   0.15071999939775260E-007  -0.719881186E-007
   0.15167999939391663E-007  -0.720396756E-007
   0.15263999939008066E-007  -0.721081506E-007
   0.15359999938624469E-007  -0.721494331E-007
   0.15455999938240872E-007  -0.721646813E-007
   0.15551999937857275E-007  -0.721950499E-007
   0.15647999937473678E-007  -0.722617273E-007
   0.15743999937090081E-007  -0.723356450E-007
   0.15839999936706484E-007  -0.723775813E-007
   0.15935999936322887E-007  -0.723912663E-007
   0.16031999935939290E-007  -0.724167819E-007
   0.16127999935555692E-007  -0.724751885E-007
   0.16223999935172095E-007  -0.725389384E-007
   0.16319999934788498E-007  -0.725675235E-007
   0.16415999934404901E-007  -0.725645606E-007
   0.16511999934021304E-007  -0.725713960E-007
   0.16607999933637707E-007  -0.726105185E-007
   0.16703999933254110E-007  -0.726577838E-007
   0.16799999932870513E-007  -0.726788087E-007
   0.16895999932486916E-007  -0.726763218E-007
   0.16991999932103319E-007  -0.726845926E-007
   0.17087999931719722E-007  -0.727220737E-007
   0.17183999931336125E-007  -0.727686214E-007
   0.17279999930952528E-007  -0.727958636E-007
   0.17375999930568931E-007  -0.728061451E-007
   0.17471999930185333E-007  -0.728270493E-007
   0.17567999929801736E-007  -0.728716145E-007
   0.17663999929418139E-007  -0.729204643E-007
   0.17759999929034542E-007  -0.729490566E-007
