t              csa.fdtd_Bulk probe 0 m_Jz_19_19_0__20_20_0.dat
   0.00000000000000000E+000   0.000000000E+000
   0.12499999924031613E-008   0.542189181E+000
   0.24999999848063226E-008   0.141308355E+001
   0.37499999772094839E-008   0.227118278E+001
   0.49999999696126451E-008   0.288092923E+001
   0.62499999620158064E-008   0.323837996E+001
   0.74999999544189677E-008   0.352012777E+001
   0.87499999468221290E-008   0.393014765E+001
   0.99999999392252903E-008   0.457241726E+001
   0.11249999931628452E-007   0.542297935E+001
   0.12499999924031613E-007   0.638833952E+001
   0.13749999916434774E-007   0.738969707E+001
   0.14999999908837935E-007   0.841740227E+001
   0.16249999901241097E-007   0.953156471E+001
   0.17499999893644258E-007   0.108191710E+002
   0.18749999886047419E-007   0.123420181E+002
   0.19999999878450581E-007   0.141117725E+002
   0.21249999870853742E-007   0.161049614E+002
   0.22499999863256903E-007   0.182992458E+002
   0.23749999855660064E-007   0.207000217E+002
   0.24999999848063226E-007   0.233418503E+002
   0.26249999840466387E-007   0.262728882E+002
   0.27499999832869548E-007   0.295391502E+002
   0.28749999825272710E-007   0.331767921E+002
   0.29999999817675871E-007   0.372107391E+002
   0.31249999810079032E-007   0.416567459E+002
   0.32499999802482193E-007   0.465272217E+002
   0.33749999794885355E-007   0.518402557E+002
   0.34999999787288516E-007   0.576268997E+002
   0.36249999779691677E-007   0.639311714E+002
   0.37499999772094839E-007   0.708018188E+002
   0.38749999764498000E-007   0.782811432E+002
   0.39999999756901161E-007   0.863983765E+002
   0.41249999749304322E-007   0.951716461E+002
   0.42499999741707484E-007   0.104616989E+003
   0.43749999734110645E-007   0.114757339E+003
   0.44999999726513806E-007   0.125625015E+003
   0.46249999718916968E-007   0.137256226E+003
   0.47499999711320129E-007   0.149682800E+003
   0.48749999703723290E-007   0.162927673E+003
   0.49999999696126451E-007   0.177005646E+003
   0.51249999688529613E-007   0.191925903E+003
   0.52499999680932774E-007   0.207693848E+003
   0.53749999673335935E-007   0.224311432E+003
   0.54999999665739097E-007   0.241778641E+003
   0.56249999658142258E-007   0.260094788E+003
   0.57499999650545419E-007   0.279257324E+003
   0.58749999642948580E-007   0.299257263E+003
   0.59999999635351742E-007   0.320074463E+003
   0.61249999627754903E-007   0.341676270E+003
   0.62499999620158064E-007   0.364020996E+003
   0.63749999612561226E-007   0.387063080E+003
   0.64999999604964387E-007   0.410755615E+003
   0.66249999597367548E-007   0.435049316E+003
   0.67499999589770709E-007   0.459888062E+003
   0.68749999582173871E-007   0.485205688E+003
   0.69999999574577032E-007   0.510925415E+003
   0.71249999566980193E-007   0.536962219E+003
   0.72499999559383355E-007   0.563225708E+003
   0.73749999551786516E-007   0.589621277E+003
   0.74999999544189677E-007   0.616050049E+003
   0.76249999536592838E-007   0.642409302E+003
   0.77499999528996000E-007   0.668593872E+003
   0.78749999521399161E-007   0.694496094E+003
   0.79999999513802322E-007   0.720004944E+003
   0.81249999506205484E-007   0.745003845E+003
   0.82499999498608645E-007   0.769372314E+003
   0.83749999491011806E-007   0.792989563E+003
   0.84999999483414967E-007   0.815738403E+003
   0.86249999475818129E-007   0.837507568E+003
   0.87499999468221290E-007   0.858189697E+003
   0.88749999460624451E-007   0.877679504E+003
   0.89999999453027613E-007   0.895873169E+003
   0.91249999445430774E-007   0.912670410E+003
   0.92499999437833935E-007   0.927977051E+003
   0.93749999430237096E-007   0.941707764E+003
   0.94999999422640258E-007   0.953786255E+003
   0.96249999415043419E-007   0.964145386E+003
   0.97499999407446580E-007   0.972727478E+003
   0.98749999399849742E-007   0.979484985E+003
   0.99999999392252903E-007   0.984381226E+003
   0.10124999938465606E-006   0.987389038E+003
   0.10249999937705923E-006   0.988490356E+003
   0.10374999936946239E-006   0.987676514E+003
   0.10499999936186555E-006   0.984950989E+003
   0.10624999935426871E-006   0.980330505E+003
   0.10749999934667187E-006   0.973845520E+003
   0.10874999933907503E-006   0.965537109E+003
   0.10999999933147819E-006   0.955454834E+003
   0.11124999932388135E-006   0.943655090E+003
   0.11249999931628452E-006   0.930203308E+003
   0.11374999930868768E-006   0.915174316E+003
   0.11499999930109084E-006   0.898652222E+003
   0.11624999929349400E-006   0.880729248E+003
   0.11749999928589716E-006   0.861503662E+003
   0.11874999927830032E-006   0.841078857E+003
   0.11999999927070348E-006   0.819562683E+003
   0.12124999926310664E-006   0.797067017E+003
   0.12249999925550981E-006   0.773705200E+003
   0.12374999924791297E-006   0.749591125E+003
   0.12499999924031613E-006   0.724838989E+003
   0.12624999923271929E-006   0.699563599E+003
   0.12749999922512245E-006   0.673880737E+003
   0.12874999921752561E-006   0.647905823E+003
   0.12999999920992877E-006   0.621750854E+003
   0.13124999920233194E-006   0.595522583E+003
   0.13249999919473510E-006   0.569321533E+003
   0.13374999918713826E-006   0.543243896E+003
   0.13499999917954142E-006   0.517382019E+003
   0.13624999917194458E-006   0.491823975E+003
   0.13749999916434774E-006   0.466651917E+003
   0.13874999915675090E-006   0.441941132E+003
   0.13999999914915406E-006   0.417759705E+003
   0.14124999914155723E-006   0.394169067E+003
   0.14249999913396039E-006   0.371223907E+003
   0.14374999912636355E-006   0.348971558E+003
   0.14499999911876671E-006   0.327451904E+003
   0.14624999911116987E-006   0.306697937E+003
   0.14749999910357303E-006   0.286737122E+003
   0.14874999909597619E-006   0.267591980E+003
   0.14999999908837935E-006   0.249279785E+003
   0.15124999908078252E-006   0.231811127E+003
   0.15249999907318568E-006   0.215189270E+003
   0.15374999906558884E-006   0.199411407E+003
   0.15499999905799200E-006   0.184470612E+003
   0.15624999905039516E-006   0.170357300E+003
   0.15749999904279832E-006   0.157059174E+003
   0.15874999903520148E-006   0.144560211E+003
   0.15999999902760464E-006   0.132840424E+003
   0.16124999902000781E-006   0.121876617E+003
   0.16249999901241097E-006   0.111643517E+003
   0.16374999900481413E-006   0.102114319E+003
   0.16499999899721729E-006   0.932604523E+002
   0.16624999898962045E-006   0.850516815E+002
   0.16749999898202361E-006   0.774569855E+002
   0.16874999897442677E-006   0.704457245E+002
   0.16999999896682993E-006   0.639880295E+002
   0.17124999895923310E-006   0.580541229E+002
   0.17249999895163626E-006   0.526133575E+002
   0.17374999894403942E-006   0.476341171E+002
   0.17499999893644258E-006   0.430849152E+002
   0.17624999892884574E-006   0.389359589E+002
   0.17749999892124890E-006   0.351598473E+002
   0.17874999891365206E-006   0.317308350E+002
   0.17999999890605523E-006   0.286237164E+002
   0.18124999889845839E-006   0.258133736E+002
   0.18249999889086155E-006   0.232754402E+002
   0.18374999888326471E-006   0.209871483E+002
   0.18499999887566787E-006   0.189274731E+002
