t              OneCable.fdtd_Probe_Start_Ez_10_25_10.dat
   0.65325678633848527E-009  -0.544278908E+001
   0.65479748630626472E-009  -0.555899906E+001
   0.65633818627404417E-009  -0.567735291E+001
   0.65787888624182361E-009  -0.579788303E+001
   0.65941958620960306E-009  -0.592062092E+001
   0.66096028617738251E-009  -0.604559803E+001
   0.66250098614516195E-009  -0.617284727E+001
   0.66404168611294140E-009  -0.630240154E+001
   0.66558238608072084E-009  -0.643429375E+001
   0.66712308604850029E-009  -0.656855583E+001
   0.66866378601627974E-009  -0.670522261E+001
   0.67020448598405918E-009  -0.684432650E+001
   0.67174518595183863E-009  -0.698590136E+001
   0.67328588591961808E-009  -0.712998247E+001
   0.67482658588739752E-009  -0.727660322E+001
   0.67636728585517697E-009  -0.742579937E+001
   0.67790798582295642E-009  -0.757760477E+001
   0.67944868579073586E-009  -0.773205519E+001
   0.68098938575851531E-009  -0.788918543E+001
   0.68253008572629476E-009  -0.804903221E+001
   0.68407078569407420E-009  -0.821163082E+001
   0.68561148566185365E-009  -0.837701702E+001
   0.68715218562963309E-009  -0.854522705E+001
   0.68869288559741254E-009  -0.871629810E+001
   0.69023358556519199E-009  -0.889026642E+001
   0.69177428553297143E-009  -0.906716919E+001
   0.69331498550075088E-009  -0.924704361E+001
   0.69485568546853033E-009  -0.942992783E+001
   0.69639638543630977E-009  -0.961585808E+001
   0.69793708540408922E-009  -0.980487347E+001
   0.69947778537186867E-009  -0.999701118E+001
   0.70101848533964811E-009  -0.101923103E+002
   0.70255918530742756E-009  -0.103908081E+002
   0.70409988527520700E-009  -0.105925436E+002
   0.70564058524298645E-009  -0.107975550E+002
   0.70718128521076590E-009  -0.110058823E+002
   0.70872198517854534E-009  -0.112175627E+002
   0.71026268514632479E-009  -0.114326372E+002
   0.71180338511410424E-009  -0.116511440E+002
   0.71334408508188368E-009  -0.118731241E+002
   0.71488478504966313E-009  -0.120986166E+002
   0.71642548501744258E-009  -0.123276596E+002
   0.71796618498522202E-009  -0.125602942E+002
   0.71950688495300147E-009  -0.127965593E+002
   0.72104758492078092E-009  -0.130364962E+002
   0.72258828488856036E-009  -0.132801437E+002
   0.72412898485633981E-009  -0.135275431E+002
   0.72566968482411925E-009  -0.137787352E+002
   0.72721038479189870E-009  -0.140337591E+002
   0.72875108475967815E-009  -0.142926559E+002
   0.73029178472745759E-009  -0.145554647E+002
   0.73183248469523704E-009  -0.148222284E+002
   0.73337318466301649E-009  -0.150929861E+002
   0.73491388463079593E-009  -0.153677778E+002
   0.73645458459857538E-009  -0.156466446E+002
   0.73799528456635483E-009  -0.159296274E+002
   0.73953598453413427E-009  -0.162167683E+002
   0.74107668450191372E-009  -0.165081043E+002
   0.74261738446969316E-009  -0.168036785E+002
   0.74415808443747261E-009  -0.171035309E+002
   0.74569878440525206E-009  -0.174077015E+002
   0.74723948437303150E-009  -0.177162323E+002
   0.74878018434081095E-009  -0.180291615E+002
   0.75032088430859040E-009  -0.183465309E+002
   0.75186158427636984E-009  -0.186683807E+002
   0.75340228424414929E-009  -0.189947491E+002
   0.75494298421192874E-009  -0.193256760E+002
   0.75648368417970818E-009  -0.196612053E+002
