t              LineCurrent.fdtd_Point probe_Ex_50_25_30.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011   0.000000000E+000
   0.30813999355588928E-011   0.000000000E+000
   0.46220999033383392E-011   0.000000000E+000
   0.61627998711177856E-011   0.000000000E+000
   0.77034998388972320E-011   0.000000000E+000
   0.92441998066766784E-011   0.000000000E+000
   0.10784899774456125E-010   0.000000000E+000
   0.12325599742235571E-010   0.000000000E+000
   0.13866299710015018E-010   0.000000000E+000
   0.15406999677794464E-010   0.000000000E+000
   0.16947699645573910E-010   0.000000000E+000
   0.18488399613353357E-010   0.000000000E+000
   0.20029099581132803E-010   0.000000000E+000
   0.21569799548912250E-010   0.000000000E+000
   0.23110499516691696E-010   0.000000000E+000
   0.24651199484471142E-010   0.000000000E+000
   0.26191899452250589E-010   0.000000000E+000
   0.27732599420030035E-010   0.000000000E+000
   0.29273299387809482E-010   0.000000000E+000
   0.30813999355588928E-010   0.000000000E+000
   0.32354699323368374E-010   0.000000000E+000
   0.33895399291147821E-010   0.000000000E+000
   0.35436099258927267E-010   0.000000000E+000
   0.36976799226706714E-010   0.000000000E+000
   0.38517499194486160E-010   0.000000000E+000
   0.40058199162265606E-010   0.000000000E+000
   0.41598899130045053E-010   0.000000000E+000
   0.43139599097824499E-010   0.000000000E+000
   0.44680299065603946E-010   0.000000000E+000
   0.46220999033383392E-010   0.000000000E+000
   0.47761699001162838E-010   0.000000000E+000
   0.49302398968942285E-010   0.000000000E+000
   0.50843098936721731E-010   0.000000000E+000
   0.52383798904501178E-010   0.000000000E+000
   0.53924498872280624E-010   0.000000000E+000
   0.55465198840060070E-010   0.000000000E+000
   0.57005898807839517E-010   0.000000000E+000
   0.58546598775618963E-010   0.000000000E+000
   0.60087298743398410E-010   0.000000000E+000
   0.61627998711177856E-010   0.000000000E+000
   0.63168698678957302E-010   0.000000000E+000
   0.64709398646736749E-010   0.000000000E+000
   0.66250098614516195E-010   0.000000000E+000
   0.67790798582295642E-010   0.000000000E+000
   0.69331498550075088E-010   0.000000000E+000
   0.70872198517854534E-010   0.000000000E+000
   0.72412898485633981E-010   0.000000000E+000
   0.73953598453413427E-010   0.000000000E+000
   0.75494298421192874E-010   0.000000000E+000
   0.77034998388972320E-010   0.000000000E+000
   0.78575698356751766E-010   0.000000000E+000
   0.80116398324531213E-010   0.000000000E+000
   0.81657098292310659E-010   0.000000000E+000
   0.83197798260090106E-010   0.000000000E+000
   0.84738498227869552E-010   0.000000000E+000
   0.86279198195648998E-010   0.000000000E+000
   0.87819898163428445E-010   0.000000000E+000
   0.89360598131207891E-010   0.000000000E+000
   0.90901298098987338E-010   0.000000000E+000
   0.92441998066766784E-010   0.000000000E+000
   0.93982698034546230E-010   0.000000000E+000
   0.95523398002325677E-010   0.000000000E+000
   0.97064097970105123E-010   0.000000000E+000
   0.98604797937884570E-010   0.000000000E+000
   0.10014549790566402E-009   0.000000000E+000
   0.10168619787344346E-009   0.000000000E+000
   0.10322689784122291E-009   0.000000000E+000
   0.10476759780900236E-009   0.000000000E+000
   0.10630829777678180E-009   0.000000000E+000
   0.10784899774456125E-009   0.000000000E+000
   0.10938969771234069E-009   0.000000000E+000
   0.11093039768012014E-009   0.000000000E+000
   0.11247109764789959E-009   0.000000000E+000
   0.11401179761567903E-009   0.000000000E+000
   0.11555249758345848E-009   0.000000000E+000
   0.11709319755123793E-009   0.000000000E+000
   0.11863389751901737E-009   0.000000000E+000
   0.12017459748679682E-009   0.000000000E+000
   0.12171529745457627E-009   0.000000000E+000
   0.12325599742235571E-009   0.000000000E+000
   0.12479669739013516E-009   0.000000000E+000
   0.12633739735791460E-009   0.000000000E+000
   0.12787809732569405E-009   0.000000000E+000
   0.12941879729347350E-009   0.000000000E+000
   0.13095949726125294E-009   0.000000000E+000
   0.13250019722903239E-009   0.000000000E+000
   0.13404089719681184E-009   0.000000000E+000
   0.13558159716459128E-009   0.000000000E+000
   0.13712229713237073E-009   0.000000000E+000
   0.13866299710015018E-009   0.000000000E+000
   0.14020369706792962E-009   0.000000000E+000
   0.14174439703570907E-009   0.000000000E+000
   0.14328509700348852E-009   0.000000000E+000
   0.14482579697126796E-009   0.000000000E+000
   0.14636649693904741E-009   0.000000000E+000
   0.14790719690682685E-009   0.000000000E+000
   0.14944789687460630E-009   0.000000000E+000
   0.15098859684238575E-009   0.000000000E+000
   0.15252929681016519E-009   0.000000000E+000
   0.15406999677794464E-009   0.000000000E+000
   0.15561069674572409E-009   0.000000000E+000
   0.15715139671350353E-009   0.000000000E+000
   0.15869209668128298E-009   0.000000000E+000
   0.16023279664906243E-009   0.000000000E+000
   0.16177349661684187E-009   0.000000000E+000
   0.16331419658462132E-009   0.000000000E+000
   0.16485489655240076E-009   0.000000000E+000
   0.16639559652018021E-009   0.000000000E+000
   0.16793629648795966E-009   0.000000000E+000
   0.16947699645573910E-009   0.000000000E+000
   0.17101769642351855E-009   0.000000000E+000
   0.17255839639129800E-009   0.000000000E+000
   0.17409909635907744E-009   0.000000000E+000
   0.17563979632685689E-009   0.000000000E+000
   0.17718049629463634E-009   0.000000000E+000
   0.17872119626241578E-009   0.000000000E+000
   0.18026189623019523E-009   0.000000000E+000
   0.18180259619797468E-009   0.000000000E+000
   0.18334329616575412E-009   0.000000000E+000
   0.18488399613353357E-009   0.000000000E+000
   0.18642469610131301E-009   0.000000000E+000
   0.18796539606909246E-009   0.000000000E+000
   0.18950609603687191E-009   0.000000000E+000
   0.19104679600465135E-009   0.000000000E+000
