t              LineCurrent.fdtd_Bulk probe_Jz_9_23_20__10_26_20.dat
   0.00000000000000000E+000   0.000000000E+000
   0.15406999677794464E-011   0.000000000E+000
   0.30813999355588928E-011   0.000000000E+000
   0.46220999033383392E-011   0.000000000E+000
   0.61627998711177856E-011   0.000000000E+000
   0.77034998388972320E-011   0.000000000E+000
   0.92441998066766784E-011   0.000000000E+000
   0.10784899774456125E-010   0.000000000E+000
   0.12325599742235571E-010   0.000000000E+000
   0.13866299710015018E-010   0.000000000E+000
   0.15406999677794464E-010   0.000000000E+000
   0.16947699645573910E-010   0.436340023E-015
   0.18488399613353357E-010   0.807315318E-014
   0.20029099581132803E-010   0.762660741E-013
   0.21569799548912250E-010   0.489248670E-012
   0.23110499516691696E-010   0.239177189E-011
   0.24651199484471142E-010   0.948154142E-011
   0.26191899452250589E-010   0.316733584E-010
   0.27732599420030035E-010   0.914870957E-010
   0.29273299387809482E-010   0.232693864E-009
   0.30813999355588928E-010   0.528143473E-009
   0.32354699323368374E-010   0.108040288E-008
   0.33895399291147821E-010   0.200711692E-008
   0.35436099258927267E-010   0.340601303E-008
   0.36976799226706714E-010   0.530408695E-008
   0.38517499194486160E-010   0.760937979E-008
   0.40058199162265606E-010   0.100942401E-007
   0.41598899130045053E-010   0.124358053E-007
   0.43139599097824499E-010   0.143169991E-007
   0.44680299065603946E-010   0.155556990E-007
   0.46220999033383392E-010   0.162002998E-007
   0.47761699001162838E-010   0.165297998E-007
   0.49302398968942285E-010   0.169369372E-007
   0.50843098936721731E-010   0.177390174E-007
   0.52383798904501178E-010   0.190146814E-007
   0.53924498872280624E-010   0.205659152E-007
   0.55465198840060070E-010   0.220405330E-007
   0.57005898807839517E-010   0.231523725E-007
   0.58546598775618963E-010   0.238667415E-007
   0.60087298743398410E-010   0.244298128E-007
   0.61627998711177856E-010   0.252157601E-007
   0.63168698678957302E-010   0.264864433E-007
   0.64709398646736749E-010   0.282228960E-007
   0.66250098614516195E-010   0.301443848E-007
   0.67790798582295642E-010   0.319037063E-007
   0.69331498550075088E-010   0.333234169E-007
   0.70872198517854534E-010   0.345072344E-007
   0.72412898485633981E-010   0.357499168E-007
   0.73953598453413427E-010   0.373150435E-007
   0.75494298421192874E-010   0.392461210E-007
   0.77034998388972320E-010   0.413496828E-007
   0.78575698356751766E-010   0.433586429E-007
   0.80116398324531213E-010   0.451481448E-007
   0.81657098292310659E-010   0.468383696E-007
   0.83197798260090106E-010   0.487075127E-007
   0.84738498227869552E-010   0.509848057E-007
   0.86279198195648998E-010   0.536840794E-007
