t              Noda2002.fdtd_Point probe_Ex_12_12_2.dat
   0.00000000000000000E+000   0.000000000E+000
   0.95999999616402931E-010   0.000000000E+000
   0.19199999923280586E-009   0.000000000E+000
   0.28799999884920879E-009   0.000000000E+000
   0.38399999846561172E-009   0.000000000E+000
   0.47999999808201466E-009   0.000000000E+000
   0.57599999769841759E-009   0.000000000E+000
   0.67199999731482052E-009   0.000000000E+000
   0.76799999693122345E-009   0.000000000E+000
   0.86399999654762638E-009   0.000000000E+000
   0.95999999616402931E-009   0.000000000E+000
   0.10559999957804322E-008   0.000000000E+000
   0.11519999953968352E-008   0.000000000E+000
   0.12479999950132381E-008   0.000000000E+000
   0.13439999946296410E-008   0.000000000E+000
   0.14399999942460440E-008   0.000000000E+000
   0.15359999938624469E-008   0.000000000E+000
   0.16319999934788498E-008   0.000000000E+000
   0.17279999930952528E-008   0.000000000E+000
   0.18239999927116557E-008   0.000000000E+000
   0.19199999923280586E-008   0.000000000E+000
   0.20159999919444616E-008   0.000000000E+000
   0.21119999915608645E-008   0.000000000E+000
   0.22079999911772674E-008   0.000000000E+000
   0.23039999907936703E-008   0.000000000E+000
   0.23999999904100733E-008   0.000000000E+000
   0.24959999900264762E-008   0.000000000E+000
   0.25919999896428791E-008   0.000000000E+000
   0.26879999892592821E-008   0.000000000E+000
   0.27839999888756850E-008   0.000000000E+000
   0.28799999884920879E-008   0.000000000E+000
   0.29759999881084909E-008   0.000000000E+000
   0.30719999877248938E-008   0.000000000E+000
   0.31679999873412967E-008   0.000000000E+000
   0.32639999869576997E-008   0.000000000E+000
   0.33599999865741026E-008   0.000000000E+000
   0.34559999861905055E-008   0.000000000E+000
   0.35519999858069085E-008   0.000000000E+000
   0.36479999854233114E-008   0.000000000E+000
   0.37439999850397143E-008   0.000000000E+000
   0.38399999846561172E-008   0.000000000E+000
   0.39359999842725202E-008   0.000000000E+000
   0.40319999838889231E-008   0.000000000E+000
   0.41279999835053260E-008   0.000000000E+000
   0.42239999831217290E-008   0.000000000E+000
   0.43199999827381319E-008   0.000000000E+000
   0.44159999823545348E-008   0.000000000E+000
   0.45119999819709378E-008   0.000000000E+000
   0.46079999815873407E-008   0.000000000E+000
   0.47039999812037436E-008   0.000000000E+000
   0.47999999808201466E-008   0.000000000E+000
   0.48959999804365495E-008   0.000000000E+000
   0.49919999800529524E-008   0.000000000E+000
   0.50879999796693554E-008   0.000000000E+000
   0.51839999792857583E-008   0.000000000E+000
   0.52799999789021612E-008   0.000000000E+000
   0.53759999785185641E-008   0.000000000E+000
   0.54719999781349671E-008   0.000000000E+000
   0.55679999777513700E-008   0.000000000E+000
   0.56639999773677729E-008   0.000000000E+000
   0.57599999769841759E-008   0.000000000E+000
   0.58559999766005788E-008   0.000000000E+000
   0.59519999762169817E-008   0.000000000E+000
   0.60479999758333847E-008   0.000000000E+000
   0.61439999754497876E-008   0.000000000E+000
   0.62399999750661905E-008   0.000000000E+000
   0.63359999746825935E-008   0.000000000E+000
   0.64319999742989964E-008   0.000000000E+000
   0.65279999739153993E-008   0.000000000E+000
   0.66239999735318023E-008   0.000000000E+000
   0.67199999731482052E-008   0.000000000E+000
   0.68159999727646081E-008   0.000000000E+000
   0.69119999723810110E-008   0.000000000E+000
   0.70079999719974140E-008   0.000000000E+000
   0.71039999716138169E-008   0.000000000E+000
   0.71999999712302198E-008   0.000000000E+000
   0.72959999708466228E-008   0.000000000E+000
   0.73919999704630257E-008   0.000000000E+000
   0.74879999700794286E-008   0.000000000E+000
   0.75839999696958316E-008   0.000000000E+000
   0.76799999693122345E-008   0.000000000E+000
   0.77759999689286374E-008   0.000000000E+000
   0.78719999685450404E-008   0.000000000E+000
   0.79679999681614433E-008   0.000000000E+000
   0.80639999677778462E-008   0.000000000E+000
   0.81599999673942492E-008   0.000000000E+000
   0.82559999670106521E-008   0.000000000E+000
   0.83519999666270550E-008   0.000000000E+000
   0.84479999662434579E-008   0.000000000E+000
   0.85439999658598609E-008   0.000000000E+000
   0.86399999654762638E-008   0.000000000E+000
   0.87359999650926667E-008   0.000000000E+000
   0.88319999647090697E-008   0.000000000E+000
   0.89279999643254726E-008   0.000000000E+000
   0.90239999639418755E-008   0.000000000E+000
   0.91199999635582785E-008   0.000000000E+000
   0.92159999631746814E-008   0.000000000E+000
   0.93119999627910843E-008   0.000000000E+000
