t              WireAirBox.fdtd_Point probe A_Ex_50_50_25.dat       incid
   0.31429597674437204E-008   0.186536810E-003   0.705462226E-004
   0.31737730984970902E-008   0.129949447E-003   0.374585688E-004
   0.32045864295504600E-008  -0.199752249E-004   0.187612768E-004
   0.32353997606038298E-008  -0.167359089E-003   0.890122283E-005
   0.32662130916571996E-008  -0.207041041E-003   0.401275202E-005
   0.32970264227105694E-008  -0.103489227E-003   0.181515452E-005
   0.33278397537639393E-008   0.755046422E-004   0.874734212E-006
   0.33586530848173091E-008   0.199907285E-003   0.390660830E-006
   0.33894664158706789E-008   0.169070903E-003   0.163514329E-006
   0.34202797469240487E-008  -0.110273104E-004   0.645859473E-007
   0.34510930779774185E-008  -0.224722113E-003   0.258276529E-007
   0.34819064090307883E-008  -0.326111534E-003   0.113420224E-007
   0.35127197400841581E-008  -0.247040734E-003   0.451529614E-008
   0.35435330711375279E-008  -0.535765284E-004   0.166492953E-008
   0.35743464021908977E-008   0.957092270E-004   0.575318071E-009
   0.36051597332442675E-008   0.645280670E-004   0.203185191E-009
   0.36359730642976373E-008  -0.156095324E-003   0.816539336E-010
   0.36667863953510071E-008  -0.433314592E-003   0.289619335E-010
   0.36975997264043770E-008  -0.584768248E-003   0.939469596E-011
   0.37284130574577468E-008  -0.512877188E-003   0.283611763E-011
   0.37592263885111166E-008  -0.280368782E-003   0.883492281E-012
   0.37900397195644864E-008  -0.661874219E-004   0.326372853E-012
   0.38208530506178562E-008  -0.302110420E-004   0.103071008E-012
   0.38516663816712260E-008  -0.187162557E-003   0.000000000E+000
   0.38824797127245958E-008  -0.387790322E-003   0.000000000E+000
   0.39132930437779656E-008  -0.426718616E-003   0.000000000E+000
   0.39441063748313354E-008  -0.198912050E-003   0.000000000E+000
   0.39749197058847052E-008   0.214359956E-003   0.000000000E+000
   0.40057330369380750E-008   0.599168241E-003   0.000000000E+000
   0.40365463679914448E-008   0.765340170E-003   0.000000000E+000
   0.40673596990448146E-008   0.687561580E-003   0.000000000E+000
   0.40981730300981845E-008   0.521264388E-003   0.000000000E+000
   0.41289863611515543E-008   0.477963360E-003   0.000000000E+000
   0.41597996922049241E-008   0.654342351E-003   0.000000000E+000
   0.41906130232582939E-008   0.948402216E-003   0.000000000E+000
   0.42214263543116637E-008   0.113138941E-002   0.000000000E+000
   0.42522396853650335E-008   0.102354959E-002   0.000000000E+000
   0.42830530164184033E-008   0.638334197E-003   0.000000000E+000
   0.43138663474717731E-008   0.180670962E-003   0.000000000E+000
   0.43446796785251429E-008  -0.103060564E-003   0.000000000E+000
   0.43754930095785127E-008  -0.108894143E-003   0.000000000E+000
   0.44063063406318825E-008   0.504173004E-004   0.000000000E+000
   0.44371196716852523E-008   0.140172633E-003   0.000000000E+000
   0.44679330027386222E-008  -0.542087946E-005   0.000000000E+000
   0.44987463337919920E-008  -0.346420158E-003   0.000000000E+000
   0.45295596648453618E-008  -0.663989398E-003   0.000000000E+000
   0.45603729958987316E-008  -0.732163026E-003   0.000000000E+000
   0.45911863269521014E-008  -0.499781687E-003   0.000000000E+000
   0.46219996580054712E-008  -0.137191470E-003   0.000000000E+000
   0.46528129890588410E-008   0.922327745E-004   0.000000000E+000
   0.46836263201122108E-008   0.362990140E-004   0.000000000E+000
   0.47144396511655806E-008  -0.227675468E-003   0.000000000E+000
   0.47452529822189504E-008  -0.455813250E-003   0.000000000E+000
   0.47760663132723202E-008  -0.433592475E-003   0.000000000E+000
   0.48068796443256900E-008  -0.149316649E-003   0.000000000E+000
   0.48376929753790598E-008   0.194102468E-003   0.000000000E+000
   0.48685063064324297E-008   0.339975930E-003   0.000000000E+000
   0.48993196374857995E-008   0.183560056E-003   0.000000000E+000
   0.49301329685391693E-008  -0.142405755E-003   0.000000000E+000
   0.49609462995925391E-008  -0.372204871E-003   0.000000000E+000
   0.49917596306459089E-008  -0.319192186E-003   0.000000000E+000
   0.50225729616992787E-008  -0.257304055E-004   0.000000000E+000
   0.50533862927526485E-008   0.269843440E-003   0.000000000E+000
   0.50841996238060183E-008   0.323815795E-003   0.000000000E+000
   0.51150129548593881E-008   0.832022488E-004   0.000000000E+000
   0.51458262859127579E-008  -0.270046119E-003   0.000000000E+000
   0.51766396169661277E-008  -0.463237695E-003   0.000000000E+000
   0.52074529480194975E-008  -0.350857328E-003   0.000000000E+000
   0.52382662790728673E-008  -0.312429911E-004   0.000000000E+000
   0.52690796101262372E-008   0.232714752E-003   0.000000000E+000
   0.52998929411796070E-008   0.225997632E-003   0.000000000E+000
   0.53307062722329768E-008  -0.441526499E-004   0.000000000E+000
   0.53615196032863466E-008  -0.353774987E-003   0.000000000E+000
   0.53923329343397164E-008  -0.444628589E-003   0.000000000E+000
   0.54231462653930862E-008  -0.235870815E-003   0.000000000E+000
   0.54539595964464560E-008   0.108790249E-003   0.000000000E+000
   0.54847729274998258E-008   0.315328711E-003   0.000000000E+000
   0.55155862585531956E-008   0.225306299E-003   0.000000000E+000
   0.55463995896065654E-008  -0.740490359E-004   0.000000000E+000
   0.55772129206599352E-008  -0.324267545E-003   0.000000000E+000
   0.56080262517133050E-008  -0.311901240E-003   0.000000000E+000
   0.56388395827666749E-008  -0.449384388E-004   0.000000000E+000
   0.56696529138200447E-008   0.257360545E-003   0.000000000E+000
   0.57004662448734145E-008   0.349420880E-003   0.000000000E+000
   0.57312795759267843E-008   0.161735443E-003   0.000000000E+000
   0.57620929069801541E-008  -0.146440187E-003   0.000000000E+000
   0.57929062380335239E-008  -0.321951055E-003   0.000000000E+000
   0.58237195690868937E-008  -0.223970652E-003   0.000000000E+000
   0.58545329001402635E-008   0.661337399E-004   0.000000000E+000
   0.58853462311936333E-008   0.314165547E-003   0.000000000E+000
   0.59161595622470031E-008   0.320684339E-003   0.000000000E+000
   0.59469728933003729E-008   0.779336551E-004   0.000000000E+000
   0.59777862243537427E-008  -0.223622366E-003   0.000000000E+000
   0.60085995554071125E-008  -0.342743850E-003   0.000000000E+000
   0.60394128864604824E-008  -0.177193127E-003   0.000000000E+000
   0.60702262175138522E-008   0.149237763E-003   0.000000000E+000
   0.61010395485672220E-008   0.375256292E-003   0.000000000E+000
   0.61318528796205918E-008   0.307471142E-003   0.000000000E+000
   0.61626662106739616E-008  -0.143781945E-004   0.000000000E+000
   0.61934795417273314E-008  -0.333308883E-003   0.000000000E+000
   0.62242928727807012E-008  -0.377389602E-003   0.000000000E+000
   0.62551062038340710E-008  -0.934949785E-004   0.000000000E+000
   0.62859195348874408E-008   0.289892749E-003   0.000000000E+000
   0.63167328659408106E-008   0.444371457E-003   0.000000000E+000
   0.63475461969941804E-008   0.226357690E-003   0.000000000E+000
   0.63783595280475502E-008  -0.186035031E-003   0.000000000E+000
   0.64091728591009200E-008  -0.438676681E-003   0.000000000E+000
   0.64399861901542899E-008  -0.310607953E-003   0.000000000E+000
   0.64707995212076597E-008   0.887486385E-004   0.000000000E+000
   0.65016128522610295E-008   0.414053618E-003   0.000000000E+000
   0.65324261833143993E-008   0.386902480E-003   0.000000000E+000
   0.65632395143677691E-008   0.373126823E-004   0.000000000E+000
   0.65940528454211389E-008  -0.328115973E-003   0.000000000E+000
   0.66248661764745087E-008  -0.398722448E-003   0.000000000E+000
   0.66556795075278785E-008  -0.128575310E-003   0.000000000E+000
   0.66864928385812483E-008   0.235415879E-003   0.000000000E+000
   0.67173061696346181E-008   0.382970902E-003   0.000000000E+000
   0.67481195006879879E-008   0.211119841E-003   0.000000000E+000
   0.67789328317413577E-008  -0.108038526E-003   0.000000000E+000
   0.68097461627947276E-008  -0.303803245E-003   0.000000000E+000
   0.68405594938480974E-008  -0.241835456E-003   0.000000000E+000
   0.68713728249014672E-008  -0.625067332E-005   0.000000000E+000
   0.69021861559548370E-008   0.206981713E-003   0.000000000E+000
   0.69329994870082068E-008   0.253011036E-003   0.000000000E+000
   0.69638128180615766E-008   0.122370140E-003   0.000000000E+000
   0.69946261491149464E-008  -0.805650925E-004   0.000000000E+000
   0.70254394801683162E-008  -0.216474946E-003   0.000000000E+000
   0.70562528112216860E-008  -0.195947883E-003   0.000000000E+000
   0.70870661422750558E-008  -0.332695199E-004   0.000000000E+000
   0.71178794733284256E-008   0.160017211E-003   0.000000000E+000
   0.71486928043817954E-008   0.244918454E-003   0.000000000E+000
   0.71795061354351652E-008   0.149941508E-003   0.000000000E+000
   0.72103194664885351E-008  -0.687166175E-004   0.000000000E+000
   0.72411327975419049E-008  -0.249801727E-003   0.000000000E+000
   0.72719461285952747E-008  -0.238314344E-003   0.000000000E+000
   0.73027594596486445E-008  -0.205034012E-004   0.000000000E+000
   0.73335727907020143E-008   0.236498876E-003   0.000000000E+000
   0.73643861217553841E-008   0.308601680E-003   0.000000000E+000
   0.73951994528087539E-008   0.115836476E-003   0.000000000E+000
   0.74260127838621237E-008  -0.188113278E-003   0.000000000E+000
   0.74568261149154935E-008  -0.338791229E-003   0.000000000E+000
   0.74876394459688633E-008  -0.194486958E-003   0.000000000E+000
   0.75184527770222331E-008   0.129878375E-003   0.000000000E+000
   0.75492661080756029E-008   0.352499599E-003   0.000000000E+000
   0.75800794391289728E-008   0.268855365E-003   0.000000000E+000
   0.76108927701823426E-008  -0.580034684E-004   0.000000000E+000
   0.76417061012357124E-008  -0.339560502E-003   0.000000000E+000
   0.76725194322890822E-008  -0.317526632E-003   0.000000000E+000
   0.77033327633424520E-008  -0.577655737E-005   0.000000000E+000
   0.77341460943958218E-008   0.315191632E-003   0.000000000E+000
   0.77649594254491916E-008   0.354069431E-003   0.000000000E+000
   0.77957727565025614E-008   0.753386994E-004   0.000000000E+000
   0.78265860875559312E-008  -0.269697048E-003   0.000000000E+000
   0.78573994186093010E-008  -0.370523892E-003   0.000000000E+000
   0.78882127496626708E-008  -0.136200746E-003   0.000000000E+000
   0.79190260807160406E-008   0.222209608E-003   0.000000000E+000
   0.79498394117694104E-008   0.380688231E-003   0.000000000E+000
   0.79806527428227803E-008   0.196129287E-003   0.000000000E+000
   0.80114660738761501E-008  -0.163150165E-003   0.000000000E+000
   0.80422794049295199E-008  -0.372176641E-003   0.000000000E+000
   0.80730927359828897E-008  -0.244743598E-003   0.000000000E+000
   0.81039060670362595E-008   0.102080900E-003   0.000000000E+000
   0.81347193980896293E-008   0.356930745E-003   0.000000000E+000
   0.81655327291429991E-008   0.292458571E-003   0.000000000E+000
   0.81963460601963689E-008  -0.328648603E-004   0.000000000E+000
   0.82271593912497387E-008  -0.326576235E-003   0.000000000E+000
   0.82579727223031085E-008  -0.325359055E-003   0.000000000E+000
   0.82887860533564783E-008  -0.337332895E-004   0.000000000E+000
   0.83195993844098481E-008   0.283418049E-003   0.000000000E+000
   0.83504127154632179E-008   0.345940265E-003   0.000000000E+000
   0.83812260465165878E-008   0.107438682E-003   0.000000000E+000
   0.84120393775699576E-008  -0.216378190E-003   0.000000000E+000
   0.84428527086233274E-008  -0.346760935E-003   0.000000000E+000
   0.84736660396766972E-008  -0.179371302E-003   0.000000000E+000
   0.85044793707300670E-008   0.137476280E-003   0.000000000E+000
   0.85352927017834368E-008   0.334614771E-003   0.000000000E+000
   0.85661060328368066E-008   0.247780117E-003   0.000000000E+000
   0.85969193638901764E-008  -0.474101398E-004   0.000000000E+000
   0.86277326949435462E-008  -0.300600776E-003   0.000000000E+000
   0.86585460259969160E-008  -0.297611899E-003   0.000000000E+000
   0.86893593570502858E-008  -0.415110553E-004   0.000000000E+000
   0.87201726881036556E-008   0.249166478E-003   0.000000000E+000
   0.87509860191570255E-008   0.326811190E-003   0.000000000E+000
   0.87817993502103953E-008   0.127991967E-003   0.000000000E+000
   0.88126126812637651E-008  -0.173833323E-003   0.000000000E+000
   0.88434260123171349E-008  -0.322927488E-003   0.000000000E+000
   0.88742393433705047E-008  -0.201016432E-003   0.000000000E+000
   0.89050526744238745E-008   0.820566202E-004   0.000000000E+000
   0.89358660054772443E-008   0.291293487E-003   0.000000000E+000
   0.89666793365306141E-008   0.260359549E-003   0.000000000E+000
   0.89974926675839839E-008   0.192334701E-004   0.000000000E+000
   0.90283059986373537E-008  -0.233898812E-003   0.000000000E+000
   0.90591193296907235E-008  -0.292062294E-003   0.000000000E+000
   0.90899326607440933E-008  -0.109227069E-003   0.000000000E+000
   0.91207459917974631E-008   0.159874951E-003   0.000000000E+000
   0.91515593228508330E-008   0.291120494E-003   0.000000000E+000
   0.91823726539042028E-008   0.181794574E-003   0.000000000E+000
   0.92131859849575726E-008  -0.685148407E-004   0.000000000E+000
   0.92439993160109424E-008  -0.252258091E-003   0.000000000E+000
   0.92748126470643122E-008  -0.229290497E-003   0.000000000E+000
   0.93056259781176820E-008  -0.302870176E-004   0.000000000E+000
   0.93364393091710518E-008   0.183563025E-003   0.000000000E+000
   0.93672526402244216E-008   0.251651130E-003   0.000000000E+000
   0.93980659712777914E-008   0.128154541E-003   0.000000000E+000
   0.94288793023311612E-008  -0.923125917E-004   0.000000000E+000
   0.94596926333845310E-008  -0.243256392E-003   0.000000000E+000
   0.94905059644379008E-008  -0.205855977E-003   0.000000000E+000
   0.95213192954912707E-008  -0.376299431E-005   0.000000000E+000
   0.95521326265446405E-008   0.205172633E-003   0.000000000E+000
   0.95829459575980103E-008   0.251733669E-003   0.000000000E+000
   0.96137592886513801E-008   0.971134868E-004   0.000000000E+000
   0.96445726197047499E-008  -0.133853464E-003   0.000000000E+000
   0.96753859507581197E-008  -0.257837062E-003   0.000000000E+000
   0.97061992818114895E-008  -0.179898721E-003   0.000000000E+000
   0.97370126128648593E-008   0.386697939E-004   0.000000000E+000
   0.97678259439182291E-008   0.231753758E-003   0.000000000E+000
   0.97986392749715989E-008   0.250435318E-003   0.000000000E+000
   0.98294526060249687E-008   0.722582772E-004   0.000000000E+000
   0.98602659370783385E-008  -0.173418564E-003   0.000000000E+000
   0.98910792681317083E-008  -0.291542325E-003   0.000000000E+000
   0.99218925991850782E-008  -0.173341541E-003   0.000000000E+000
   0.99527059302384480E-008   0.100499805E-003   0.000000000E+000
   0.99835192612918178E-008   0.308839197E-003   0.000000000E+000
   0.10014332592345188E-007   0.272232312E-003   0.000000000E+000
   0.10045145923398557E-007   0.139404146E-004   0.000000000E+000
   0.10075959254451927E-007  -0.252099970E-003   0.000000000E+000
   0.10106772585505297E-007  -0.300804706E-003   0.000000000E+000
   0.10137585916558667E-007  -0.839240820E-004   0.000000000E+000
   0.10168399247612037E-007   0.231150727E-003   0.000000000E+000
