t              WireAirBox.fdtd_Point probe A_Ez_50_50_25.dat       incid
   0.13557865663482715E-008   0.000000000E+000  -0.674808354E-012
   0.13865998974016414E-008   0.000000000E+000  -0.139063197E-011
   0.14174132284550112E-008   0.000000000E+000  -0.271670165E-011
   0.14482265595083810E-008   0.000000000E+000  -0.501228789E-011
   0.14790398905617508E-008   0.000000000E+000  -0.977842026E-011
   0.15098532216151206E-008   0.000000000E+000  -0.186231204E-010
   0.15406665526684904E-008   0.000000000E+000  -0.339499158E-010
   0.15714798837218602E-008   0.000000000E+000  -0.592448937E-010
   0.16022932147752300E-008   0.000000000E+000  -0.990139915E-010
   0.16331065458285998E-008   0.000000000E+000  -0.170069361E-009
   0.16639198768819696E-008   0.000000000E+000  -0.285066581E-009
   0.16947332079353394E-008   0.000000000E+000  -0.460279231E-009
