t              AirBox.fdtd_Point probe B_Ex_50_50_13.dat       incid
   0.13557865663482715E-008   0.885003328E+000   0.854680955E+000
   0.13865998974016414E-008   0.942327142E+000   0.921269536E+000
   0.14174132284550112E-008   0.980306745E+000   0.968485117E+000
   0.14482265595083810E-008   0.996417582E+000   0.991896391E+000
   0.14790398905617508E-008   0.989385843E+000   0.993554115E+000
   0.15098532216151206E-008   0.959365964E+000   0.973572791E+000
   0.15406665526684904E-008   0.908117592E+000   0.932850718E+000
   0.15714798837218602E-008   0.839013636E+000   0.871012032E+000
   0.16022932147752300E-008   0.756709218E+000   0.793296158E+000
   0.16331065458285998E-008   0.666469097E+000   0.706839740E+000
   0.16639198768819696E-008   0.573375642E+000   0.615463376E+000
   0.16947332079353394E-008   0.481748670E+000   0.522866011E+000
   0.17255465389887092E-008   0.394974709E+000   0.433583945E+000
   0.17563598700420791E-008   0.315651029E+000   0.352153987E+000
   0.17871732010954489E-008   0.245747849E+000   0.279322058E+000
   0.18179865321488187E-008   0.186551616E+000   0.215887427E+000
   0.18487998632021885E-008   0.138428837E+000   0.162220582E+000
   0.18796131942555583E-008   0.100685164E+000   0.119465530E+000
   0.19104265253089281E-008   0.717752874E-001   0.867801160E-001
   0.19412398563622979E-008   0.498536751E-001   0.613083057E-001
   0.19720531874156677E-008   0.333664268E-001   0.420108363E-001
   0.20028665184690375E-008   0.213237815E-001   0.278575365E-001
   0.20336798495224073E-008   0.131224878E-001   0.182191674E-001
   0.20644931805757771E-008   0.812860951E-002   0.118726734E-001
   0.20953065116291469E-008   0.540555641E-002   0.747349299E-002
   0.21261198426825167E-008   0.383274816E-002   0.453438563E-002
   0.21569331737358866E-008   0.252014212E-002   0.264776987E-002
   0.21877465047892564E-008   0.116386637E-002   0.153786724E-002
   0.22185598358426262E-008   0.264357077E-004   0.901897030E-003
   0.22493731668959960E-008  -0.467948208E-003   0.505901524E-003
   0.22801864979493658E-008  -0.211361883E-003   0.271402154E-003
   0.23109998290027356E-008   0.414436887E-003   0.139283598E-003
   0.23418131600561054E-008   0.799947768E-003   0.718446026E-004
   0.23726264911094752E-008   0.578804640E-003   0.380426864E-004
   0.24034398221628450E-008  -0.896410784E-004   0.190140527E-004
   0.24342531532162148E-008  -0.665016181E-003   0.900645773E-005
   0.24650664842695846E-008  -0.680519210E-003   0.405493711E-005
   0.24958798153229544E-008  -0.131803681E-003   0.185749309E-005
   0.25266931463763243E-008   0.520780683E-003   0.891057255E-006
   0.25575064774296941E-008   0.735892681E-003   0.396717127E-006
   0.25883198084830639E-008   0.339903025E-003   0.165677008E-006
   0.26191331395364337E-008  -0.332556927E-003   0.653293029E-007
   0.26499464705898035E-008  -0.720958109E-003   0.265743694E-007
   0.26807598016431733E-008  -0.506418990E-003   0.115891421E-007
   0.27115731326965431E-008   0.125763123E-003   0.459402560E-008
   0.27423864637499129E-008   0.645290129E-003   0.168907677E-008
   0.27731997948032827E-008   0.621583080E-003   0.582448645E-009
   0.28040131258566525E-008   0.810915953E-004   0.210357565E-009
   0.28348264569100223E-008  -0.519728404E-003   0.836936839E-010
   0.28656397879633921E-008  -0.679564197E-003   0.295206845E-010
   0.28964531190167619E-008  -0.270762510E-003   0.954202169E-011
   0.29272664500701318E-008   0.358388264E-003   0.287352347E-011
   0.29580797811235016E-008   0.679803314E-003   0.921128408E-012
   0.29888931121768714E-008   0.428699277E-003   0.335580820E-012
   0.30197064432302412E-008  -0.178197311E-003   0.105238829E-012
   0.30505197742836110E-008  -0.629428308E-003   0.000000000E+000
   0.30813331053369808E-008  -0.550062512E-003   0.000000000E+000
   0.31121464363903506E-008  -0.139452750E-004   0.000000000E+000
   0.31429597674437204E-008   0.523208932E-003   0.000000000E+000
   0.31737730984970902E-008   0.609791081E-003   0.000000000E+000
   0.32045864295504600E-008   0.176523143E-003   0.000000000E+000
   0.32353997606038298E-008  -0.410015433E-003   0.000000000E+000
   0.32662130916571996E-008  -0.659960089E-003   0.000000000E+000
   0.32970264227105694E-008  -0.372705166E-003   0.000000000E+000
   0.33278397537639393E-008   0.197853660E-003   0.000000000E+000
   0.33586530848173091E-008   0.561484252E-003   0.000000000E+000
   0.33894664158706789E-008   0.405958504E-003   0.000000000E+000
   0.34202797469240487E-008  -0.142515521E-003   0.000000000E+000
   0.34510930779774185E-008  -0.629945542E-003   0.000000000E+000
   0.34819064090307883E-008  -0.659366313E-003   0.000000000E+000
   0.35127197400841581E-008  -0.223390089E-003   0.000000000E+000
   0.35435330711375279E-008   0.294666126E-003   0.000000000E+000
   0.35743464021908977E-008   0.448617327E-003   0.000000000E+000
   0.36051597332442675E-008   0.106957566E-003   0.000000000E+000
   0.36359730642976373E-008  -0.438241812E-003   0.000000000E+000
   0.36667863953510071E-008  -0.720194133E-003   0.000000000E+000
   0.36975997264043770E-008  -0.491067651E-003   0.000000000E+000
   0.37284130574577468E-008   0.723403646E-004   0.000000000E+000
   0.37592263885111166E-008   0.522153568E-003   0.000000000E+000
   0.37900397195644864E-008   0.519153313E-003   0.000000000E+000
   0.38208530506178562E-008   0.116390671E-003   0.000000000E+000
   0.38516663816712260E-008  -0.291493576E-003   0.000000000E+000
   0.38824797127245958E-008  -0.307277689E-003   0.000000000E+000
   0.39132930437779656E-008   0.130238623E-003   0.000000000E+000
   0.39441063748313354E-008   0.693855109E-003   0.000000000E+000
   0.39749197058847052E-008   0.943695195E-003   0.000000000E+000
   0.40057330369380750E-008   0.695847615E-003   0.000000000E+000
   0.40365463679914448E-008   0.172534259E-003   0.000000000E+000
   0.40673596990448146E-008  -0.190464925E-003   0.000000000E+000
   0.40981730300981845E-008  -0.113219219E-003   0.000000000E+000
   0.41289863611515543E-008   0.295491860E-003   0.000000000E+000
   0.41597996922049241E-008   0.636888552E-003   0.000000000E+000
   0.41906130232582939E-008   0.565682771E-003   0.000000000E+000
   0.42214263543116637E-008   0.856683473E-004   0.000000000E+000
   0.42522396853650335E-008  -0.452135224E-003   0.000000000E+000
   0.42830530164184033E-008  -0.644871732E-003   0.000000000E+000
   0.43138663474717731E-008  -0.375027797E-003   0.000000000E+000
   0.43446796785251429E-008   0.952999399E-004   0.000000000E+000
   0.43754930095785127E-008   0.350046321E-003   0.000000000E+000
   0.44063063406318825E-008   0.171074396E-003   0.000000000E+000
   0.44371196716852523E-008  -0.281763496E-003   0.000000000E+000
   0.44679330027386222E-008  -0.612225733E-003   0.000000000E+000
   0.44987463337919920E-008  -0.527547381E-003   0.000000000E+000
   0.45295596648453618E-008  -0.869890791E-004   0.000000000E+000
   0.45603729958987316E-008   0.350303802E-003   0.000000000E+000
   0.45911863269521014E-008   0.431016902E-003   0.000000000E+000
   0.46219996580054712E-008   0.105656713E-003   0.000000000E+000
   0.46528129890588410E-008  -0.333418604E-003   0.000000000E+000
   0.46836263201122108E-008  -0.503508549E-003   0.000000000E+000
   0.47144396511655806E-008  -0.256615866E-003   0.000000000E+000
   0.47452529822189504E-008   0.198078109E-003   0.000000000E+000
   0.47760663132723202E-008   0.475876790E-003   0.000000000E+000
   0.48068796443256900E-008   0.345054170E-003   0.000000000E+000
   0.48376929753790598E-008  -0.780455302E-004   0.000000000E+000
   0.48685063064324297E-008  -0.431506021E-003   0.000000000E+000
   0.48993196374857995E-008  -0.417907053E-003   0.000000000E+000
   0.49301329685391693E-008  -0.564824732E-004   0.000000000E+000
   0.49609462995925391E-008   0.336466153E-003   0.000000000E+000
   0.49917596306459089E-008   0.419793156E-003   0.000000000E+000
   0.50225729616992787E-008   0.118588941E-003   0.000000000E+000
   0.50533862927526485E-008  -0.313691184E-003   0.000000000E+000
   0.50841996238060183E-008  -0.513083418E-003   0.000000000E+000
   0.51150129548593881E-008  -0.315542333E-003   0.000000000E+000
   0.51458262859127579E-008   0.104778301E-003   0.000000000E+000
   0.51766396169661277E-008   0.386062980E-003   0.000000000E+000
   0.52074529480194975E-008   0.288643787E-003   0.000000000E+000
   0.52382662790728673E-008  -0.100553472E-003   0.000000000E+000
   0.52690796101262372E-008  -0.443239172E-003   0.000000000E+000
   0.52998929411796070E-008  -0.440208358E-003   0.000000000E+000
   0.53307062722329768E-008  -0.885248883E-004   0.000000000E+000
   0.53615196032863466E-008   0.315092242E-003   0.000000000E+000
   0.53923329343397164E-008   0.428359228E-003   0.000000000E+000
   0.54231462653930862E-008   0.157702365E-003   0.000000000E+000
   0.54539595964464560E-008  -0.260230532E-003   0.000000000E+000
   0.54847729274998258E-008  -0.461194053E-003   0.000000000E+000
   0.55155862585531956E-008  -0.267029915E-003   0.000000000E+000
   0.55463995896065654E-008   0.159720774E-003   0.000000000E+000
   0.55772129206599352E-008   0.454562629E-003   0.000000000E+000
   0.56080262517133050E-008   0.364319305E-003   0.000000000E+000
   0.56388395827666749E-008  -0.350236951E-004   0.000000000E+000
   0.56696529138200447E-008  -0.403192505E-003   0.000000000E+000
   0.57004662448734145E-008  -0.426292914E-003   0.000000000E+000
   0.57312795759267843E-008  -0.833827362E-004   0.000000000E+000
   0.57620929069801541E-008   0.337140897E-003   0.000000000E+000
   0.57929062380335239E-008   0.481775845E-003   0.000000000E+000
   0.58237195690868937E-008   0.228031742E-003   0.000000000E+000
   0.58545329001402635E-008  -0.214718195E-003   0.000000000E+000
   0.58853462311936333E-008  -0.479622133E-003   0.000000000E+000
   0.59161595622470031E-008  -0.344979751E-003   0.000000000E+000
   0.59469728933003729E-008   0.827932381E-004   0.000000000E+000
   0.59777862243537427E-008   0.453671033E-003   0.000000000E+000
   0.60085995554071125E-008   0.458276045E-003   0.000000000E+000
   0.60394128864604824E-008   0.837899861E-004   0.000000000E+000
   0.60702262175138522E-008  -0.367386150E-003   0.000000000E+000
   0.61010395485672220E-008  -0.518977467E-003   0.000000000E+000
   0.61318528796205918E-008  -0.233397179E-003   0.000000000E+000
   0.61626662106739616E-008   0.261877372E-003   0.000000000E+000
   0.61934795417273314E-008   0.551360543E-003   0.000000000E+000
   0.62242928727807012E-008   0.379539211E-003   0.000000000E+000
   0.62551062038340710E-008  -0.120228797E-003   0.000000000E+000
   0.62859195348874408E-008  -0.524389732E-003   0.000000000E+000
   0.63167328659408106E-008  -0.479220413E-003   0.000000000E+000
   0.63475461969941804E-008  -0.158378389E-004   0.000000000E+000
   0.63783595280475502E-008   0.466098340E-003   0.000000000E+000
   0.64091728591009200E-008   0.545600546E-003   0.000000000E+000
   0.64399861901542899E-008   0.154053181E-003   0.000000000E+000
   0.64707995212076597E-008  -0.362909370E-003   0.000000000E+000
   0.65016128522610295E-008  -0.553656020E-003   0.000000000E+000
   0.65324261833143993E-008  -0.260289002E-003   0.000000000E+000
   0.65632395143677691E-008   0.248845725E-003   0.000000000E+000
   0.65940528454211389E-008   0.526134158E-003   0.000000000E+000
   0.66248661764745087E-008   0.342418702E-003   0.000000000E+000
   0.66556795075278785E-008  -0.121100398E-003   0.000000000E+000
   0.66864928385812483E-008  -0.450482592E-003   0.000000000E+000
   0.67173061696346181E-008  -0.374223629E-003   0.000000000E+000
   0.67481195006879879E-008   0.944550266E-005   0.000000000E+000
   0.67789328317413577E-008   0.349297188E-003   0.000000000E+000
   0.68097461627947276E-008   0.369698973E-003   0.000000000E+000
   0.68405594938480974E-008   0.944242347E-004   0.000000000E+000
   0.68713728249014672E-008  -0.217949419E-003   0.000000000E+000
   0.69021861559548370E-008  -0.321954547E-003   0.000000000E+000
   0.69329994870082068E-008  -0.171815380E-003   0.000000000E+000
   0.69638128180615766E-008   0.859403372E-004   0.000000000E+000
   0.69946261491149464E-008   0.254668092E-003   0.000000000E+000
   0.70254394801683162E-008   0.228178746E-003   0.000000000E+000
   0.70562528112216860E-008   0.434737012E-004   0.000000000E+000
   0.70870661422750558E-008  -0.161855482E-003   0.000000000E+000
   0.71178794733284256E-008  -0.245741161E-003   0.000000000E+000
   0.71486928043817954E-008  -0.151233951E-003   0.000000000E+000
   0.71795061354351652E-008   0.587796239E-004   0.000000000E+000
   0.72103194664885351E-008   0.237247092E-003   0.000000000E+000
   0.72411327975419049E-008   0.244364666E-003   0.000000000E+000
   0.72719461285952747E-008   0.536762964E-004   0.000000000E+000
   0.73027594596486445E-008  -0.201041330E-003   0.000000000E+000
   0.73335727907020143E-008  -0.307142356E-003   0.000000000E+000
   0.73643861217553841E-008  -0.152738139E-003   0.000000000E+000
   0.73951994528087539E-008   0.150444408E-003   0.000000000E+000
   0.74260127838621237E-008   0.341932202E-003   0.000000000E+000
   0.74568261149154935E-008   0.241129514E-003   0.000000000E+000
   0.74876394459688633E-008  -0.794162333E-004   0.000000000E+000
   0.75184527770222331E-008  -0.344145257E-003   0.000000000E+000
   0.75492661080756029E-008  -0.311976357E-003   0.000000000E+000
   0.75800794391289728E-008   0.352668576E-005   0.000000000E+000
   0.76108927701823426E-008   0.329659582E-003   0.000000000E+000
   0.76417061012357124E-008   0.368306122E-003   0.000000000E+000
   0.76725194322890822E-008   0.727233710E-004   0.000000000E+000
   0.77033327633424520E-008  -0.294509955E-003   0.000000000E+000
   0.77341460943958218E-008  -0.396913383E-003   0.000000000E+000
   0.77649594254491916E-008  -0.138647243E-003   0.000000000E+000
   0.77957727565025614E-008   0.244695490E-003   0.000000000E+000
   0.78265860875559312E-008   0.404977938E-003   0.000000000E+000
   0.78573994186093010E-008   0.199993665E-003   0.000000000E+000
   0.78882127496626708E-008  -0.181159499E-003   0.000000000E+000
   0.79190260807160406E-008  -0.392958464E-003   0.000000000E+000
   0.79498394117694104E-008  -0.247156655E-003   0.000000000E+000
   0.79806527428227803E-008   0.118182041E-003   0.000000000E+000
   0.80114660738761501E-008   0.368805195E-003   0.000000000E+000
   0.80422794049295199E-008   0.282479596E-003   0.000000000E+000
   0.80730927359828897E-008  -0.528283999E-004   0.000000000E+000
   0.81039060670362595E-008  -0.329426402E-003   0.000000000E+000
   0.81347193980896293E-008  -0.303387555E-003   0.000000000E+000
   0.81655327291429991E-008  -0.829042983E-005   0.000000000E+000
   0.81963460601963689E-008   0.284413371E-003   0.000000000E+000
   0.82271593912497387E-008   0.313813536E-003   0.000000000E+000
   0.82579727223031085E-008   0.631225994E-004   0.000000000E+000
   0.82887860533564783E-008  -0.231817452E-003   0.000000000E+000
   0.83195993844098481E-008  -0.305581547E-003   0.000000000E+000
   0.83504127154632179E-008  -0.105333776E-003   0.000000000E+000
   0.83812260465165878E-008   0.174999557E-003   0.000000000E+000
   0.84120393775699576E-008   0.285562506E-003   0.000000000E+000
   0.84428527086233274E-008   0.142825651E-003   0.000000000E+000
   0.84736660396766972E-008  -0.113772199E-003   0.000000000E+000
   0.85044793707300670E-008  -0.257898588E-003   0.000000000E+000
   0.85352927017834368E-008  -0.172369721E-003   0.000000000E+000
   0.85661060328368066E-008   0.582627399E-004   0.000000000E+000
   0.85969193638901764E-008   0.228469071E-003   0.000000000E+000
   0.86277326949435462E-008   0.193215586E-003   0.000000000E+000
   0.86585460259969160E-008  -0.787893077E-005   0.000000000E+000
   0.86893593570502858E-008  -0.192060397E-003   0.000000000E+000
   0.87201726881036556E-008  -0.199886868E-003   0.000000000E+000
   0.87509860191570255E-008  -0.341616105E-004   0.000000000E+000
   0.87817993502103953E-008   0.151290689E-003   0.000000000E+000
   0.88126126812637651E-008   0.195481509E-003   0.000000000E+000
   0.88434260123171349E-008   0.705902203E-004   0.000000000E+000
   0.88742393433705047E-008  -0.105329571E-003   0.000000000E+000
   0.89050526744238745E-008  -0.181639713E-003   0.000000000E+000
   0.89358660054772443E-008  -0.102217469E-003   0.000000000E+000
   0.89666793365306141E-008   0.589495467E-004   0.000000000E+000
   0.89974926675839839E-008   0.166389276E-003   0.000000000E+000
   0.90283059986373537E-008   0.132208937E-003   0.000000000E+000
   0.90591193296907235E-008  -0.141693308E-004   0.000000000E+000
   0.90899326607440933E-008  -0.147764484E-003   0.000000000E+000
   0.91207459917974631E-008  -0.152352499E-003   0.000000000E+000
   0.91515593228508330E-008  -0.243401737E-004   0.000000000E+000
   0.91823726539042028E-008   0.122097350E-003   0.000000000E+000
   0.92131859849575726E-008   0.159385323E-003   0.000000000E+000
   0.92439993160109424E-008   0.606249596E-004   0.000000000E+000
   0.92748126470643122E-008  -0.840529610E-004   0.000000000E+000
   0.93056259781176820E-008  -0.153657893E-003   0.000000000E+000
   0.93364393091710518E-008  -0.964880310E-004   0.000000000E+000
   0.93672526402244216E-008   0.376902026E-004   0.000000000E+000
   0.93980659712777914E-008   0.142701785E-003   0.000000000E+000
   0.94288793023311612E-008   0.134518457E-003   0.000000000E+000
   0.94596926333845310E-008   0.135850278E-004   0.000000000E+000
   0.94905059644379008E-008  -0.127313091E-003   0.000000000E+000
   0.95213192954912707E-008  -0.167488397E-003   0.000000000E+000
   0.95521326265446405E-008  -0.619210332E-004   0.000000000E+000
   0.95829459575980103E-008   0.105376545E-003   0.000000000E+000
   0.96137592886513801E-008   0.186235236E-003   0.000000000E+000
   0.96445726197047499E-008   0.104754334E-003   0.000000000E+000
   0.96753859507581197E-008  -0.687405991E-004   0.000000000E+000
   0.97061992818114895E-008  -0.182877062E-003   0.000000000E+000
   0.97370126128648593E-008  -0.142056626E-003   0.000000000E+000
   0.97678259439182291E-008   0.164662488E-004   0.000000000E+000
   0.97986392749715989E-008   0.162321099E-003   0.000000000E+000
   0.98294526060249687E-008   0.178175265E-003   0.000000000E+000
   0.98602659370783385E-008   0.474047411E-004   0.000000000E+000
   0.98910792681317083E-008  -0.130873188E-003   0.000000000E+000
   0.99218925991850782E-008  -0.210298254E-003   0.000000000E+000
   0.99527059302384480E-008  -0.113169655E-003   0.000000000E+000
   0.99835192612918178E-008   0.914192133E-004   0.000000000E+000
   0.10014332592345188E-007   0.229770900E-003   0.000000000E+000
   0.10045145923398557E-007   0.172449276E-003   0.000000000E+000
   0.10075959254451927E-007  -0.403408485E-004   0.000000000E+000
   0.10106772585505297E-007  -0.225288051E-003   0.000000000E+000
   0.10137585916558667E-007  -0.218848785E-003   0.000000000E+000
   0.10168399247612037E-007  -0.236105407E-004   0.000000000E+000
   0.10199212578665406E-007   0.195636283E-003   0.000000000E+000
   0.10230025909718776E-007   0.254078215E-003   0.000000000E+000
   0.10260839240772146E-007   0.993957219E-004   0.000000000E+000
   0.10291652571825516E-007  -0.145731989E-003   0.000000000E+000
   0.10322465902878886E-007  -0.278674182E-003   0.000000000E+000
   0.10353279233932255E-007  -0.179291557E-003   0.000000000E+000
   0.10384092564985625E-007   0.823535956E-004   0.000000000E+000
   0.10414905896038995E-007   0.288993790E-003   0.000000000E+000
   0.10445719227092365E-007   0.254290382E-003   0.000000000E+000
   0.10476532558145735E-007  -0.669341534E-005   0.000000000E+000
   0.10507345889199105E-007  -0.274928374E-003   0.000000000E+000
   0.10538159220252474E-007  -0.312756601E-003   0.000000000E+000
   0.10568972551305844E-007  -0.774525543E-004   0.000000000E+000
   0.10599785882359214E-007   0.233774525E-003   0.000000000E+000
   0.10630599213412584E-007   0.352286035E-003   0.000000000E+000
   0.10661412544465954E-007   0.170846979E-003   0.000000000E+000
   0.10692225875519323E-007  -0.161890537E-003   0.000000000E+000
   0.10723039206572693E-007  -0.363775354E-003   0.000000000E+000
   0.10753852537626063E-007  -0.255444844E-003   0.000000000E+000
   0.10784665868679433E-007   0.836323597E-004   0.000000000E+000
   0.10815479199732803E-007   0.371616974E-003   0.000000000E+000
   0.10846292530786172E-007   0.357131852E-003   0.000000000E+000
   0.10877105861839542E-007   0.407256885E-004   0.000000000E+000
   0.10907919192892912E-007  -0.310238858E-003   0.000000000E+000
   0.10938732523946282E-007  -0.383435166E-003   0.000000000E+000
   0.10969545854999652E-007  -0.979578472E-004   0.000000000E+000
   0.11000359186053021E-007   0.312586519E-003   0.000000000E+000
   0.11031172517106391E-007   0.496691850E-003   0.000000000E+000
   0.11061985848159761E-007   0.293803430E-003   0.000000000E+000
   0.11092799179213131E-007  -0.120483543E-003   0.000000000E+000
   0.11123612510266501E-007  -0.384270301E-003   0.000000000E+000
   0.11154425841319870E-007  -0.262530782E-003   0.000000000E+000
   0.11185239172373240E-007   0.148436084E-003   0.000000000E+000
   0.11216052503426610E-007   0.498676673E-003   0.000000000E+000
   0.11246865834479980E-007   0.478263129E-003   0.000000000E+000
   0.11277679165533350E-007   0.826242322E-004   0.000000000E+000
   0.11308492496586720E-007  -0.374329044E-003   0.000000000E+000
   0.11339305827640089E-007  -0.520416535E-003   0.000000000E+000
   0.11370119158693459E-007  -0.248382159E-003   0.000000000E+000
   0.11400932489746829E-007   0.178368035E-003   0.000000000E+000
   0.11431745820800199E-007   0.345883716E-003   0.000000000E+000
   0.11462559151853569E-007   0.557696912E-004   0.000000000E+000
   0.11493372482906938E-007  -0.488884107E-003   0.000000000E+000
   0.11524185813960308E-007  -0.853051199E-003   0.000000000E+000
   0.11554999145013678E-007  -0.747522339E-003   0.000000000E+000
   0.11585812476067048E-007  -0.277552026E-003   0.000000000E+000
   0.11616625807120418E-007   0.153927976E-003   0.000000000E+000
   0.11647439138173787E-007   0.196300985E-003   0.000000000E+000
   0.11678252469227157E-007  -0.149347718E-003   0.000000000E+000
   0.11709065800280527E-007  -0.531104801E-003   0.000000000E+000
   0.11739879131333897E-007  -0.544483308E-003   0.000000000E+000
   0.11770692462387267E-007  -0.824046729E-004   0.000000000E+000
   0.11801505793440636E-007   0.556984334E-003   0.000000000E+000
   0.11832319124494006E-007   0.908132177E-003   0.000000000E+000
   0.11863132455547376E-007   0.732320477E-003   0.000000000E+000
   0.11893945786600746E-007   0.227286539E-003   0.000000000E+000
   0.11924759117654116E-007  -0.143635756E-003   0.000000000E+000
   0.11955572448707485E-007  -0.606200483E-004   0.000000000E+000
   0.11986385779760855E-007   0.370812340E-003   0.000000000E+000
   0.12017199110814225E-007   0.718501280E-003   0.000000000E+000
   0.12048012441867595E-007   0.610137882E-003   0.000000000E+000
   0.12078825772920965E-007   0.625721295E-004   0.000000000E+000
   0.12109639103974335E-007  -0.527094584E-003   0.000000000E+000
   0.12140452435027704E-007  -0.711605186E-003   0.000000000E+000
   0.12171265766081074E-007  -0.364455685E-003   0.000000000E+000
   0.12202079097134444E-007   0.214065250E-003   0.000000000E+000
   0.12232892428187814E-007   0.545333372E-003   0.000000000E+000
   0.12263705759241184E-007   0.375040632E-003   0.000000000E+000
   0.12294519090294553E-007  -0.109200773E-003   0.000000000E+000
   0.12325332421347923E-007  -0.442497054E-003   0.000000000E+000
   0.12356145752401293E-007  -0.297148828E-003   0.000000000E+000
   0.12386959083454663E-007   0.218825240E-003   0.000000000E+000
   0.12417772414508033E-007   0.651465263E-003   0.000000000E+000
   0.12448585745561402E-007   0.600251078E-003   0.000000000E+000
   0.12479399076614772E-007   0.685931300E-004   0.000000000E+000
   0.12510212407668142E-007  -0.539474189E-003   0.000000000E+000
   0.12541025738721512E-007  -0.760811614E-003   0.000000000E+000
   0.12571839069774882E-007  -0.454393070E-003   0.000000000E+000
   0.12602652400828251E-007   0.907334907E-004   0.000000000E+000
   0.12633465731881621E-007   0.401209516E-003   0.000000000E+000
   0.12664279062934991E-007   0.217250359E-003   0.000000000E+000
   0.12695092393988361E-007  -0.284226029E-003   0.000000000E+000
   0.12725905725041731E-007  -0.637714867E-003   0.000000000E+000
   0.12756719056095100E-007  -0.496834982E-003   0.000000000E+000
   0.12787532387148470E-007   0.509356614E-004   0.000000000E+000
   0.12818345718201840E-007   0.552549900E-003   0.000000000E+000
   0.12849159049255210E-007   0.587818038E-003   0.000000000E+000
   0.12879972380308580E-007   0.137175259E-003   0.000000000E+000
   0.12910785711361950E-007  -0.409675180E-003   0.000000000E+000
   0.12941599042415319E-007  -0.596094585E-003   0.000000000E+000
   0.12972412373468689E-007  -0.279427710E-003   0.000000000E+000
   0.13003225704522059E-007   0.264859380E-003   0.000000000E+000
   0.13034039035575429E-007   0.579825137E-003   0.000000000E+000
   0.13064852366628799E-007   0.403599319E-003   0.000000000E+000
   0.13095665697682168E-007  -0.110855355E-003   0.000000000E+000
   0.13126479028735538E-007  -0.514910906E-003   0.000000000E+000
   0.13157292359788908E-007  -0.444197707E-003   0.000000000E+000
   0.13188105690842278E-007   0.541333866E-004   0.000000000E+000
   0.13218919021895648E-007   0.549703138E-003   0.000000000E+000
   0.13249732352949017E-007   0.608694390E-003   0.000000000E+000
   0.13280545684002387E-007   0.182147574E-003   0.000000000E+000
   0.13311359015055757E-007  -0.357916899E-003   0.000000000E+000
   0.13342172346109127E-007  -0.556784624E-003   0.000000000E+000
   0.13372985677162497E-007  -0.266720628E-003   0.000000000E+000
   0.13403799008215866E-007   0.248860597E-003   0.000000000E+000
   0.13434612339269236E-007   0.551510835E-003   0.000000000E+000
   0.13465425670322606E-007   0.385074527E-003   0.000000000E+000
   0.13496239001375976E-007  -0.122601399E-003   0.000000000E+000
   0.13527052332429346E-007  -0.558045576E-003   0.000000000E+000
   0.13557865663482715E-007  -0.555128150E-003   0.000000000E+000
   0.13588678994536085E-007  -0.111323985E-003   0.000000000E+000
   0.13619492325589455E-007   0.391585199E-003   0.000000000E+000
