t              AirBox.fdtd_Point probe B_Ez_50_50_13.dat       incid
   0.13249732352949017E-008   0.000000000E+000  -0.297523357E-007
   0.13557865663482715E-008   0.000000000E+000  -0.336039676E-007
   0.13865998974016414E-008   0.000000000E+000  -0.371089826E-007
   0.14174132284550112E-008   0.000000000E+000  -0.400996214E-007
   0.14482265595083810E-008   0.000000000E+000  -0.421634887E-007
   0.14790398905617508E-008   0.000000000E+000  -0.432847251E-007
   0.15098532216151206E-008   0.000000000E+000  -0.434629328E-007
   0.15406665526684904E-008  -0.642466351E-035  -0.426916493E-007
   0.15714798837218602E-008  -0.105310851E-033  -0.409993071E-007
   0.16022932147752300E-008  -0.117133604E-032  -0.382962426E-007
   0.16331065458285998E-008  -0.107433895E-031  -0.349641027E-007
   0.16639198768819696E-008  -0.853483895E-031  -0.312226760E-007
   0.16947332079353394E-008  -0.601068912E-030  -0.272387073E-007
   0.17255465389887092E-008  -0.381317992E-029  -0.231773054E-007
   0.17563598700420791E-008  -0.220618510E-028  -0.192746761E-007
   0.17871732010954489E-008  -0.117558848E-027  -0.156833178E-007
   0.18179865321488187E-008  -0.581561606E-027  -0.124567876E-007
   0.18487998632021885E-008  -0.268863325E-026  -0.963681579E-008
   0.18796131942555583E-008  -0.116807928E-025  -0.724514315E-008
   0.19104265253089281E-008  -0.479150786E-025  -0.537625322E-008
   0.19412398563622979E-008  -0.186340015E-024  -0.390680732E-008
   0.19720531874156677E-008  -0.689488590E-024  -0.275977508E-008
   0.20028665184690375E-008  -0.243505781E-023  -0.189019578E-008
   0.20336798495224073E-008  -0.823154898E-023  -0.125246269E-008
   0.20644931805757771E-008  -0.267025819E-022  -0.831156199E-009
   0.20953065116291469E-008  -0.833172169E-022  -0.540506306E-009
   0.21261198426825167E-008  -0.250583976E-021  -0.339476475E-009
   0.21569331737358866E-008  -0.727890313E-021  -0.205509415E-009
   0.21877465047892564E-008  -0.204583293E-020  -0.119741758E-009
   0.22185598358426262E-008  -0.557329013E-020  -0.712263651E-010
   0.22493731668959960E-008  -0.147397656E-019  -0.415322221E-010
   0.22801864979493658E-008  -0.379023786E-019  -0.231814394E-010
   0.23109998290027356E-008  -0.948989743E-019  -0.123831171E-010
   0.23418131600561054E-008  -0.231666355E-018  -0.633157112E-011
   0.23726264911094752E-008  -0.552108421E-018  -0.338371844E-011
   0.24034398221628450E-008  -0.128607374E-017  -0.177243441E-011
   0.24342531532162148E-008  -0.293139574E-017  -0.878572117E-012
   0.24650664842695846E-008  -0.654488503E-017  -0.413456135E-012
   0.24958798153229544E-008  -0.143259294E-016  -0.185174372E-012
   0.25266931463763243E-008  -0.307764392E-016  -0.891210391E-013
   0.25575064774296941E-008  -0.649587185E-016  -0.420085753E-013
   0.25883198084830639E-008  -0.405509272E-010  -0.184773224E-013
   0.26191331395364337E-008  -0.170654241E-009  -0.764820776E-014
   0.26499464705898035E-008  -0.424115049E-009  -0.299544604E-014
   0.26807598016431733E-008  -0.966167590E-009  -0.130141382E-014
   0.27115731326965431E-008  -0.222898056E-008  -0.552901392E-015
   0.27423864637499129E-008  -0.475322359E-008  -0.215588546E-015
   0.27731997948032827E-008  -0.931114563E-008  -0.783706977E-016
   0.28040131258566525E-008  -0.171774204E-007  -0.268021126E-016
   0.28348264569100223E-008  -0.305995229E-007  -0.105373769E-016
   0.28656397879633921E-008  -0.530109716E-007  -0.404065901E-017
   0.28964531190167619E-008  -0.889342786E-007  -0.139523418E-017
   0.29272664500701318E-008  -0.145029034E-006  -0.444785769E-018
   0.29580797811235016E-008  -0.230883415E-006  -0.132649100E-018
   0.29888931121768714E-008  -0.359804289E-006  -0.473072089E-019
   0.30197064432302412E-008  -0.549141873E-006  -0.163941656E-019
   0.30505197742836110E-008  -0.820713524E-006  -0.500724979E-020
   0.30813331053369808E-008  -0.120167397E-005   0.000000000E+000
   0.31121464363903506E-008  -0.172499517E-005   0.000000000E+000
   0.31429597674437204E-008  -0.242824149E-005   0.000000000E+000
   0.31737730984970902E-008  -0.335123377E-005   0.000000000E+000
   0.32045864295504600E-008  -0.453336861E-005   0.000000000E+000
   0.32353997606038298E-008  -0.600922976E-005   0.000000000E+000
   0.32662130916571996E-008  -0.779972834E-005   0.000000000E+000
   0.32970264227105694E-008  -0.989746422E-005   0.000000000E+000
   0.33278397537639393E-008  -0.122494912E-004   0.000000000E+000
   0.33586530848173091E-008  -0.147419523E-004   0.000000000E+000
   0.33894664158706789E-008  -0.171915653E-004   0.000000000E+000
   0.34202797469240487E-008  -0.193438955E-004   0.000000000E+000
   0.34510930779774185E-008  -0.208778420E-004   0.000000000E+000
   0.34819064090307883E-008  -0.214154225E-004   0.000000000E+000
   0.35127197400841581E-008  -0.205405795E-004   0.000000000E+000
   0.35435330711375279E-008  -0.178334540E-004   0.000000000E+000
   0.35743464021908977E-008  -0.129244809E-004   0.000000000E+000
   0.36051597332442675E-008  -0.556780151E-005   0.000000000E+000
   0.36359730642976373E-008   0.427442910E-005   0.000000000E+000
   0.36667863953510071E-008   0.163520854E-004   0.000000000E+000
   0.36975997264043770E-008   0.300755128E-004   0.000000000E+000
   0.37284130574577468E-008   0.445143341E-004   0.000000000E+000
   0.37592263885111166E-008   0.584502050E-004   0.000000000E+000
   0.37900397195644864E-008   0.704691556E-004   0.000000000E+000
   0.38208530506178562E-008   0.790839840E-004   0.000000000E+000
   0.38516663816712260E-008   0.828968186E-004   0.000000000E+000
   0.38824797127245958E-008   0.808077457E-004   0.000000000E+000
   0.39132930437779656E-008   0.722382829E-004   0.000000000E+000
   0.39441063748313354E-008   0.573077596E-004   0.000000000E+000
   0.39749197058847052E-008   0.369127738E-004   0.000000000E+000
   0.40057330369380750E-008   0.126914892E-004   0.000000000E+000
   0.40365463679914448E-008  -0.131257239E-004   0.000000000E+000
   0.40673596990448146E-008  -0.379746089E-004   0.000000000E+000
   0.40981730300981845E-008  -0.593005025E-004   0.000000000E+000
   0.41289863611515543E-008  -0.749280298E-004   0.000000000E+000
   0.41597996922049241E-008  -0.833845334E-004   0.000000000E+000
   0.41906130232582939E-008  -0.841260553E-004   0.000000000E+000
   0.42214263543116637E-008  -0.776266897E-004   0.000000000E+000
   0.42522396853650335E-008  -0.652835297E-004   0.000000000E+000
   0.42830530164184033E-008  -0.491249521E-004   0.000000000E+000
   0.43138663474717731E-008  -0.314141362E-004   0.000000000E+000
   0.43446796785251429E-008  -0.142939061E-004   0.000000000E+000
   0.43754930095785127E-008   0.465215635E-006   0.000000000E+000
   0.44063063406318825E-008   0.116517940E-004   0.000000000E+000
   0.44371196716852523E-008   0.187386249E-004   0.000000000E+000
   0.44679330027386222E-008   0.218721616E-004   0.000000000E+000
   0.44987463337919920E-008   0.217104644E-004   0.000000000E+000
   0.45295596648453618E-008   0.192173866E-004   0.000000000E+000
   0.45603729958987316E-008   0.154998088E-004   0.000000000E+000
   0.45911863269521014E-008   0.116541742E-004   0.000000000E+000
   0.46219996580054712E-008   0.857841405E-005   0.000000000E+000
   0.46528129890588410E-008   0.679293362E-005   0.000000000E+000
   0.46836263201122108E-008   0.632302317E-005   0.000000000E+000
   0.47144396511655806E-008   0.665950802E-005   0.000000000E+000
   0.47452529822189504E-008   0.687049578E-005   0.000000000E+000
   0.47760663132723202E-008   0.596530617E-005   0.000000000E+000
   0.48068796443256900E-008   0.341554119E-005   0.000000000E+000
   0.48376929753790598E-008  -0.501416480E-006   0.000000000E+000
   0.48685063064324297E-008  -0.479895243E-005   0.000000000E+000
   0.48993196374857995E-008  -0.824690596E-005   0.000000000E+000
   0.49301329685391693E-008  -0.992761579E-005   0.000000000E+000
   0.49609462995925391E-008  -0.964739866E-005   0.000000000E+000
   0.49917596306459089E-008  -0.805618038E-005   0.000000000E+000
   0.50225729616992787E-008  -0.638269148E-005   0.000000000E+000
   0.50533862927526485E-008  -0.583060728E-005   0.000000000E+000
   0.50841996238060183E-008  -0.687000647E-005   0.000000000E+000
   0.51150129548593881E-008  -0.875508340E-005   0.000000000E+000
   0.51458262859127579E-008  -0.963594721E-005   0.000000000E+000
   0.51766396169661277E-008  -0.754266603E-005   0.000000000E+000
   0.52074529480194975E-008  -0.194176391E-005   0.000000000E+000
   0.52382662790728673E-008   0.533805360E-005   0.000000000E+000
   0.52690796101262372E-008   0.110149376E-004   0.000000000E+000
   0.52998929411796070E-008   0.126749210E-004   0.000000000E+000
   0.53307062722329768E-008   0.103986158E-004   0.000000000E+000
   0.53615196032863466E-008   0.618074273E-005   0.000000000E+000
   0.53923329343397164E-008   0.210302051E-005   0.000000000E+000
   0.54231462653930862E-008  -0.563130243E-006   0.000000000E+000
   0.54539595964464560E-008  -0.839921768E-006   0.000000000E+000
   0.54847729274998258E-008   0.213557723E-005   0.000000000E+000
   0.55155862585531956E-008   0.771490431E-005   0.000000000E+000
   0.55463995896065654E-008   0.124026392E-004   0.000000000E+000
   0.55772129206599352E-008   0.114403874E-004   0.000000000E+000
   0.56080262517133050E-008   0.320907111E-005   0.000000000E+000
   0.56388395827666749E-008  -0.784937220E-005   0.000000000E+000
   0.56696529138200447E-008  -0.138651121E-004   0.000000000E+000
   0.57004662448734145E-008  -0.101424648E-004   0.000000000E+000
   0.57312795759267843E-008   0.697586074E-006   0.000000000E+000
   0.57620929069801541E-008   0.111622112E-004   0.000000000E+000
   0.57929062380335239E-008   0.149332700E-004   0.000000000E+000
   0.58237195690868937E-008   0.103534603E-004   0.000000000E+000
   0.58545329001402635E-008  -0.389910383E-006   0.000000000E+000
   0.58853462311936333E-008  -0.127657213E-004   0.000000000E+000
   0.59161595622470031E-008  -0.199160149E-004   0.000000000E+000
   0.59469728933003729E-008  -0.145865706E-004   0.000000000E+000
   0.59777862243537427E-008   0.407646985E-005   0.000000000E+000
   0.60085995554071125E-008   0.245849387E-004   0.000000000E+000
   0.60394128864604824E-008   0.285590377E-004   0.000000000E+000
   0.60702262175138522E-008   0.784504664E-005   0.000000000E+000
   0.61010395485672220E-008  -0.230989754E-004   0.000000000E+000
   0.61318528796205918E-008  -0.366320819E-004   0.000000000E+000
   0.61626662106739616E-008  -0.182193144E-004   0.000000000E+000
   0.61934795417273314E-008   0.169136074E-004   0.000000000E+000
   0.62242928727807012E-008   0.366010645E-004   0.000000000E+000
   0.62551062038340710E-008   0.229876714E-004   0.000000000E+000
   0.62859195348874408E-008  -0.979355900E-005   0.000000000E+000
   0.63167328659408106E-008  -0.301239379E-004   0.000000000E+000
   0.63475461969941804E-008  -0.206199511E-004   0.000000000E+000
   0.63783595280475502E-008   0.560105400E-005   0.000000000E+000
   0.64091728591009200E-008   0.204306634E-004   0.000000000E+000
   0.64399861901542899E-008   0.111581867E-004   0.000000000E+000
   0.64707995212076597E-008  -0.713257396E-005   0.000000000E+000
   0.65016128522610295E-008  -0.109484699E-004   0.000000000E+000
   0.65324261833143993E-008   0.277748859E-005   0.000000000E+000
   0.65632395143677691E-008   0.134039747E-004   0.000000000E+000
   0.65940528454211389E-008   0.385738622E-005   0.000000000E+000
   0.66248661764745087E-008  -0.159975316E-004   0.000000000E+000
   0.66556795075278785E-008  -0.209062000E-004   0.000000000E+000
   0.66864928385812483E-008  -0.195989014E-005   0.000000000E+000
   0.67173061696346181E-008   0.225182612E-004   0.000000000E+000
   0.67481195006879879E-008   0.281875764E-004   0.000000000E+000
   0.67789328317413577E-008   0.871278280E-005   0.000000000E+000
   0.68097461627947276E-008  -0.213112944E-004   0.000000000E+000
   0.68405594938480974E-008  -0.377035685E-004   0.000000000E+000
   0.68713728249014672E-008  -0.218948862E-004   0.000000000E+000
   0.69021861559548370E-008   0.197571771E-004   0.000000000E+000
   0.69329994870082068E-008   0.490682287E-004   0.000000000E+000
   0.69638128180615766E-008   0.292067307E-004   0.000000000E+000
   0.69946261491149464E-008  -0.247927783E-004   0.000000000E+000
   0.70254394801683162E-008  -0.516275686E-004   0.000000000E+000
   0.70562528112216860E-008  -0.190247738E-004   0.000000000E+000
   0.70870661422750558E-008   0.296245453E-004   0.000000000E+000
   0.71178794733284256E-008   0.333986391E-004   0.000000000E+000
   0.71486928043817954E-008  -0.190503488E-005   0.000000000E+000
   0.71795061354351652E-008  -0.197400186E-004   0.000000000E+000
   0.72103194664885351E-008  -0.166180871E-005   0.000000000E+000
   0.72411327975419049E-008   0.123925374E-004   0.000000000E+000
   0.72719461285952747E-008  -0.260268826E-005   0.000000000E+000
   0.73027594596486445E-008  -0.177921029E-004   0.000000000E+000
   0.73335727907020143E-008  -0.579370499E-005   0.000000000E+000
   0.73643861217553841E-008   0.132321620E-004   0.000000000E+000
   0.73951994528087539E-008   0.118995331E-004   0.000000000E+000
   0.74260127838621237E-008   0.169651412E-005   0.000000000E+000
   0.74568261149154935E-008   0.277780509E-005   0.000000000E+000
   0.74876394459688633E-008   0.227729220E-005   0.000000000E+000
   0.75184527770222331E-008  -0.161000225E-004   0.000000000E+000
   0.75492661080756029E-008  -0.287755502E-004   0.000000000E+000
   0.75800794391289728E-008  -0.470749728E-005   0.000000000E+000
   0.76108927701823426E-008   0.359840997E-004   0.000000000E+000
   0.76417061012357124E-008   0.415605027E-004   0.000000000E+000
   0.76725194322890822E-008   0.116015508E-005   0.000000000E+000
   0.77033327633424520E-008  -0.406401305E-004   0.000000000E+000
   0.77341460943958218E-008  -0.418775744E-004   0.000000000E+000
   0.77649594254491916E-008  -0.635423930E-005   0.000000000E+000
   0.77957727565025614E-008   0.316063451E-004   0.000000000E+000
   0.78265860875559312E-008   0.417891351E-004   0.000000000E+000
   0.78573994186093010E-008   0.173205863E-004   0.000000000E+000
   0.78882127496626708E-008  -0.213190997E-004   0.000000000E+000
   0.79190260807160406E-008  -0.403289268E-004   0.000000000E+000
   0.79498394117694104E-008  -0.235247226E-004   0.000000000E+000
   0.79806527428227803E-008   0.110425372E-004   0.000000000E+000
   0.80114660738761501E-008   0.317766753E-004   0.000000000E+000
   0.80422794049295199E-008   0.251711936E-004   0.000000000E+000
   0.80730927359828897E-008   0.183519660E-005   0.000000000E+000
   0.81039060670362595E-008  -0.193695505E-004   0.000000000E+000
   0.81347193980896293E-008  -0.252315731E-004   0.000000000E+000
   0.81655327291429991E-008  -0.134241327E-004   0.000000000E+000
   0.81963460601963689E-008   0.738288145E-005   0.000000000E+000
   0.82271593912497387E-008   0.228572044E-004   0.000000000E+000
   0.82579727223031085E-008   0.214488809E-004   0.000000000E+000
   0.82887860533564783E-008   0.195483335E-005   0.000000000E+000
   0.83195993844098481E-008  -0.212354662E-004   0.000000000E+000
   0.83504127154632179E-008  -0.248240867E-004   0.000000000E+000
   0.83812260465165878E-008  -0.205099423E-005   0.000000000E+000
   0.84120393775699576E-008   0.214188385E-004   0.000000000E+000
   0.84428527086233274E-008   0.163246659E-004   0.000000000E+000
   0.84736660396766972E-008  -0.752145388E-005   0.000000000E+000
   0.85044793707300670E-008  -0.137998368E-004   0.000000000E+000
   0.85352927017834368E-008   0.396601990E-005   0.000000000E+000
   0.85661060328368066E-008   0.125992410E-004   0.000000000E+000
   0.85969193638901764E-008  -0.466048550E-005   0.000000000E+000
   0.86277326949435462E-008  -0.191718173E-004   0.000000000E+000
   0.86585460259969160E-008  -0.463840934E-005   0.000000000E+000
   0.86893593570502858E-008   0.186045327E-004   0.000000000E+000
   0.87201726881036556E-008   0.163865443E-004   0.000000000E+000
   0.87509860191570255E-008  -0.539122993E-005   0.000000000E+000
   0.87817993502103953E-008  -0.134970824E-004   0.000000000E+000
   0.88126126812637651E-008  -0.178054233E-005   0.000000000E+000
   0.88434260123171349E-008   0.311014492E-005   0.000000000E+000
   0.88742393433705047E-008  -0.866883966E-005   0.000000000E+000
   0.89050526744238745E-008  -0.102128934E-004   0.000000000E+000
   0.89358660054772443E-008   0.149798825E-004   0.000000000E+000
   0.89666793365306141E-008   0.342136191E-004   0.000000000E+000
   0.89974926675839839E-008   0.815615022E-005   0.000000000E+000
   0.90283059986373537E-008  -0.405239771E-004   0.000000000E+000
   0.90591193296907235E-008  -0.455983172E-004   0.000000000E+000
   0.90899326607440933E-008   0.824374001E-005   0.000000000E+000
   0.91207459917974631E-008   0.545648509E-004   0.000000000E+000
   0.91515593228508330E-008   0.344967630E-004   0.000000000E+000
   0.91823726539042028E-008  -0.218249697E-004   0.000000000E+000
   0.92131859849575726E-008  -0.425240651E-004   0.000000000E+000
   0.92439993160109424E-008  -0.143733341E-004   0.000000000E+000
   0.92748126470643122E-008   0.135449172E-004   0.000000000E+000
   0.93056259781176820E-008   0.127762250E-004   0.000000000E+000
   0.93364393091710518E-008   0.693975426E-005   0.000000000E+000
   0.93672526402244216E-008   0.144555743E-004   0.000000000E+000
   0.93980659712777914E-008   0.119747792E-004   0.000000000E+000
   0.94288793023311612E-008  -0.182353615E-004   0.000000000E+000
   0.94596926333845310E-008  -0.422973390E-004   0.000000000E+000
   0.94905059644379008E-008  -0.174653051E-004   0.000000000E+000
   0.95213192954912707E-008   0.360212653E-004   0.000000000E+000
   0.95521326265446405E-008   0.513904306E-004   0.000000000E+000
   0.95829459575980103E-008   0.686542262E-005   0.000000000E+000
   0.96137592886513801E-008  -0.415225331E-004   0.000000000E+000
   0.96445726197047499E-008  -0.372888826E-004   0.000000000E+000
   0.96753859507581197E-008   0.281971006E-005   0.000000000E+000
   0.97061992818114895E-008   0.240516292E-004   0.000000000E+000
   0.97370126128648593E-008   0.140635784E-004   0.000000000E+000
   0.97678259439182291E-008   0.447586535E-005   0.000000000E+000
   0.97986392749715989E-008   0.686494514E-005   0.000000000E+000
   0.98294526060249687E-008  -0.186179204E-005   0.000000000E+000
   0.98602659370783385E-008  -0.258000000E-004   0.000000000E+000
   0.98910792681317083E-008  -0.296415074E-004   0.000000000E+000
   0.99218925991850782E-008   0.582367102E-005   0.000000000E+000
   0.99527059302384480E-008   0.427180858E-004   0.000000000E+000
   0.99835192612918178E-008   0.327846865E-004   0.000000000E+000
   0.10014332592345188E-007  -0.139421390E-004   0.000000000E+000
   0.10045145923398557E-007  -0.414217502E-004   0.000000000E+000
   0.10075959254451927E-007  -0.225746371E-004   0.000000000E+000
   0.10106772585505297E-007   0.116406918E-004   0.000000000E+000
   0.10137585916558667E-007   0.231273953E-004   0.000000000E+000
   0.10168399247612037E-007   0.139967005E-004   0.000000000E+000
   0.10199212578665406E-007   0.564781203E-005   0.000000000E+000
   0.10230025909718776E-007  -0.147148967E-005   0.000000000E+000
   0.10260839240772146E-007  -0.172951259E-004   0.000000000E+000
   0.10291652571825516E-007  -0.280134773E-004   0.000000000E+000
   0.10322465902878886E-007  -0.926373104E-005   0.000000000E+000
   0.10353279233932255E-007   0.281383109E-004   0.000000000E+000
   0.10384092564985625E-007   0.401503348E-004   0.000000000E+000
   0.10414905896038995E-007   0.773128704E-005   0.000000000E+000
   0.10445719227092365E-007  -0.332695781E-004   0.000000000E+000
   0.10476532558145735E-007  -0.370125053E-004   0.000000000E+000
   0.10507345889199105E-007  -0.423005258E-005   0.000000000E+000
   0.10538159220252474E-007   0.254522256E-004   0.000000000E+000
   0.10568972551305844E-007   0.261556906E-004   0.000000000E+000
   0.10599785882359214E-007   0.824329436E-005   0.000000000E+000
   0.10630599213412584E-007  -0.828649354E-005   0.000000000E+000
   0.10661412544465954E-007  -0.181161813E-004   0.000000000E+000
   0.10692225875519323E-007  -0.207271114E-004   0.000000000E+000
   0.10723039206572693E-007  -0.832004207E-005   0.000000000E+000
   0.10753852537626063E-007   0.180967072E-004   0.000000000E+000
   0.10784665868679433E-007   0.339518883E-004   0.000000000E+000
   0.10815479199732803E-007   0.157775085E-004   0.000000000E+000
   0.10846292530786172E-007  -0.222749750E-004   0.000000000E+000
   0.10877105861839542E-007  -0.383874103E-004   0.000000000E+000
   0.10907919192892912E-007  -0.140925840E-004   0.000000000E+000
   0.10938732523946282E-007   0.222284034E-004   0.000000000E+000
   0.10969545854999652E-007   0.315621910E-004   0.000000000E+000
   0.11000359186053021E-007   0.101134974E-004   0.000000000E+000
   0.11031172517106391E-007  -0.137229199E-004   0.000000000E+000
   0.11061985848159761E-007  -0.187837613E-004   0.000000000E+000
   0.11092799179213131E-007  -0.102184540E-004   0.000000000E+000
   0.11123612510266501E-007  -0.759454451E-006   0.000000000E+000
   0.11154425841319870E-007   0.779875063E-005   0.000000000E+000
   0.11185239172373240E-007   0.157755676E-004   0.000000000E+000
   0.11216052503426610E-007   0.137799943E-004   0.000000000E+000
   0.11246865834479980E-007  -0.386766624E-005   0.000000000E+000
   0.11277679165533350E-007  -0.216227327E-004   0.000000000E+000
   0.11308492496586720E-007  -0.173924727E-004   0.000000000E+000
   0.11339305827640089E-007   0.580776396E-005   0.000000000E+000
   0.11370119158693459E-007   0.204393582E-004   0.000000000E+000
   0.11400932489746829E-007   0.109520779E-004   0.000000000E+000
   0.11431745820800199E-007  -0.640559938E-005   0.000000000E+000
   0.11462559151853569E-007  -0.924196866E-005   0.000000000E+000
   0.11493372482906938E-007  -0.357076715E-006   0.000000000E+000
   0.11524185813960308E-007   0.168236124E-005   0.000000000E+000
   0.11554999145013678E-007  -0.536205607E-005   0.000000000E+000
   0.11585812476067048E-007  -0.482318592E-005   0.000000000E+000
   0.11616625807120418E-007   0.881360484E-005   0.000000000E+000
   0.11647439138173787E-007   0.174274246E-004   0.000000000E+000
   0.11678252469227157E-007   0.624948643E-005   0.000000000E+000
   0.11709065800280527E-007  -0.122920328E-004   0.000000000E+000
   0.11739879131333897E-007  -0.160013897E-004   0.000000000E+000
   0.11770692462387267E-007  -0.362436822E-005   0.000000000E+000
   0.11801505793440636E-007   0.812103735E-005   0.000000000E+000
   0.11832319124494006E-007   0.111050631E-004   0.000000000E+000
   0.11863132455547376E-007   0.106875214E-004   0.000000000E+000
   0.11893945786600746E-007   0.690169600E-005   0.000000000E+000
   0.11924759117654116E-007  -0.767470010E-005   0.000000000E+000
   0.11955572448707485E-007  -0.262574140E-004   0.000000000E+000
   0.11986385779760855E-007  -0.250095381E-004   0.000000000E+000
   0.12017199110814225E-007   0.394856215E-005   0.000000000E+000
   0.12048012441867595E-007   0.313467535E-004   0.000000000E+000
   0.12078825772920965E-007   0.223975912E-004   0.000000000E+000
   0.12109639103974335E-007  -0.164680423E-004   0.000000000E+000
   0.12140452435027704E-007  -0.428979329E-004   0.000000000E+000
   0.12171265766081074E-007  -0.307592927E-004   0.000000000E+000
   0.12202079097134444E-007   0.265856943E-005   0.000000000E+000
   0.12232892428187814E-007   0.255788127E-004   0.000000000E+000
   0.12263705759241184E-007   0.271105055E-004   0.000000000E+000
   0.12294519090294553E-007   0.137380794E-004   0.000000000E+000
   0.12325332421347923E-007  -0.845310387E-005   0.000000000E+000
   0.12356145752401293E-007  -0.286780596E-004   0.000000000E+000
   0.12386959083454663E-007  -0.241921134E-004   0.000000000E+000
   0.12417772414508033E-007   0.144093083E-004   0.000000000E+000
   0.12448585745561402E-007   0.548521348E-004   0.000000000E+000
   0.12479399076614772E-007   0.491712963E-004   0.000000000E+000
   0.12510212407668142E-007  -0.438906500E-005   0.000000000E+000
   0.12541025738721512E-007  -0.500034585E-004   0.000000000E+000
   0.12571839069774882E-007  -0.398467491E-004   0.000000000E+000
   0.12602652400828251E-007   0.824613016E-005   0.000000000E+000
   0.12633465731881621E-007   0.385978274E-004   0.000000000E+000
   0.12664279062934991E-007   0.274927661E-004   0.000000000E+000
   0.12695092393988361E-007  -0.138333417E-005   0.000000000E+000
   0.12725905725041731E-007  -0.216140161E-004   0.000000000E+000
   0.12756719056095100E-007  -0.299863786E-004   0.000000000E+000
   0.12787532387148470E-007  -0.253369890E-004   0.000000000E+000
   0.12818345718201840E-007   0.166250356E-005   0.000000000E+000
   0.12849159049255210E-007   0.393213995E-004   0.000000000E+000
   0.12879972380308580E-007   0.460773445E-004   0.000000000E+000
   0.12910785711361950E-007   0.175119931E-005   0.000000000E+000
   0.12941599042415319E-007  -0.501329596E-004   0.000000000E+000
   0.12972412373468689E-007  -0.475630695E-004   0.000000000E+000
   0.13003225704522059E-007   0.738651579E-005   0.000000000E+000
   0.13034039035575429E-007   0.480666677E-004   0.000000000E+000
   0.13064852366628799E-007   0.309616953E-004   0.000000000E+000
   0.13095665697682168E-007  -0.127974272E-004   0.000000000E+000
   0.13126479028735538E-007  -0.305008198E-004   0.000000000E+000
   0.13157292359788908E-007  -0.176634530E-004   0.000000000E+000
   0.13188105690842278E-007  -0.422584617E-005   0.000000000E+000
   0.13218919021895648E-007   0.214959346E-005   0.000000000E+000
   0.13249732352949017E-007   0.158704206E-004   0.000000000E+000
   0.13280545684002387E-007   0.280967452E-004   0.000000000E+000
   0.13311359015055757E-007   0.103709917E-004   0.000000000E+000
   0.13342172346109127E-007  -0.295570007E-004   0.000000000E+000
   0.13372985677162497E-007  -0.408605483E-004   0.000000000E+000
   0.13403799008215866E-007  -0.108210952E-005   0.000000000E+000
   0.13434612339269236E-007   0.418447526E-004   0.000000000E+000
   0.13465425670322606E-007   0.323175482E-004   0.000000000E+000
   0.13496239001375976E-007  -0.137996867E-004   0.000000000E+000
