t              SphericalCavity.fdtd_Point probe_Ex_50_25_50.dat
   0.14790396685171459E-008   0.200153867E-007
   0.14975276643736102E-008   0.262214073E-007
   0.15160156602300745E-008   0.340486714E-007
   0.15345036560865388E-008   0.438161614E-007
   0.15529916519430031E-008   0.558664226E-007
   0.15714796477994675E-008   0.705663297E-007
   0.15899676436559318E-008   0.882958133E-007
   0.16084556395123961E-008   0.109421350E-006
   0.16269436353688604E-008   0.134288442E-006
   0.16454316312253248E-008   0.163193988E-006
   0.16639196270817891E-008   0.196347173E-006
   0.16824076229382534E-008   0.233848198E-006
   0.17008956187947177E-008   0.275650535E-006
   0.17193836146511821E-008   0.321499925E-006
   0.17378716105076464E-008   0.370925022E-006
   0.17563596063641107E-008   0.423169894E-006
   0.17748476022205750E-008   0.477186177E-006
   0.17933355980770394E-008   0.531600676E-006
   0.18118235939335037E-008   0.584740576E-006
   0.18303115897899680E-008   0.634660182E-006
   0.18487995856464323E-008   0.679067000E-006
   0.18672875815028966E-008   0.715496697E-006
   0.18857755773593610E-008   0.741453562E-006
   0.19042635732158253E-008   0.754368841E-006
   0.19227515690722896E-008   0.751777861E-006
   0.19412395649287539E-008   0.731467253E-006
   0.19597275607852183E-008   0.691689650E-006
   0.19782155566416826E-008   0.631269643E-006
   0.19967035524981469E-008   0.549779486E-006
   0.20151915483546112E-008   0.447672591E-006
   0.20336795442110756E-008   0.326376068E-006
   0.20521675400675399E-008   0.188362833E-006
   0.20706555359240042E-008   0.371678937E-007
   0.20891435317804685E-008  -0.122695795E-006
   0.21076315276369328E-008  -0.285991916E-006
   0.21261195234933972E-008  -0.446930699E-006
   0.21446075193498615E-008  -0.599461828E-006
   0.21630955152063258E-008  -0.737649998E-006
   0.21815835110627901E-008  -0.856096165E-006
   0.22000715069192545E-008  -0.950303900E-006
   0.22185595027757188E-008  -0.101677767E-005
   0.22370474986321831E-008  -0.105326137E-005
   0.22555354944886474E-008  -0.105891536E-005
   0.22740234903451118E-008  -0.103441596E-005
   0.22925114862015761E-008  -0.981679818E-006
   0.23109994820580404E-008  -0.903599528E-006
   0.23294874779145047E-008  -0.804011506E-006
   0.23479754737709690E-008  -0.687768534E-006
   0.23664634696274334E-008  -0.560270564E-006
   0.23849514654838977E-008  -0.427004522E-006
   0.24034394613403620E-008  -0.293349785E-006
   0.24219274571968263E-008  -0.164512883E-006
   0.24404154530532907E-008  -0.451350246E-007
   0.24589034489097550E-008   0.610850535E-007
   0.24773914447662193E-008   0.151398183E-006
   0.24958794406226836E-008   0.223988692E-006
   0.25143674364791480E-008   0.278117284E-006
   0.25328554323356123E-008   0.314121337E-006
   0.25513434281920766E-008   0.333127872E-006
   0.25698314240485409E-008   0.336826474E-006
   0.25883194199050052E-008   0.327557558E-006
   0.26068074157614696E-008   0.308220876E-006
   0.26252954116179339E-008   0.281950520E-006
   0.26437834074743982E-008   0.251638966E-006
   0.26622714033308625E-008   0.219718771E-006
   0.26807593991873269E-008   0.188244243E-006
   0.26992473950437912E-008   0.159073537E-006
   0.27177353909002555E-008   0.133719155E-006
   0.27362233867567198E-008   0.112807840E-006
   0.27547113826131842E-008   0.959314050E-007
   0.27731993784696485E-008   0.823192536E-007
   0.27916873743261128E-008   0.715880404E-007
   0.28101753701825771E-008   0.638081303E-007
   0.28286633660390414E-008   0.590912244E-007
   0.28471513618955058E-008   0.571260266E-007
   0.28656393577519701E-008   0.570542831E-007
   0.28841273536084344E-008   0.583117661E-007
   0.29026153494648987E-008   0.618063041E-007
   0.29211033453213631E-008   0.693058055E-007
   0.29395913411778274E-008   0.812347238E-007
   0.29580793370342917E-008   0.963118936E-007
   0.29765673328907560E-008   0.113834027E-006
   0.29950553287472204E-008   0.134925429E-006
   0.30135433246036847E-008   0.160973045E-006
   0.30320313204601490E-008   0.192012664E-006
   0.30505193163166133E-008   0.226872714E-006
