t              TwoCables.fdtd_Probe_Start_Ez_10_25_10.dat
   0.28040739413585924E-009  -0.676687062E-002
   0.28194809410363869E-009  -0.701099075E-002
   0.28348879407141814E-009  -0.726346672E-002
   0.28502949403919758E-009  -0.752457790E-002
   0.28657019400697703E-009  -0.779462233E-002
   0.28811089397475648E-009  -0.807390548E-002
   0.28965159394253592E-009  -0.836273190E-002
   0.29119229391031537E-009  -0.866140239E-002
   0.29273299387809482E-009  -0.897021778E-002
   0.29427369384587426E-009  -0.928949006E-002
   0.29581439381365371E-009  -0.961954705E-002
   0.29735509378143316E-009  -0.996073242E-002
   0.29889579374921260E-009  -0.103134010E-001
   0.30043649371699205E-009  -0.106779132E-001
   0.30197719368477149E-009  -0.110546341E-001
   0.30351789365255094E-009  -0.114439419E-001
   0.30505859362033039E-009  -0.118462350E-001
   0.30659929358810983E-009  -0.122619318E-001
   0.30813999355588928E-009  -0.126914699E-001
   0.30968069352366873E-009  -0.131352963E-001
   0.31122139349144817E-009  -0.135938656E-001
   0.31276209345922762E-009  -0.140676340E-001
   0.31430279342700707E-009  -0.145570654E-001
   0.31584349339478651E-009  -0.150626376E-001
   0.31738419336256596E-009  -0.155848432E-001
   0.31892489333034540E-009  -0.161241908E-001
   0.32046559329812485E-009  -0.166812036E-001
   0.32200629326590430E-009  -0.172564164E-001
   0.32354699323368374E-009  -0.178503823E-001
   0.32508769320146319E-009  -0.184636693E-001
   0.32662839316924264E-009  -0.190968737E-001
   0.32816909313702208E-009  -0.197506100E-001
   0.32970979310480153E-009  -0.204255227E-001
   0.33125049307258098E-009  -0.211222656E-001
   0.33279119304036042E-009  -0.218415093E-001
   0.33433189300813987E-009  -0.225839354E-001
   0.33587259297591932E-009  -0.233502313E-001
   0.33741329294369876E-009  -0.241411068E-001
   0.33895399291147821E-009  -0.249572825E-001
   0.34049469287925765E-009  -0.257995073E-001
   0.34203539284703710E-009  -0.266685486E-001
   0.34357609281481655E-009  -0.275651980E-001
   0.34511679278259599E-009  -0.284902714E-001
   0.34665749275037544E-009  -0.294446182E-001
   0.34819819271815489E-009  -0.304291137E-001
   0.34973889268593433E-009  -0.314446650E-001
   0.35127959265371378E-009  -0.324922092E-001
   0.35282029262149323E-009  -0.335726999E-001
   0.35436099258927267E-009  -0.346870981E-001
   0.35590169255705212E-009  -0.358363837E-001
   0.35744239252483156E-009  -0.370215550E-001
   0.35898309249261101E-009  -0.382436365E-001
   0.36052379246039046E-009  -0.395036824E-001
   0.36206449242816990E-009  -0.408027954E-001
   0.36360519239594935E-009  -0.421421044E-001
   0.36514589236372880E-009  -0.435227789E-001
   0.36668659233150824E-009  -0.449460186E-001
   0.36822729229928769E-009  -0.464130491E-001
   0.36976799226706714E-009  -0.479251295E-001
   0.37130869223484658E-009  -0.494835488E-001
   0.37284939220262603E-009  -0.510896258E-001
   0.37439009217040548E-009  -0.527447052E-001
   0.37593079213818492E-009  -0.544501618E-001
   0.37747149210596437E-009  -0.562074147E-001
   0.37901219207374381E-009  -0.580179282E-001
   0.38055289204152326E-009  -0.598832071E-001
   0.38209359200930271E-009  -0.618047975E-001
   0.38363429197708215E-009  -0.637842789E-001
   0.38517499194486160E-009  -0.658232644E-001
   0.38671569191264105E-009  -0.679233894E-001
   0.38825639188042049E-009  -0.700863376E-001
   0.38979709184819994E-009  -0.723138377E-001
   0.39133779181597939E-009  -0.746076778E-001
   0.39287849178375883E-009  -0.769696981E-001
