 f_at_0.19967038522583636E-007   Theta    Phi    Etheta_mod    Etheta_phase    Ephi_mod    Ephi_phase    RCS(ARIT) RCS(GEOM)
   0.30000000000000000E+009   0.000000000E+000   0.289993286E+001   0.422986687E-009  -0.253743528E+001   0.104256823E-009  -0.253744164E+001   0.109179268E+002   0.109385538E+002
   0.30000000000000000E+009   0.000000000E+000   0.298048663E+001   0.430004279E-009  -0.253743540E+001   0.698824159E-010  -0.253744474E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.306104040E+001   0.434233119E-009  -0.253743552E+001   0.350547924E-010  -0.253745396E+001   0.109179277E+002   0.109385548E+002
   0.30000000000000000E+009   0.000000000E+000   0.314159274E+001   0.435645763E-009  -0.253743564E+001   0.783718341E-015   0.278115428E+001   0.109179268E+002   0.109385548E+002
   0.30000000000000000E+009   0.157079637E+001   0.000000000E+000   0.646599417E-010   0.839092990E+000   0.336734912E-013  -0.143198243E+001   0.241064057E+000   0.240970388E+000
   0.30000000000000000E+009   0.157079637E+001   0.805536583E-001   0.644786594E-010   0.132578226E+001   0.103824731E-010   0.988553346E+000   0.245906815E+000   0.245833948E+000
   0.30000000000000000E+009   0.157079637E+001   0.161107317E+000   0.639247686E-010   0.176977373E+001   0.206996115E-010   0.143487109E+001   0.260224491E+000   0.260217369E+000
   0.30000000000000000E+009   0.157079637E+001   0.241660982E+000   0.630205336E-010   0.216688664E+001   0.308797717E-010   0.183386257E+001   0.283744693E+000   0.283865243E+000
   0.30000000000000000E+009   0.157079637E+001   0.322214633E+000   0.617650265E-010   0.251325472E+001   0.408890658E-010   0.218205810E+001   0.315919101E+000   0.316238523E+000
   0.30000000000000000E+009   0.157079637E+001   0.402768284E+000   0.601119847E-010   0.280619049E+001   0.507100086E-010   0.247597866E+001   0.355903387E+000   0.356475383E+000
   0.30000000000000000E+009   0.157079637E+001   0.483321935E+000   0.579783341E-010   0.304466538E+001   0.603218247E-010   0.271322336E+001   0.402637720E+000   0.403463274E+000
   0.30000000000000000E+009   0.157079637E+001   0.563875616E+000   0.552875575E-010  -0.305410489E+001   0.696790756E-010   0.289284376E+001   0.455004841E+000   0.456008613E+000
   0.30000000000000000E+009   0.157079637E+001   0.644429266E+000   0.520304483E-010  -0.292284968E+001   0.786971561E-010   0.301518580E+001   0.511943638E+000   0.512982965E+000
   0.30000000000000000E+009   0.157079637E+001   0.724982917E+000   0.483062100E-010  -0.284454639E+001   0.872520996E-010   0.308133664E+001   0.572356701E+000   0.573270619E+000
   0.30000000000000000E+009   0.157079637E+001   0.805536568E+000   0.443080818E-010  -0.282056905E+001   0.951988110E-010   0.309241923E+001   0.634812057E+000   0.635494351E+000
   0.30000000000000000E+009   0.157079637E+001   0.886090219E+000   0.402492876E-010  -0.285386777E+001   0.102402007E-009   0.304906842E+001   0.697287560E+000   0.697750151E+000
   0.30000000000000000E+009   0.157079637E+001   0.966643870E+000   0.362691126E-010  -0.294778554E+001   0.108764792E-009   0.295127622E+001   0.757245183E+000   0.757636845E+000
   0.30000000000000000E+009   0.157079637E+001   0.104719758E+001   0.323743951E-010  -0.310414775E+001   0.114241292E-009   0.279863319E+001   0.812050343E+000   0.812618375E+000
   0.30000000000000000E+009   0.157079637E+001   0.112775123E+001   0.284444346E-010   0.296125696E+001   0.118830815E-009   0.259079446E+001   0.859484792E+000   0.860494971E+000
   0.30000000000000000E+009   0.157079637E+001   0.120830488E+001   0.242895619E-010   0.268567821E+001   0.122561863E-009   0.232796852E+001   0.898125052E+000   0.899776399E+000
   0.30000000000000000E+009   0.157079637E+001   0.128885853E+001   0.197330793E-010   0.235700684E+001   0.125475588E-009   0.201121931E+001   0.927500367E+000   0.929869533E+000
   0.30000000000000000E+009   0.157079637E+001   0.136941218E+001   0.146817355E-010   0.197960007E+001   0.127613288E-009   0.164251781E+001   0.948001802E+000   0.951032698E+000
   0.30000000000000000E+009   0.157079637E+001   0.144996583E+001   0.915830057E-011   0.155709904E+001   0.129008784E-009   0.122456384E+001   0.960553825E+000   0.964083552E+000
