t              SphereGround.fdtd_Point probe_1_Ex_50_50_50.dat       incid
   0.66248654305434140E-008   0.239107795E-001   0.000000000E+000
   0.66556787581273369E-008   0.136355562E-001   0.000000000E+000
   0.66864920857112597E-008   0.123505201E-001   0.000000000E+000
   0.67173054132951826E-008   0.192725621E-001   0.000000000E+000
   0.67481187408791055E-008   0.328955203E-001   0.000000000E+000
   0.67789320684630283E-008   0.511886254E-001   0.000000000E+000
   0.68097453960469512E-008   0.718473643E-001   0.000000000E+000
   0.68405587236308740E-008   0.925616473E-001   0.000000000E+000
   0.68713720512147969E-008   0.111253738E+000   0.000000000E+000
   0.69021853787987197E-008   0.126246840E+000   0.000000000E+000
   0.69329987063826426E-008   0.136349514E+000   0.000000000E+000
   0.69638120339665655E-008   0.140865386E+000   0.000000000E+000
   0.69946253615504883E-008   0.139551431E+000   0.000000000E+000
   0.70254386891344112E-008   0.132551730E+000   0.000000000E+000
   0.70562520167183340E-008   0.120324820E+000   0.000000000E+000
   0.70870653443022569E-008   0.103568822E+000   0.000000000E+000
   0.71178786718861797E-008   0.831386298E-001   0.000000000E+000
   0.71486919994701026E-008   0.599554181E-001   0.000000000E+000
   0.71795053270540254E-008   0.349238217E-001   0.000000000E+000
   0.72103186546379483E-008   0.887848064E-002   0.000000000E+000
   0.72411319822218712E-008  -0.174328573E-001   0.000000000E+000
   0.72719453098057940E-008  -0.433438942E-001   0.000000000E+000
   0.73027586373897169E-008  -0.682635978E-001   0.000000000E+000
   0.73335719649736397E-008  -0.916787684E-001   0.000000000E+000
   0.73643852925575626E-008  -0.113161378E+000   0.000000000E+000
   0.73951986201414854E-008  -0.132372767E+000   0.000000000E+000
   0.74260119477254083E-008  -0.149056107E+000   0.000000000E+000
   0.74568252753093311E-008  -0.163009763E+000   0.000000000E+000
   0.74876386028932540E-008  -0.174047515E+000   0.000000000E+000
   0.75184519304771769E-008  -0.181970984E+000   0.000000000E+000
   0.75492652580610997E-008  -0.186579004E+000   0.000000000E+000
   0.75800785856450226E-008  -0.187710404E+000   0.000000000E+000
   0.76108919132289454E-008  -0.185291559E+000   0.000000000E+000
   0.76417052408128683E-008  -0.179367334E+000   0.000000000E+000
   0.76725185683967911E-008  -0.170116186E+000   0.000000000E+000
   0.77033318959807140E-008  -0.157858387E+000   0.000000000E+000
   0.77341452235646369E-008  -0.143061042E+000   0.000000000E+000
   0.77649585511485597E-008  -0.126340672E+000   0.000000000E+000
   0.77957718787324826E-008  -0.108461730E+000   0.000000000E+000
   0.78265852063164054E-008  -0.903154463E-001   0.000000000E+000
   0.78573985339003283E-008  -0.728568733E-001   0.000000000E+000
   0.78882118614842511E-008  -0.570012853E-001   0.000000000E+000
   0.79190251890681740E-008  -0.435148291E-001   0.000000000E+000
   0.79498385166520968E-008  -0.329353735E-001   0.000000000E+000
   0.79806518442360197E-008  -0.255271010E-001   0.000000000E+000
   0.80114651718199426E-008  -0.212506671E-001   0.000000000E+000
   0.80422784994038654E-008  -0.197424032E-001   0.000000000E+000
   0.80730918269877883E-008  -0.203138888E-001   0.000000000E+000
   0.81039051545717111E-008  -0.219852794E-001   0.000000000E+000
   0.81347184821556340E-008  -0.235619880E-001   0.000000000E+000
   0.81655318097395568E-008  -0.237604938E-001   0.000000000E+000
   0.81963451373234797E-008  -0.213722195E-001   0.000000000E+000
   0.82271584649074025E-008  -0.154310912E-001   0.000000000E+000
   0.82579717924913254E-008  -0.535155088E-002   0.000000000E+000
   0.82887851200752483E-008   0.896890555E-002   0.000000000E+000
   0.83195984476591711E-008   0.270776488E-001   0.000000000E+000
   0.83504117752430940E-008   0.479423925E-001   0.000000000E+000
   0.83812251028270168E-008   0.700055808E-001   0.000000000E+000
   0.84120384304109397E-008   0.913259238E-001   0.000000000E+000
   0.84428517579948625E-008   0.109783903E+000   0.000000000E+000
   0.84736650855787854E-008   0.123322055E+000   0.000000000E+000
   0.85044784131627083E-008   0.130197361E+000   0.000000000E+000
   0.85352917407466311E-008   0.129217535E+000   0.000000000E+000
   0.85661050683305540E-008   0.119928092E+000   0.000000000E+000
   0.85969183959144768E-008   0.102727480E+000   0.000000000E+000
   0.86277317234983997E-008   0.788916051E-001   0.000000000E+000
   0.86585450510823225E-008   0.504800864E-001   0.000000000E+000
   0.86893583786662454E-008   0.201086495E-001   0.000000000E+000
   0.87201717062501682E-008  -0.937822461E-002   0.000000000E+000
   0.87509850338340911E-008  -0.352574363E-001   0.000000000E+000
   0.87817983614180140E-008  -0.552316159E-001   0.000000000E+000
   0.88126116890019368E-008  -0.676579922E-001   0.000000000E+000
   0.88434250165858597E-008  -0.716975629E-001   0.000000000E+000
   0.88742383441697825E-008  -0.673823431E-001   0.000000000E+000
   0.89050516717537054E-008  -0.555888973E-001   0.000000000E+000
   0.89358649993376282E-008  -0.378975831E-001   0.000000000E+000
   0.89666783269215511E-008  -0.163321495E-001   0.000000000E+000
   0.89974916545054739E-008   0.697261468E-002   0.000000000E+000
   0.90283049820893968E-008   0.300766286E-001   0.000000000E+000
   0.90591183096733197E-008   0.514284074E-001   0.000000000E+000
   0.90899316372572425E-008   0.699344054E-001   0.000000000E+000
   0.91207449648411654E-008   0.849492550E-001   0.000000000E+000
