t              2d_case.fdtd_Point probe_1_Ez_50_0_80.dat       incid
   0.23018163243515577E-008   0.000000000E+000   0.000000000E+000
   0.23395510181933865E-008   0.000000000E+000   0.000000000E+000
   0.23772857120352153E-008   0.000000000E+000   0.000000000E+000
   0.24150204058770441E-008   0.000000000E+000   0.000000000E+000
   0.24527550997188730E-008   0.000000000E+000   0.000000000E+000
   0.24904897935607018E-008   0.000000000E+000   0.000000000E+000
   0.25282244874025306E-008   0.000000000E+000   0.000000000E+000
   0.25659591812443594E-008   0.000000000E+000   0.000000000E+000
   0.26036938750861882E-008   0.000000000E+000   0.000000000E+000
   0.26414285689280170E-008   0.000000000E+000   0.000000000E+000
   0.26791632627698458E-008   0.000000000E+000   0.000000000E+000
   0.27168979566116747E-008   0.000000000E+000   0.000000000E+000
   0.27546326504535035E-008   0.000000000E+000   0.000000000E+000
   0.27923673442953323E-008   0.000000000E+000   0.000000000E+000
   0.28301020381371611E-008   0.000000000E+000   0.000000000E+000
   0.28678367319789899E-008   0.000000000E+000   0.000000000E+000
   0.29055714258208187E-008   0.000000000E+000   0.000000000E+000
   0.29433061196626475E-008   0.000000000E+000   0.000000000E+000
   0.29810408135044764E-008   0.000000000E+000   0.000000000E+000
   0.30187755073463052E-008   0.000000000E+000   0.000000000E+000
   0.30565102011881340E-008   0.000000000E+000   0.000000000E+000
   0.30942448950299628E-008   0.000000000E+000   0.000000000E+000
   0.31319795888717916E-008   0.000000000E+000   0.000000000E+000
   0.31697142827136204E-008   0.000000000E+000   0.000000000E+000
   0.32074489765554492E-008   0.000000000E+000   0.000000000E+000
   0.32451836703972781E-008   0.000000000E+000   0.000000000E+000
   0.32829183642391069E-008   0.000000000E+000   0.000000000E+000
   0.33206530580809357E-008   0.000000000E+000   0.000000000E+000
   0.33583877519227645E-008   0.000000000E+000   0.000000000E+000
   0.33961224457645933E-008   0.000000000E+000   0.000000000E+000
   0.34338571396064221E-008   0.000000000E+000   0.000000000E+000
   0.34715918334482510E-008   0.000000000E+000   0.000000000E+000
   0.35093265272900798E-008   0.000000000E+000   0.000000000E+000
   0.35470612211319086E-008   0.000000000E+000   0.000000000E+000
   0.35847959149737374E-008   0.000000000E+000   0.000000000E+000
   0.36225306088155662E-008   0.000000000E+000   0.000000000E+000
   0.36602653026573950E-008   0.000000000E+000   0.000000000E+000
   0.36979999964992238E-008   0.000000000E+000   0.000000000E+000
   0.37357346903410527E-008   0.000000000E+000   0.000000000E+000
   0.37734693841828815E-008   0.000000000E+000   0.000000000E+000
   0.38112040780247103E-008   0.000000000E+000   0.000000000E+000
   0.38489387718665391E-008   0.000000000E+000   0.000000000E+000
   0.38866734657083679E-008  -0.667763280E-037   0.000000000E+000
   0.39244081595501967E-008   0.455681768E-036   0.000000000E+000
   0.39621428533920255E-008   0.236866470E-035   0.000000000E+000
   0.39998775472338544E-008   0.136079937E-035   0.000000000E+000
   0.40376122410756832E-008  -0.205417055E-029   0.000000000E+000
   0.40753469349175120E-008  -0.145213854E-027   0.000000000E+000
   0.41130816287593408E-008  -0.336633911E-026   0.000000000E+000
   0.41508163226011696E-008  -0.711836342E-025   0.000000000E+000
   0.41885510164429984E-008  -0.249195465E-024   0.000000000E+000
   0.42262857102848272E-008  -0.728073453E-024   0.000000000E+000
   0.42640204041266561E-008  -0.210354809E-023   0.000000000E+000
   0.43017550979684849E-008  -0.529513732E-023   0.000000000E+000
   0.43394897918103137E-008  -0.124234627E-022   0.000000000E+000
   0.43772244856521425E-008  -0.296282840E-022   0.000000000E+000
   0.44149591794939713E-008  -0.954658894E-022   0.000000000E+000
   0.44526938733358001E-008  -0.340682242E-021   0.000000000E+000
   0.44904285671776289E-008  -0.103439723E-020   0.000000000E+000
   0.45281632610194578E-008  -0.505196520E-020   0.000000000E+000
   0.45658979548612866E-008  -0.203525899E-019   0.000000000E+000
   0.46036326487031154E-008  -0.700768545E-019   0.000000000E+000
   0.46413673425449442E-008  -0.220975200E-018   0.000000000E+000
   0.46791020363867730E-008  -0.677350958E-018   0.000000000E+000
   0.47168367302286018E-008  -0.207252687E-017   0.000000000E+000
   0.47545714240704307E-008  -0.608499288E-017   0.000000000E+000
   0.47923061179122595E-008  -0.172134565E-016   0.000000000E+000
   0.48300408117540883E-008  -0.476058291E-016  -0.440084989E-014
   0.48677755055959171E-008  -0.124021108E-015  -0.125972993E-013
   0.49055101994377459E-008  -0.323891211E-015  -0.347811515E-013
   0.49432448932795747E-008  -0.811843069E-015  -0.926340371E-013
   0.49809795871214035E-008  -0.196153899E-014  -0.238008587E-012
   0.50187142809632324E-008  -0.464469288E-014  -0.589991651E-012
   0.50564489748050612E-008  -0.767661759E-012  -0.141112783E-011
   0.50941836686468900E-008  -0.229439211E-011  -0.325679175E-011
   0.51319183624887188E-008  -0.534893137E-011  -0.725357665E-011
   0.51696530563305476E-008  -0.175151629E-010  -0.155914899E-010
   0.52073877501723764E-008  -0.297368311E-010  -0.323466705E-010
   0.52451224440142052E-008  -0.784119436E-010  -0.647753309E-010
   0.52828571378560341E-008  -0.127304334E-009  -0.125215241E-009
   0.53205918316978629E-008  -0.273487788E-009  -0.233667891E-009
   0.53583265255396917E-008  -0.662709332E-009  -0.420977558E-009
   0.53960612193815205E-008  -0.202247374E-008  -0.732246375E-009
   0.54337959132233493E-008  -0.454770932E-008  -0.122973187E-008
   0.54715306070651781E-008  -0.920985244E-008  -0.199402739E-008
   0.55092653009070069E-008  -0.185332034E-007  -0.312196047E-008
   0.55469999947488358E-008  -0.387298371E-007  -0.471960204E-008
   0.55847346885906646E-008  -0.775722668E-007  -0.688902224E-008
   0.56224693824324934E-008  -0.149053861E-006  -0.970928493E-008
   0.56602040762743222E-008  -0.279611356E-006  -0.132122153E-007
   0.56979387701161510E-008  -0.515912973E-006  -0.173587740E-007
   0.57356734639579798E-008  -0.932673629E-006  -0.220187175E-007
   0.57734081577998086E-008  -0.162966251E-005  -0.269636100E-007
   0.58111428516416375E-008  -0.276290939E-005  -0.318749116E-007
   0.58488775454834663E-008  -0.455744384E-005  -0.363729313E-007
   0.58866122393252951E-008  -0.723954145E-005  -0.400623144E-007
   0.59243469331671239E-008  -0.111367626E-004  -0.425882618E-007
   0.59620816270089527E-008  -0.166915779E-004  -0.436632135E-007
   0.59998163208507815E-008  -0.241156413E-004  -0.431983231E-007
   0.60375510146926104E-008  -0.334293545E-004  -0.412470200E-007
   0.60752857085344392E-008  -0.445392725E-004  -0.380123204E-007
   0.61130204023762680E-008  -0.568943433E-004  -0.338136701E-007
   0.61507550962180968E-008  -0.691427194E-004  -0.290351476E-007
   0.61884897900599256E-008  -0.791357961E-004  -0.240682514E-007
   0.62262244839017544E-008  -0.839564091E-004  -0.192608685E-007
   0.62639591777435832E-008  -0.801687784E-004  -0.148811532E-007
   0.63016938715854121E-008  -0.641647057E-004  -0.111004770E-007
   0.63394285654272409E-008  -0.330262956E-004  -0.799469380E-008
   0.63771632592690697E-008   0.146663406E-004  -0.555935031E-008
   0.64148979531108985E-008   0.779340480E-004  -0.373259157E-008
   0.64526326469527273E-008   0.152751920E-003  -0.241968845E-008
   0.64903673407945561E-008   0.231468250E-003  -0.151448387E-008
   0.65281020346363849E-008   0.303452107E-003  -0.915199416E-009
   0.65658367284782138E-008   0.356767385E-003  -0.533947053E-009
   0.66035714223200426E-008   0.380284706E-003  -0.300741904E-009
   0.66413061161618714E-008   0.366092165E-003  -0.163523917E-009
   0.66790408100037002E-008   0.312192598E-003  -0.858293020E-010
   0.67167755038455290E-008   0.224669464E-003  -0.434839942E-010
   0.67545101976873578E-008   0.117944655E-003  -0.212634094E-010
   0.67922448915291866E-008   0.123271529E-004  -0.100349373E-010
   0.68299795853710155E-008  -0.706695428E-004  -0.457026647E-011
   0.68677142792128443E-008  -0.114178445E-003  -0.200853527E-011
   0.69054489730546731E-008  -0.111057379E-003  -0.851705588E-012
   0.69431836668965019E-008  -0.656910561E-004  -0.348457103E-012
   0.69809183607383307E-008   0.855905091E-005  -0.137532997E-012
   0.70186530545801595E-008   0.949403038E-004  -0.523654809E-013
   0.70563877484219883E-008   0.179319410E-003  -0.192314629E-013
   0.70941224422638172E-008   0.253925682E-003  -0.681229128E-014
   0.71318571361056460E-008   0.316825928E-003  -0.232722196E-014
   0.71695918299474748E-008   0.367682456E-003  -0.766713895E-015
   0.72073265237893036E-008   0.403559709E-003  -0.243574568E-015
   0.72450612176311324E-008   0.419092830E-003  -0.746146029E-016
   0.72827959114729612E-008   0.411788496E-003  -0.220378104E-016
   0.73205306053147901E-008   0.388239627E-003  -0.627552111E-017
   0.73582652991566189E-008   0.364289706E-003  -0.172278147E-017
   0.73959999929984477E-008   0.355889380E-003  -0.455938231E-018
   0.74337346868402765E-008   0.366814027E-003  -0.116315592E-018
   0.74714693806821053E-008   0.385346357E-003  -0.286035857E-019
   0.75092040745239341E-008   0.395231036E-003  -0.678002224E-020
   0.75469387683657629E-008   0.390908041E-003   0.000000000E+000
   0.75846734622075918E-008   0.380790967E-003   0.000000000E+000
   0.76224081560494206E-008   0.374918163E-003   0.000000000E+000
   0.76601428498912494E-008   0.372554670E-003   0.000000000E+000
   0.76978775437330782E-008   0.366121734E-003   0.000000000E+000
   0.77356122375749070E-008   0.355770550E-003   0.000000000E+000
   0.77733469314167358E-008   0.352088566E-003   0.000000000E+000
   0.78110816252585646E-008   0.360082253E-003   0.000000000E+000
   0.78488163191003935E-008   0.367274450E-003   0.000000000E+000
   0.78865510129422223E-008   0.357544079E-003   0.000000000E+000
   0.79242857067840511E-008   0.335477554E-003   0.000000000E+000
   0.79620204006258799E-008   0.325187866E-003   0.000000000E+000
   0.79997550944677087E-008   0.339629070E-003   0.000000000E+000
   0.80374897883095375E-008   0.360924343E-003   0.000000000E+000
   0.80752244821513663E-008   0.362211460E-003   0.000000000E+000
   0.81129591759931952E-008   0.343481253E-003   0.000000000E+000
   0.81506938698350240E-008   0.330443494E-003   0.000000000E+000
   0.81884285636768528E-008   0.336694036E-003   0.000000000E+000
   0.82261632575186816E-008   0.344338856E-003   0.000000000E+000
   0.82638979513605104E-008   0.332284952E-003   0.000000000E+000
   0.83016326452023392E-008   0.309378636E-003   0.000000000E+000
   0.83393673390441680E-008   0.301379681E-003   0.000000000E+000
   0.83771020328859969E-008   0.311680313E-003   0.000000000E+000
   0.84148367267278257E-008   0.316525227E-003   0.000000000E+000
   0.84525714205696545E-008   0.301321328E-003   0.000000000E+000
   0.84903061144114833E-008   0.280923356E-003   0.000000000E+000
   0.85280408082533121E-008   0.274272432E-003   0.000000000E+000
   0.85657755020951409E-008   0.276235922E-003   0.000000000E+000
   0.86035101959369698E-008   0.270358083E-003   0.000000000E+000
   0.86412448897787986E-008   0.257954322E-003   0.000000000E+000
   0.86789795836206274E-008   0.254958461E-003   0.000000000E+000
   0.87167142774624562E-008   0.263928610E-003   0.000000000E+000
   0.87544489713042850E-008   0.268671341E-003   0.000000000E+000
   0.87921836651461138E-008   0.259318011E-003   0.000000000E+000
   0.88299183589879426E-008   0.246160489E-003   0.000000000E+000
   0.88676530528297715E-008   0.241717178E-003   0.000000000E+000
   0.89053877466716003E-008   0.242015740E-003   0.000000000E+000
   0.89431224405134291E-008   0.234863168E-003   0.000000000E+000
   0.89808571343552579E-008   0.217168737E-003   0.000000000E+000
   0.90185918281970867E-008   0.194161388E-003   0.000000000E+000
   0.90563265220389155E-008   0.169008228E-003   0.000000000E+000
   0.90940612158807443E-008   0.144016463E-003   0.000000000E+000
   0.91317959097225732E-008   0.126188272E-003   0.000000000E+000
   0.91695306035644020E-008   0.119671909E-003   0.000000000E+000
   0.92072652974062308E-008   0.117417309E-003   0.000000000E+000
   0.92449999912480596E-008   0.113552582E-003   0.000000000E+000
   0.92827346850898884E-008   0.119465039E-003   0.000000000E+000
   0.93204693789317172E-008   0.150322259E-003   0.000000000E+000
   0.93582040727735460E-008   0.196536697E-003   0.000000000E+000
   0.93959387666153749E-008   0.228043718E-003   0.000000000E+000
   0.94336734604572037E-008   0.230513906E-003   0.000000000E+000
   0.94714081542990325E-008   0.218456873E-003   0.000000000E+000
   0.95091428481408613E-008   0.206937169E-003   0.000000000E+000
   0.95468775419826901E-008   0.190386723E-003   0.000000000E+000
   0.95846122358245189E-008   0.159626245E-003   0.000000000E+000
   0.96223469296663477E-008   0.122684360E-003   0.000000000E+000
   0.96600816235081766E-008   0.961804035E-004   0.000000000E+000
   0.96978163173500054E-008   0.870126605E-004   0.000000000E+000
   0.97355510111918342E-008   0.904761764E-004   0.000000000E+000
   0.97732857050336630E-008   0.968329041E-004   0.000000000E+000
   0.98110203988754918E-008   0.960342441E-004   0.000000000E+000
   0.98487550927173206E-008   0.860076107E-004   0.000000000E+000
   0.98864897865591495E-008   0.768952959E-004   0.000000000E+000
   0.99242244804009783E-008   0.773867796E-004   0.000000000E+000
   0.99619591742428071E-008   0.807614269E-004   0.000000000E+000
   0.99996938680846359E-008   0.757202797E-004   0.000000000E+000
   0.10037428561926465E-007   0.644862303E-004   0.000000000E+000
   0.10075163255768294E-007   0.573221587E-004   0.000000000E+000
   0.10112897949610122E-007   0.558780557E-004   0.000000000E+000
   0.10150632643451951E-007   0.538733148E-004   0.000000000E+000
   0.10188367337293780E-007   0.481623283E-004   0.000000000E+000
   0.10226102031135609E-007   0.406502877E-004   0.000000000E+000
   0.10263836724977438E-007   0.348326175E-004   0.000000000E+000
   0.10301571418819266E-007   0.332776981E-004   0.000000000E+000
   0.10339306112661095E-007   0.325525434E-004   0.000000000E+000
   0.10377040806502924E-007   0.248331453E-004   0.000000000E+000
   0.10414775500344753E-007   0.121688081E-004   0.000000000E+000
   0.10452510194186582E-007   0.807708057E-005   0.000000000E+000
   0.10490244888028410E-007   0.148965801E-004   0.000000000E+000
   0.10527979581870239E-007   0.161911539E-004   0.000000000E+000
   0.10565714275712068E-007   0.377239121E-005   0.000000000E+000
   0.10603448969553897E-007  -0.831343823E-005   0.000000000E+000
   0.10641183663395726E-007  -0.952299524E-005   0.000000000E+000
   0.10678918357237555E-007  -0.939936763E-005   0.000000000E+000
   0.10716653051079383E-007  -0.162068773E-004   0.000000000E+000
   0.10754387744921212E-007  -0.229524412E-004   0.000000000E+000
   0.10792122438763041E-007  -0.248945889E-004   0.000000000E+000
   0.10829857132604870E-007  -0.279740307E-004   0.000000000E+000
   0.10867591826446699E-007  -0.337395031E-004   0.000000000E+000
   0.10905326520288527E-007  -0.373053335E-004   0.000000000E+000
   0.10943061214130356E-007  -0.411994952E-004   0.000000000E+000
   0.10980795907972185E-007  -0.513098566E-004   0.000000000E+000
   0.11018530601814014E-007  -0.626318433E-004   0.000000000E+000
   0.11056265295655843E-007  -0.667540153E-004   0.000000000E+000
   0.11093999989497672E-007  -0.666007545E-004   0.000000000E+000
   0.11131734683339500E-007  -0.694430782E-004   0.000000000E+000
   0.11169469377181329E-007  -0.746063379E-004   0.000000000E+000
   0.11207204071023158E-007  -0.788295729E-004   0.000000000E+000
   0.11244938764864987E-007  -0.837565531E-004   0.000000000E+000
   0.11282673458706816E-007  -0.909944720E-004   0.000000000E+000
   0.11320408152548644E-007  -0.982964411E-004   0.000000000E+000
   0.11358142846390473E-007  -0.103665901E-003   0.000000000E+000
   0.11395877540232302E-007  -0.107478867E-003   0.000000000E+000
   0.11433612234074131E-007  -0.111469511E-003   0.000000000E+000
   0.11471346927915960E-007  -0.117942807E-003   0.000000000E+000
   0.11509081621757788E-007  -0.126216706E-003   0.000000000E+000
   0.11546816315599617E-007  -0.131404930E-003   0.000000000E+000
   0.11584551009441446E-007  -0.132237488E-003   0.000000000E+000
   0.11622285703283275E-007  -0.134760267E-003   0.000000000E+000
   0.11660020397125104E-007  -0.142146164E-003   0.000000000E+000
   0.11697755090966933E-007  -0.148676118E-003   0.000000000E+000
   0.11735489784808761E-007  -0.149152707E-003   0.000000000E+000
   0.11773224478650590E-007  -0.146000690E-003   0.000000000E+000
   0.11810959172492419E-007  -0.144589925E-003   0.000000000E+000
   0.11848693866334248E-007  -0.148795400E-003   0.000000000E+000
   0.11886428560176077E-007  -0.159010029E-003   0.000000000E+000
   0.11924163254017905E-007  -0.168560175E-003   0.000000000E+000
   0.11961897947859734E-007  -0.168920189E-003   0.000000000E+000
   0.11999632641701563E-007  -0.162932658E-003   0.000000000E+000
   0.12037367335543392E-007  -0.162515862E-003   0.000000000E+000
   0.12075102029385221E-007  -0.170623651E-003   0.000000000E+000
   0.12112836723227050E-007  -0.177639129E-003   0.000000000E+000
   0.12150571417068878E-007  -0.176912799E-003   0.000000000E+000
   0.12188306110910707E-007  -0.172438886E-003   0.000000000E+000
   0.12226040804752536E-007  -0.170912710E-003   0.000000000E+000
   0.12263775498594365E-007  -0.174100744E-003   0.000000000E+000
   0.12301510192436194E-007  -0.178226692E-003   0.000000000E+000
   0.12339244886278022E-007  -0.178256261E-003   0.000000000E+000
   0.12376979580119851E-007  -0.174864574E-003   0.000000000E+000
   0.12414714273961680E-007  -0.174454472E-003   0.000000000E+000
   0.12452448967803509E-007  -0.179142342E-003   0.000000000E+000
   0.12490183661645338E-007  -0.183326323E-003   0.000000000E+000
   0.12527918355487166E-007  -0.183249955E-003   0.000000000E+000
   0.12565653049328995E-007  -0.181621275E-003   0.000000000E+000
   0.12603387743170824E-007  -0.181110314E-003   0.000000000E+000
   0.12641122437012653E-007  -0.181303840E-003   0.000000000E+000
   0.12678857130854482E-007  -0.181582713E-003   0.000000000E+000
   0.12716591824696311E-007  -0.181362440E-003   0.000000000E+000
   0.12754326518538139E-007  -0.180329182E-003   0.000000000E+000
   0.12792061212379968E-007  -0.180095827E-003   0.000000000E+000
   0.12829795906221797E-007  -0.180943083E-003   0.000000000E+000
   0.12867530600063626E-007  -0.179750030E-003   0.000000000E+000
   0.12905265293905455E-007  -0.176441405E-003   0.000000000E+000
   0.12942999987747283E-007  -0.175613182E-003   0.000000000E+000
   0.12980734681589112E-007  -0.177679278E-003   0.000000000E+000
   0.13018469375430941E-007  -0.177912589E-003   0.000000000E+000
   0.13056204069272770E-007  -0.175304667E-003   0.000000000E+000
   0.13093938763114599E-007  -0.172286367E-003   0.000000000E+000
   0.13131673456956428E-007  -0.169189618E-003   0.000000000E+000
   0.13169408150798256E-007  -0.167345439E-003   0.000000000E+000
   0.13207142844640085E-007  -0.169105653E-003   0.000000000E+000
   0.13244877538481914E-007  -0.170229745E-003   0.000000000E+000
   0.13282612232323743E-007  -0.165172503E-003   0.000000000E+000
   0.13320346926165572E-007  -0.159260700E-003   0.000000000E+000
   0.13358081620007400E-007  -0.160218187E-003   0.000000000E+000
   0.13395816313849229E-007  -0.163827572E-003   0.000000000E+000
   0.13433551007691058E-007  -0.162710654E-003   0.000000000E+000
   0.13471285701532887E-007  -0.158301089E-003   0.000000000E+000
   0.13509020395374716E-007  -0.153718895E-003   0.000000000E+000
   0.13546755089216544E-007  -0.149382788E-003   0.000000000E+000
   0.13584489783058373E-007  -0.148720006E-003   0.000000000E+000
   0.13622224476900202E-007  -0.151931774E-003   0.000000000E+000
   0.13659959170742031E-007  -0.150028383E-003   0.000000000E+000
   0.13697693864583860E-007  -0.140628137E-003   0.000000000E+000
   0.13735428558425689E-007  -0.135230774E-003   0.000000000E+000
   0.13773163252267517E-007  -0.138483490E-003   0.000000000E+000
   0.13810897946109346E-007  -0.140465942E-003   0.000000000E+000
   0.13848632639951175E-007  -0.136080067E-003   0.000000000E+000
   0.13886367333793004E-007  -0.130248489E-003   0.000000000E+000
   0.13924102027634833E-007  -0.125376042E-003   0.000000000E+000
   0.13961836721476661E-007  -0.122440062E-003   0.000000000E+000
   0.13999571415318490E-007  -0.124132668E-003   0.000000000E+000
   0.14037306109160319E-007  -0.125129111E-003   0.000000000E+000
   0.14075040803002148E-007  -0.117630851E-003   0.000000000E+000
   0.14112775496843977E-007  -0.108792970E-003   0.000000000E+000
   0.14150510190685806E-007  -0.109140979E-003   0.000000000E+000
   0.14188244884527634E-007  -0.111861758E-003   0.000000000E+000
   0.14225979578369463E-007  -0.107452659E-003   0.000000000E+000
   0.14263714272211292E-007  -0.101463811E-003   0.000000000E+000
   0.14301448966053121E-007  -0.988174943E-004   0.000000000E+000
   0.14339183659894950E-007  -0.948585875E-004   0.000000000E+000
   0.14376918353736778E-007  -0.910405724E-004   0.000000000E+000
   0.14414653047578607E-007  -0.919869781E-004   0.000000000E+000
   0.14452387741420436E-007  -0.905460620E-004   0.000000000E+000
   0.14490122435262265E-007  -0.821181166E-004   0.000000000E+000
   0.14527857129104094E-007  -0.772546482E-004   0.000000000E+000
   0.14565591822945922E-007  -0.794872612E-004   0.000000000E+000
   0.14603326516787751E-007  -0.775638837E-004   0.000000000E+000
   0.14641061210629580E-007  -0.705727725E-004   0.000000000E+000
   0.14678795904471409E-007  -0.681817910E-004   0.000000000E+000
   0.14716530598313238E-007  -0.673796749E-004   0.000000000E+000
   0.14754265292155067E-007  -0.613335797E-004   0.000000000E+000
   0.14791999985996895E-007  -0.570918855E-004   0.000000000E+000
   0.14829734679838724E-007  -0.582561734E-004   0.000000000E+000
   0.14867469373680553E-007  -0.551467856E-004   0.000000000E+000
   0.14905204067522382E-007  -0.474982808E-004   0.000000000E+000
   0.14942938761364211E-007  -0.452667700E-004   0.000000000E+000
   0.14980673455206039E-007  -0.453233260E-004   0.000000000E+000
   0.15018408149047868E-007  -0.398274024E-004   0.000000000E+000
   0.15056142842889697E-007  -0.352704665E-004   0.000000000E+000
   0.15093877536731526E-007  -0.358786056E-004   0.000000000E+000
   0.15131612230573355E-007  -0.324248358E-004   0.000000000E+000
   0.15169346924415184E-007  -0.246081872E-004   0.000000000E+000
   0.15207081618257012E-007  -0.229058496E-004   0.000000000E+000
   0.15244816312098841E-007  -0.244025359E-004   0.000000000E+000
   0.15282551005940670E-007  -0.196662477E-004   0.000000000E+000
   0.15320285699782499E-007  -0.136858816E-004   0.000000000E+000
   0.15358020393624328E-007  -0.122694328E-004   0.000000000E+000
   0.15395755087466156E-007  -0.921050014E-005   0.000000000E+000
   0.15433489781307985E-007  -0.407286734E-005   0.000000000E+000
   0.15471224475149814E-007  -0.383516453E-005   0.000000000E+000
   0.15508959168991643E-007  -0.353366977E-005   0.000000000E+000
   0.15546693862833472E-007   0.405072296E-005   0.000000000E+000
   0.15584428556675300E-007   0.102743124E-004   0.000000000E+000
   0.15622163250517129E-007   0.861769877E-005   0.000000000E+000
   0.15659897944358958E-007   0.851448385E-005   0.000000000E+000
   0.15697632638200787E-007   0.141907785E-004   0.000000000E+000
   0.15735367332042616E-007   0.182678377E-004   0.000000000E+000
   0.15773102025884445E-007   0.207350149E-004   0.000000000E+000
   0.15810836719726273E-007   0.254264924E-004   0.000000000E+000
   0.15848571413568102E-007   0.270667879E-004   0.000000000E+000
   0.15886306107409931E-007   0.251440761E-004   0.000000000E+000
   0.15924040801251760E-007   0.294688853E-004   0.000000000E+000
   0.15961775495093589E-007   0.384600207E-004   0.000000000E+000
   0.15999510188935417E-007   0.403489539E-004   0.000000000E+000
   0.16037244882777246E-007   0.374451447E-004   0.000000000E+000
   0.16074979576619075E-007   0.397361764E-004   0.000000000E+000
   0.16112714270460904E-007   0.446945305E-004   0.000000000E+000
   0.16150448964302733E-007   0.475036868E-004   0.000000000E+000
   0.16188183658144562E-007   0.514910353E-004   0.000000000E+000
   0.16225918351986390E-007   0.549143915E-004   0.000000000E+000
   0.16263653045828219E-007   0.528112068E-004   0.000000000E+000
   0.16301387739670048E-007   0.523182898E-004   0.000000000E+000
   0.16339122433511877E-007   0.600337844E-004   0.000000000E+000
   0.16376857127353706E-007   0.664352920E-004   0.000000000E+000
   0.16414591821195534E-007   0.646748013E-004   0.000000000E+000
   0.16452326515037363E-007   0.632512674E-004   0.000000000E+000
   0.16490061208879192E-007   0.667436252E-004   0.000000000E+000
   0.16527795902721021E-007   0.698424337E-004   0.000000000E+000
   0.16565530596562850E-007   0.726180078E-004   0.000000000E+000
